Tissue	wholeblood
N_samples	334
Chr	22
Gene	ENSG00000099958.10
SNP	rs5759985
Gene_list	ENSG00000239264.4	ENSG00000211640.3	ENSG00000211649.2	ENSG00000211650.2	ENSG00000211652.2	ENSG00000211660.3	ENSG00000211669.2	ENSG00000099958.10	ENSG00000134285.6	ENSG00000211611.2	ENSG00000244575.1	ENSG00000211625.2	ENSG00000224041.2	ENSG00000211933.2	ENSG00000211941.2	ENSG00000231475.2	ENSG00000211962.2	ENSG00000211965.2	ENSG00000211970.2	ENSG00000211976.2	ENSG00000110777.7	ENSG00000170476.11	ENSG00000135916.11
Gene expression stats (Y^T * Y): 
324.073016144	233.647663335	235.332492643	188.903263084	235.945565325	264.466956776	161.536463652	227.608531922	180.670197414	147.514587533	234.394290717	158.429516741	169.577908764	226.556253905	218.498170497	200.685294665	143.488062966	152.504233031	160.97521931	144.081716041	206.591463181	285.258050865	228.305181508
233.647663335	324.073016144	228.656288385	182.97534098	234.8084573	239.133400835	212.818285361	230.70198285	179.668110961	170.879984555	219.120302491	203.800828811	185.382568209	226.73407085	231.388802704	184.461520475	188.467367937	186.582429179	175.153506596	149.628538999	181.265795547	244.67368402	198.613733936
235.332492643	228.656288385	324.073016144	173.490542087	236.398977365	252.563410473	170.836667869	197.814382056	148.158091166	141.128009986	241.227180481	171.655020157	135.773044741	220.495948042	216.225683022	166.630310174	177.333372672	172.7315925	145.314964254	135.447823158	153.583068152	256.376009361	168.682517265
188.903263084	182.97534098	173.490542087	324.073016144	190.691757939	183.889403238	184.422340379	203.252459346	120.967076602	224.403610675	235.17862549	175.134560681	149.896010092	149.107272759	156.591391476	169.93640243	123.206089246	184.365194299	95.4873332626	265.363673788	135.544794507	197.728757616	166.859356653
235.945565325	234.8084573	236.398977365	190.691757939	324.073016144	246.159328048	207.373768844	228.099430019	164.974630714	165.431566972	236.082968142	196.572812634	180.345026755	254.83175546	242.46079144	224.180620922	186.869830198	198.179727269	197.603102207	164.822920764	192.668418578	237.36386238	195.651150985
264.466956776	239.133400835	252.563410473	183.889403238	246.159328048	324.073016144	206.234787961	198.85297994	162.195466006	160.701517867	266.324301061	167.977162325	167.709821417	227.420121528	243.76830225	206.023806743	157.666905087	169.722504183	160.876428688	118.247484268	164.935440199	289.305549025	201.108262957
161.536463652	212.818285361	170.836667869	184.422340379	207.373768844	206.234787961	324.073016144	202.326072805	137.782576795	179.781155899	192.075231614	173.541506158	172.698431104	186.946451242	224.731530361	175.777288301	155.580008293	156.948835237	166.43788011	154.370763136	147.983863683	185.915771505	170.373281136
227.608531922	230.70198285	197.814382056	203.252459346	228.099430019	198.85297994	202.326072805	324.073016144	201.727291206	211.57038844	208.439920215	232.409930743	210.274125851	235.839421209	213.116032088	199.395611263	197.862449739	205.688593577	207.621728611	206.481881128	219.572155823	216.120783108	232.573039696
180.670197414	179.668110961	148.158091166	120.967076602	164.974630714	162.195466006	137.782576795	201.727291206	324.073016144	112.565922192	144.505737088	135.743398024	131.212841441	183.341339403	150.953782865	137.209450284	121.843088074	123.092477727	123.841641379	115.073466008	151.832274633	183.854280548	196.764247265
147.514587533	170.879984555	141.128009986	224.403610675	165.431566972	160.701517867	179.781155899	211.57038844	112.565922192	324.073016144	205.467197096	226.10165263	164.032944401	153.557057618	153.859066138	132.387014535	174.624895061	217.585737657	126.730305284	235.193712152	130.507325545	158.080359419	151.291187726
234.394290717	219.120302491	241.227180481	235.17862549	236.082968142	266.324301061	192.075231614	208.439920215	144.505737088	205.467197096	324.073016144	205.140481661	159.361490153	223.664622181	222.651267149	195.904760812	182.446375185	221.281555555	148.454147165	181.457600483	163.44992661	260.458083972	187.005496324
158.429516741	203.800828811	171.655020157	175.134560681	196.572812634	167.977162325	173.541506158	232.409930743	135.743398024	226.10165263	205.140481661	324.073016144	186.208954009	209.69130981	175.025584486	153.330048906	216.981187214	229.883516141	185.201735137	188.146398909	160.296305535	170.294899622	176.343782246
169.577908764	185.382568209	135.773044741	149.896010092	180.345026755	167.709821417	172.698431104	210.274125851	131.212841441	164.032944401	159.361490153	186.208954009	324.073016144	194.393465397	194.751836399	169.661494372	159.567209691	176.160595159	204.797307942	145.269406711	169.800247004	176.113321611	172.642289978
226.556253905	226.73407085	220.495948042	149.107272759	254.83175546	227.420121528	186.946451242	235.839421209	183.341339403	153.557057618	223.664622181	209.69130981	194.393465397	324.073016144	233.849011533	207.963262506	211.398667556	210.54381212	221.566223916	140.312606787	205.735411885	237.914500279	203.496471126
218.498170497	231.388802704	216.225683022	156.591391476	242.46079144	243.76830225	224.731530361	213.116032088	150.953782865	153.859066138	222.651267149	175.025584486	194.751836399	233.849011533	324.073016144	243.334253235	189.013799056	181.640464302	218.624994163	133.663063788	188.266891485	235.436188538	177.4665591
200.685294665	184.461520475	166.630310174	169.93640243	224.180620922	206.023806743	175.777288301	199.395611263	137.209450284	132.387014535	195.904760812	153.330048906	169.661494372	207.963262506	243.334253235	324.073016144	140.416799683	148.256953602	201.628683883	144.846143254	176.538771733	211.747592431	172.759233594
143.488062966	188.467367937	177.333372672	123.206089246	186.869830198	157.666905087	155.580008293	197.862449739	121.843088074	174.624895061	182.446375185	216.981187214	159.567209691	211.398667556	189.013799056	140.416799683	324.073016144	251.259271889	227.965798265	139.13563756	138.52386505	152.169398998	126.64275667
