Tissue	wholeblood
N_samples	334
Chr	2
Gene	ENSG00000197756.5
SNP	rs189397344
Gene_list	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000130255.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000105640.8	ENSG00000198242.9	ENSG00000198755.6	ENSG00000108298.5	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000105372.2	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000162244.6	ENSG00000008988.5	ENSG00000083845.4	ENSG00000137818.7	ENSG00000172809.8	ENSG00000149273.10	ENSG00000186468.8	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000164587.7	ENSG00000204628.7	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
324.073016144	242.903834636	248.268559915	222.353624745	119.56578124	186.47627491	104.498623393	238.647725588	223.032426832	161.12627104	207.962286773	222.376025017	177.229399418	155.523452704	228.938529682	235.075670558	207.848616065	163.397880011	199.75054659	102.648758486	193.643255276	217.731548907	246.799276958	180.01352521	141.605948783	174.275499325	173.601359943	206.990240898	220.677601923	161.486016657	179.944996101	227.866859696
242.903834636	324.073016144	217.879025125	229.071699506	145.078269039	163.962271399	109.595954782	255.509096064	179.33544743	122.498339139	201.454165659	215.248808709	155.616735542	116.567730981	220.721801873	253.37372447	181.128895033	187.345134367	211.600602503	101.975873009	206.300302771	228.786982411	212.489583553	149.978574057	98.135132295	183.45862221	147.672669191	168.097207746	198.656313264	146.448671258	155.861235627	194.928871294
248.268559915	217.879025125	324.073016144	214.196583351	159.263949017	193.046944063	156.085071678	250.491354434	235.043729484	215.837890202	251.113647502	244.131464546	195.965668545	133.442547201	203.774162703	266.266525831	227.836202917	181.891883971	229.74259746	124.188749585	243.715350002	211.917146538	225.38184883	212.107280106	157.328294117	216.847909375	155.723378849	261.168840293	236.972002123	178.873499459	229.106143932	226.773512201
222.353624745	229.071699506	214.196583351	324.073016144	191.929146811	207.950284988	159.422613606	214.616555665	199.056154875	186.447163352	237.188308038	242.251242074	201.539188549	208.791033174	245.761435143	210.392767448	226.128058716	184.26331701	231.29223461	182.790860365	223.710801913	199.52580566	236.654912919	175.222923704	147.286729716	224.038922724	156.967940683	194.677659098	206.129496213	187.220617407	123.105712441	213.436998138
119.56578124	145.078269039	159.263949017	191.929146811	324.073016144	258.401412372	237.237583704	189.434442642	167.133019575	214.16250206	223.294231691	223.692568951	212.265360073	194.440616494	153.693410373	153.924639412	249.622625887	244.97250334	245.556246328	277.518077255	202.732864789	209.527814337	173.034762655	262.216109143	224.274349833	255.613053631	219.085560059	195.960922228	191.897267556	235.320013275	112.101395466	194.497410388
186.47627491	163.962271399	193.046944063	207.950284988	258.401412372	324.073016144	256.087043996	220.418823437	218.547580737	252.11207937	269.832629818	240.435355151	239.401566804	241.004448438	191.051066981	204.322806751	267.160527098	247.927393228	262.805777944	277.832026317	240.352647422	205.614711004	236.828530767	256.111719346	264.678209391	266.996946084	243.622185588	237.844370112	215.086556494	238.889076856	178.679827124	251.992583291
104.498623393	109.595954782	156.085071678	159.422613606	237.237583704	256.087043996	324.073016144	171.557046533	167.630583883	251.432603328	211.140518974	198.384825536	190.432638369	207.184073078	111.382107166	164.231268555	195.985806954	211.250263525	232.936391127	253.766219408	211.456069927	168.759056759	194.896955085	213.069463306	219.785531336	239.810676929	222.344967257	216.048210413	167.733749849	228.812747206	139.826531763	208.915508931
238.647725588	255.509096064	250.491354434	214.616555665	189.434442642	220.418823437	171.557046533	324.073016144	206.128708528	194.570934436	238.051892125	255.071974452	187.750301347	136.389974043	240.86628748	275.466631405	244.27880432	242.545472862	260.184149299	154.131992641	267.766642925	238.750302659	217.46749473	220.037204407	144.898779388	213.463513917	180.137395035	236.742710316	250.855933008	195.186824736	209.019706213	231.682251369
223.032426832	179.33544743	235.043729484	199.056154875	167.133019575	218.547580737	167.630583883	206.128708528	324.073016144	225.342328958	251.254987993	207.850849323	229.753396118	143.738403229	187.373361757	250.425805836	199.96027842	154.203079539	218.05734826	147.76669303	206.107997095	171.04200065	211.726950544	205.76663717	194.282638835	206.517754646	189.58411783	247.992453335	185.357901483	155.492506645	200.662327639	229.060494507
161.12627104	122.498339139	215.837890202	186.447163352	214.16250206	252.11207937	251.432603328	194.570934436	225.342328958	324.073016144	243.7094106	224.16058471	238.675170272	167.376876837	133.248923202	208.068587876	230.719753304	166.175312538	232.035814963	228.546497048	236.270891964	159.146967255	193.065997381	251.65722265	238.288017443	239.049611992	190.330148016	260.493168762	196.805049235	208.674086889	176.329128244	201.674306346
207.962286773	201.454165659	251.113647502	237.188308038	223.294231691	269.832629818	211.140518974	238.051892125	251.254987993	243.7094106	324.073016144	253.873954384	238.996560922	203.127108325	216.355159563	256.512122263	261.917693157	223.075176486	264.188995344	212.021148046	257.543752721	204.289245647	231.90127937	234.822337167	223.279308935	260.893945807	187.883680993	268.014184782	214.905988317	205.520594257	214.455596439	244.358263667
222.376025017	215.248808709	244.131464546	242.251242074	223.692568951	240.435355151	198.384825536	255.071974452	207.850849323	224.16058471	253.873954384	324.073016144	233.572127543	198.527470295	237.149776354	244.40877467	277.64196906	255.097000636	260.669153119	209.888960086	261.088134591	236.980976843	241.569357367	262.693729931	194.144796244	231.168297836	181.720743073	249.437263776	257.885480596	241.459762776	171.857451635	244.177683731
