Tissue	braincortex
N_samples	95
Chr	17
Gene	ENSG00000132535.14
SNP	rs146995623
Gene_list	ENSG00000099864.13	ENSG00000127585.7	ENSG00000104964.10	ENSG00000125648.10	ENSG00000132535.14	ENSG00000184702.13	ENSG00000162545.5	ENSG00000158856.13	ENSG00000092051.12	ENSG00000124507.6	ENSG00000116544.7	ENSG00000183741.7	ENSG00000130758.3	ENSG00000108309.8	ENSG00000108819.9	ENSG00000063180.4	ENSG00000181418.7	ENSG00000251322.3	ENSG00000161681.11	ENSG00000135439.7	ENSG00000154118.8	ENSG00000059915.12	ENSG00000107954.6	ENSG00000107130.6	ENSG00000165802.15	ENSG00000070808.11	ENSG00000171992.8	ENSG00000133612.14	ENSG00000145920.10
Gene expression stats (Y^T * Y): 
87.3684685627	62.9248791278	45.232647061	58.3594142036	55.3868504405	42.8013852345	34.7006668771	35.2720492628	34.2783713034	47.1869167146	44.4539322875	49.4445762724	61.837564549	59.5879578789	53.6674691917	59.6373065738	56.6960031258	47.2354202525	42.300103305	49.8869970498	67.3821476602	66.2329533119	44.4934336993	65.0197196361	65.815424826	41.3536380803	51.0096683284	61.5047031693	35.9499643108
62.9248791278	87.3684685627	57.8459016359	66.8414163421	67.7636357465	74.6095404173	59.9810647164	57.4801987086	41.202626086	67.0752327954	47.6655334032	50.5754643459	48.3916998334	61.3317156287	54.9094976378	68.19131212	72.8314496727	37.6107232875	43.4113064298	65.9879811099	58.8120333812	72.718021977	45.9032159932	73.6896343028	77.2196078947	65.0375325583	58.0690168664	50.3469952551	60.0730756886
45.232647061	57.8459016359	87.3684685627	47.0940293703	61.2083196118	57.6124568565	32.9405527971	56.4654438187	26.7021936609	44.1579897676	27.2826924142	34.1838003801	45.772646269	59.5953838058	45.3262646268	57.9325565742	44.7229886211	31.9207809325	39.3957901442	56.5062156975	44.4487280096	54.7172896204	31.9714965698	52.7327304602	57.8340688537	51.045518079	45.8320423175	47.5278353547	51.1885331479
58.3594142036	66.8414163421	47.0940293703	87.3684685627	59.7383028213	56.3877010846	51.9872076328	39.2030492314	45.2069540905	55.2545190766	43.4796742429	60.5220935301	50.5236510287	54.9032974015	56.3457414266	57.1503377725	66.981499505	37.062472739	41.7629694279	56.8564103743	56.6617489406	50.2034911559	43.0435813928	71.1712207297	71.9015056676	58.9652796108	62.0483289314	41.9268521228	49.1177704295
55.3868504405	67.7636357465	61.2083196118	59.7383028213	87.3684685627	64.7806759728	54.7523764586	53.3111999934	54.8003508214	55.1867804304	57.1853685292	57.2842683504	52.4675581988	54.024372143	62.3685573118	59.266369444	66.5621195319	54.0753201696	57.7414397515	61.9015145222	62.1565152984	59.2405477437	54.1522845621	61.7241830133	61.9412080289	66.8890259113	64.7800256843	60.9936965395	54.8094915994
42.8013852345	74.6095404173	57.6124568565	56.3877010846	64.7806759728	87.3684685627	49.0565576098	67.5079519263	40.9572462021	72.0391558484	44.3714538154	44.418740858	39.9431792486	57.6498280472	41.8724876749	59.1356461712	68.1201622138	34.6071489636	31.9733176536	67.364105757	48.1486256651	66.2228522585	38.8435372811	66.5339916561	68.6967556692	69.2155654847	60.3056599188	48.0812524876	62.9779598016
34.7006668771	59.9810647164	32.9405527971	51.9872076328	54.7523764586	49.0565576098	87.3684685627	30.9908525611	46.1916719116	32.9748600536	49.1888808095	49.005116387	34.6650846054	41.121402019	41.2135549355	49.3147004104	60.5775005192	35.5713239205	35.3019187998	33.6907506354	42.6493088914	39.5975153778	38.3864493077	59.7060154255	55.2023760662	68.732639168	55.5983032501	24.5006740746	49.7956628506
35.2720492628	57.4801987086	56.4654438187	39.2030492314	53.3111999934	67.5079519263	30.9908525611	87.3684685627	39.5863450169	64.8716508544	30.9810291655	34.0340637887	37.0622224479	50.6677824793	35.0952401996	44.8540024701	50.4514922487	38.4872183327	33.3924349944	50.6239831927	41.8810986723	55.1285206183	35.0064390419	54.1190487661	47.5273623474	57.8318557119	47.1019381957	53.8855246831	59.8768248367
34.2783713034	41.202626086	26.7021936609	45.2069540905	54.8003508214	40.9572462021	46.1916719116	39.5863450169	87.3684685627	39.0707610618	60.6762772417	48.0627330995	39.151730302	32.3550216963	51.4201405252	40.2129935785	57.0497302652	59.997963846	43.2000017766	41.7034363309	49.929691624	39.7453065622	52.7546101566	44.8168074093	35.5825043576	54.8324180933	56.5854835711	44.8016833621	37.9113838041
47.1869167146	67.0752327954	44.1579897676	55.2545190766	55.1867804304	72.0391558484	32.9748600536	64.8716508544	39.0707610618	87.3684685627	42.9823396027	52.8918108827	41.2232382744	44.9562119578	46.7498336083	45.1681131727	62.6028187254	43.8487624712	34.442986326	63.5318086829	51.0320237267	57.5773761936	51.5068573703	65.9344035498	59.775071988	56.0600369601	50.204651274	44.9485482308	55.1196912547
44.4539322875	47.6655334032	27.2826924142	43.4796742429	57.1853685292	44.3714538154	49.1888808095	30.9810291655	60.6762772417	42.9823396027	87.3684685627	65.268039342	49.8874996444	28.8449632558	58.5936256332	43.6992939115	55.2672165491	61.2036490618	46.0672129477	55.8586316525	58.4422410148	44.0303781693	55.3464754442	49.1031902684	46.2116700636	50.5306314014	68.0515170502	37.0739369233	35.4469076072
49.4445762724	50.5754643459	34.1838003801	60.5220935301	57.2842683504	44.418740858	49.005116387	34.0340637887	48.0627330995	52.8918108827	65.268039342	87.3684685627	59.9384219453	35.4035834335	67.1822606802	41.4974083117	59.8530943294	56.3263917882	53.1313227632	55.3816150627	62.1446385602	36.6464575521	55.5807770798	60.1670903371	55.0800193954	51.4327812128	69.7095984724	39.8515771403	41.367522092
