Tissue	wholeblood
N_samples	334
Chr	4
Gene	ENSG00000132465.6
SNP	rs34367704
Gene_list	ENSG00000239264.4	ENSG00000211644.2	ENSG00000211648.2	ENSG00000211651.2	ENSG00000211653.2	ENSG00000211666.2	ENSG00000211668.2	ENSG00000211671.2	ENSG00000254709.2	ENSG00000132465.6	ENSG00000211598.2	ENSG00000243466.1	ENSG00000241351.1	ENSG00000244437.1	ENSG00000239951.1	ENSG00000241294.1	ENSG00000244116.1	ENSG00000243238.1	ENSG00000251546.1	ENSG00000211949.2	ENSG00000170476.11
Gene expression stats (Y^T * Y): 
324.073016144	240.050498183	242.035685321	260.733753136	250.20310307	244.647716401	251.461286808	242.52270774	262.037873411	266.884724435	258.153039539	256.092031725	248.478892046	241.291649535	245.184076864	222.696983963	242.330382785	239.765192549	240.441944567	246.901906937	285.258050865
240.050498183	324.073016144	285.752332102	278.077105147	280.891479067	278.975684438	256.897232942	254.056805287	276.584567705	271.510269486	272.357650133	269.317486899	274.829095922	270.234996036	285.219073587	261.520901028	285.501223704	267.099010007	278.684980684	267.18842305	264.901811813
242.035685321	285.752332102	324.073016144	271.046039015	257.256128396	263.37785272	243.019342462	247.742733369	272.905221552	277.852416737	253.326114676	250.543222417	259.025583932	257.430797746	267.846056345	272.225553109	272.194976696	267.446328536	257.461368349	271.365281242	259.783138343
260.733753136	278.077105147	271.046039015	324.073016144	290.269679659	274.113394067	270.459338297	266.127401564	278.528199597	271.387579798	284.346909025	283.888874257	277.76519115	270.250247353	279.24971986	239.295970953	256.896628729	261.070651075	281.091589061	278.54658812	284.021782723
250.20310307	280.891479067	257.256128396	290.269679659	324.073016144	281.541950517	278.210228847	259.166748598	274.633766269	260.376361631	284.6234593	282.762201743	289.23523962	278.181930192	283.593543528	228.199941163	257.488443838	248.202229542	281.131665859	269.38741312	281.728544269
244.647716401	278.975684438	263.37785272	274.113394067	281.541950517	324.073016144	274.761697834	263.771083556	261.146030737	276.858001459	278.845442126	275.805685731	285.709674654	280.941555984	283.790757653	234.635979895	277.962642947	265.995305226	278.176934774	261.178895736	267.76087021
251.461286808	256.897232942	243.019342462	270.459338297	278.210228847	274.761697834	324.073016144	270.212827426	272.373734362	260.716293211	284.363778546	286.602970144	276.569314574	268.617492239	264.297102587	230.886866193	251.060373403	251.170701313	267.036365636	253.241259964	285.536038546
242.52270774	254.056805287	247.742733369	266.127401564	259.166748598	263.771083556	270.212827426	324.073016144	269.507426013	262.714817265	277.702654334	266.895458747	257.278227145	263.552635239	256.895216806	236.247687364	251.599342972	255.847632793	256.494797269	272.164756914	273.960600814
262.037873411	276.584567705	272.905221552	278.528199597	274.633766269	261.146030737	272.373734362	269.507426013	324.073016144	266.43533838	268.013946318	269.984710905	264.994919086	269.106497054	261.520615917	266.105260932	263.060710691	252.609775202	266.157560048	265.365768357	296.452088132
266.884724435	271.510269486	277.852416737	271.387579798	260.376361631	276.858001459	260.716293211	262.714817265	266.43533838	324.073016144	268.369911516	267.209508968	267.447512915	267.993545631	276.326291944	260.93264076	275.488935715	282.903201384	270.815810177	260.956188351	282.148291179
258.153039539	272.357650133	253.326114676	284.346909025	284.6234593	278.845442126	284.363778546	277.702654334	268.013946318	268.369911516	324.073016144	305.445856978	288.910334	281.696808658	287.607650496	234.081593324	266.784711339	264.763178405	283.064816026	277.152735132	288.569085313
256.092031725	269.317486899	250.543222417	283.888874257	282.762201743	275.805685731	286.602970144	266.895458747	269.984710905	267.209508968	305.445856978	324.073016144	288.810845304	278.869920704	284.286276933	232.878686052	266.588279033	261.622094419	283.053030907	273.748510893	286.577360141
248.478892046	274.829095922	259.025583932	277.76519115	289.23523962	285.709674654	276.569314574	257.278227145	264.994919086	267.447512915	288.910334	288.810845304	324.073016144	288.824343769	295.553936342	238.952192651	275.131057816	261.868870164	290.609990538	279.426852427	275.5198821
241.291649535	270.234996036	257.430797746	270.250247353	278.181930192	280.941555984	268.617492239	263.552635239	269.106497054	267.993545631	281.696808658	278.869920704	288.824343769	324.073016144	292.126313021	234.492850527	267.142452962	262.542636499	281.142596975	273.679374231	278.113827694
245.184076864	285.219073587	267.846056345	279.24971986	283.593543528	283.790757653	264.297102587	256.895216806	261.520615917	276.326291944	287.607650496	284.286276933	295.553936342	292.126313021	324.073016144	243.294941549	290.241685554	272.096448833	296.947175354	277.365711954	271.28496608
222.696983963	261.520901028	272.225553109	239.295970953	228.199941163	234.635979895	230.886866193	236.247687364	266.105260932	260.93264076	234.081593324	232.878686052	238.952192651	234.492850527	243.294941549	324.073016144	260.368930361	276.126067633	249.720867973	255.758271619	247.156145482
242.330382785	285.501223704	272.194976696	256.896628729	257.488443838	277.962642947	251.060373403	251.599342972	263.060710691	275.488935715	266.784711339	266.588279033	275.131057816	267.142452962	290.241685554	260.368930361	324.073016144	280.227179088	277.286281337	269.092637357	260.062755898
239.765192549	267.099010007	267.446328536	261.070651075	248.202229542	265.995305226	251.170701313	255.847632793	252.609775202	282.903201384	264.763178405	261.622094419	261.868870164	262.542636499	272.096448833	276.126067633	280.227179088	324.073016144	269.157512996	266.811004687	259.936060451
240.441944567	278.684980684	257.461368349	281.091589061	281.131665859	278.176934774	267.036365636	256.494797269	266.157560048	270.815810177	283.064816026	283.053030907	290.609990538	281.142596975	296.947175354	249.720867973	277.286281337	269.157512996	324.073016144	273.155282243	275.080498785
