Tissue	braincerebellum
N_samples	102
Chr	3
Gene	ENSG00000162244.6
SNP	rs12487108
Gene_list	ENSG00000171863.8	ENSG00000130255.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000142676.8	ENSG00000124614.9	ENSG00000125691.8	ENSG00000108298.5	ENSG00000168028.9	ENSG00000105193.4	ENSG00000188846.9	ENSG00000105372.2	ENSG00000142937.7	ENSG00000265681.2	ENSG00000063177.8	ENSG00000142534.2	ENSG00000213741.4	ENSG00000162244.6	ENSG00000083845.4	ENSG00000149273.10	ENSG00000167526.9	ENSG00000156482.6	ENSG00000114391.8	ENSG00000071082.6	ENSG00000109475.12	ENSG00000089157.11	ENSG00000136942.10	ENSG00000148303.12	ENSG00000182899.10	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
94.2403082206	53.5953513258	51.0950154357	62.7282262286	50.6683062575	58.4326207038	66.0685364891	63.6396343096	58.3349999389	63.0992727862	55.5440882893	51.9092818364	41.3698653507	50.6968658349	46.5922259789	64.7596788939	60.2032224215	39.7156803661	46.1969901528	53.6704644439	57.8261608071	54.2054122759	57.942154285	35.4801978996	61.3078798008	69.4696630195	57.9617558156	63.9365705406	45.0670012409	58.556727691	56.143081314	63.9866670002	48.2568908432
53.5953513258	94.2403082206	34.7832081034	49.7927374391	43.2260947002	37.6971321475	38.3846281488	47.7551480582	46.0984308127	51.001258796	55.8572904291	36.1855059257	73.7781815728	40.8985849657	77.3231913864	57.0597389677	46.7936662359	54.7367786734	49.6967559415	38.1887827513	60.1750705889	53.1926757123	51.9516749745	65.2508329257	34.0106462244	41.859992079	40.7799255416	34.0107289331	38.649956086	66.9739892493	45.3621752328	41.9630614131	55.2972059701
51.0950154357	34.7832081034	94.2403082206	51.5450382303	42.7329439813	64.1531852363	57.2079811609	61.997336654	57.7303251238	48.0104140605	59.0075251696	61.1089122974	32.1276144155	37.7443750051	28.7391224154	71.8578438871	57.5258073712	51.8471107772	41.0121868284	66.7755352841	58.6140511782	59.0420551706	40.9670817718	42.921891559	55.3820011023	62.7370463997	54.1113212362	59.6124454746	61.5497240738	58.6925373615	48.3741464718	61.7906796048	37.0438655579
62.7282262286	49.7927374391	51.5450382303	94.2403082206	67.0072202205	70.2278300548	74.1726515565	78.9270026063	63.9804038643	78.4960528268	78.7923069281	58.9933115636	58.3218377747	66.9196570468	52.1464788388	69.6528482174	71.1256835184	56.6115280255	70.0672718459	69.0807584651	71.146924941	73.4855275609	74.3007646809	48.7303962521	78.7625365793	72.11074972	76.7112418911	70.7920221123	62.5142855658	64.6424910651	73.0675364533	72.2757704229	74.468149228
50.6683062575	43.2260947002	42.7329439813	67.0072202205	94.2403082206	61.2166094346	60.836219775	58.9356723831	65.4355964083	57.327636375	70.2033684996	63.8181534715	54.8807173085	41.9115370466	47.5435453718	56.4730820679	51.8444992124	57.6938792954	63.9127741181	61.9753446194	60.7791294721	64.9546275069	60.1135373007	55.8028300317	57.6470757112	55.6854317229	63.0619999779	50.3843579625	64.3734170766	53.4255486279	67.1755802854	51.0167305984	60.2399325298
58.4326207038	37.6971321475	64.1531852363	70.2278300548	61.2166094346	94.2403082206	71.9336847886	73.9083350966	71.8947639947	65.5828205551	66.4828579669	63.4060276424	39.4606287792	49.6223814676	38.5490184217	74.8710725843	68.0087351162	54.8230279975	59.7241976245	82.0105632926	64.9129539257	63.6274160736	61.4981909762	41.7776095509	73.7279862868	76.4351544566	66.030679572	75.9454532563	68.4256971059	64.931973138	56.5790694485	80.1626543333	54.7633017155
66.0685364891	38.3846281488	57.2079811609	74.1726515565	60.836219775	71.9336847886	94.2403082206	78.6635347061	62.5912212298	73.9204911113	68.0691636001	67.5609269079	41.1475075346	64.8113316829	36.7955371958	75.7122949142	77.188610949	48.7798392926	47.9074615535	68.4547161912	64.582466224	64.8228291826	63.4470160569	36.5395265278	80.5580153912	80.4837582224	66.8704741929	76.272949169	66.6120163997	54.3576428395	67.3511635182	75.655540319	51.2807003431
63.6396343096	47.7551480582	61.997336654	78.9270026063	58.9356723831	73.9083350966	78.6635347061	94.2403082206	65.6846437768	79.8093134433	74.1046086807	68.0665164755	56.2040295909	68.5501520644	49.9109170283	77.6631731016	81.4831880224	50.9252518827	60.7761234938	73.4721612712	70.0569372457	71.5467617274	75.0639158822	46.5258182053	83.0103968414	78.8999683836	70.4864048062	72.6723922406	61.9075614637	57.932505612	72.0897295367	72.1651790452	71.0624824129
58.3349999389	46.0984308127	57.7303251238	63.9804038643	65.4355964083	71.8947639947	62.5912212298	65.6846437768	94.2403082206	63.0335466615	61.4360675456	60.8510722519	53.1696311266	40.0656561136	44.1626753193	69.4092756057	59.4771976652	55.9913388158	54.9248575539	75.7742833832	60.1920960919	65.3413530918	67.1118450266	56.2484568039	60.5108426683	62.2125948185	61.7083687404	58.9623764907	61.1415966146	64.2958584539	60.0135705781	66.3333728353	64.9762616208
63.0992727862	51.001258796	48.0104140605	78.4960528268	57.327636375	65.5828205551	73.9204911113	79.8093134433	63.0335466615	94.2403082206	71.2845009418	55.0232325718	57.0501579419	62.4040397437	47.2265956844	73.2947635635	71.6314424153	43.6543055507	61.1729547857	64.0482828661	61.1564168597	61.8468657553	72.1732944084	45.6023816019	75.5677720664	70.5606381279	79.0482102464	70.2360896001	54.7604946951	53.408862377	70.2862800805	74.0481941518	72.4901052
