Tissue	braincerebellum
N_samples	102
Chr	10
Gene	ENSG00000148826.6
SNP	rs12240562
Gene_list	ENSG00000141934.5	ENSG00000133256.8	ENSG00000005513.9	ENSG00000129757.8	ENSG00000162073.9	ENSG00000177105.9	ENSG00000129250.7	ENSG00000166394.10	ENSG00000180739.12	ENSG00000117115.8	ENSG00000151552.7	ENSG00000129538.9	ENSG00000150867.9	ENSG00000166091.15	ENSG00000158865.8	ENSG00000204655.7	ENSG00000126860.7	ENSG00000180354.11	ENSG00000184007.13	ENSG00000078804.8	ENSG00000105695.10	ENSG00000012124.10	ENSG00000011426.6	ENSG00000128283.6	ENSG00000100146.12	ENSG00000167641.6	ENSG00000168314.13	ENSG00000146122.12	ENSG00000173786.12	ENSG00000049089.9	ENSG00000092529.18	ENSG00000010282.10	ENSG00000079435.5	ENSG00000066322.8	ENSG00000086205.12	ENSG00000167755.9	ENSG00000064787.8	ENSG00000065361.10	ENSG00000102934.5	ENSG00000092758.11	ENSG00000124920.9	ENSG00000176485.6	ENSG00000126803.8	ENSG00000172508.6	ENSG00000124374.8	ENSG00000150656.10	ENSG00000141540.6	ENSG00000114993.11	ENSG00000197971.10	ENSG00000103089.4	ENSG00000141524.11	ENSG00000204278.8	ENSG00000033327.8	ENSG00000073417.10	ENSG00000118785.9	ENSG00000187764.7	ENSG00000172005.6	ENSG00000197430.6	ENSG00000080822.12	ENSG00000136938.8	ENSG00000071054.11	ENSG00000107829.9	ENSG00000203485.8	ENSG00000070214.11	ENSG00000134222.12	ENSG00000139433.5	ENSG00000198121.9	ENSG00000136867.6	ENSG00000187164.13	ENSG00000136960.8	ENSG00000107902.9	ENSG00000167123.14	ENSG00000091513.10	ENSG00000126878.8	ENSG00000104419.10	ENSG00000148826.6	ENSG00000064393.11	ENSG00000169554.12	ENSG00000132702.8	ENSG00000136541.10	ENSG00000078269.9	ENSG00000164124.6	ENSG00000144283.17	ENSG00000013297.6	ENSG00000117266.11	ENSG00000196187.7	ENSG00000116574.4	ENSG00000119280.12	ENSG00000115468.7
Gene expression stats (Y^T * Y): 
94.2403082206	60.3343016649	51.1910071862	60.2434591648	45.5266305828	64.3665990693	38.3900559601	59.3925962174	59.2950175907	51.736155422	54.3767329456	55.4755111592	70.9301229856	62.3093990544	65.0034032939	61.1276275031	66.4177486246	39.6983175706	47.205445126	31.3901327346	67.1733700042	70.3107618031	63.323575696	70.6664726521	66.7786384317	56.5448658677	41.2993952268	59.1923382672	55.2496315508	65.1433818459	62.5775978116	45.6639661826	59.7691578316	61.2684138098	64.0632038462	69.8007800308	44.293481134	72.4101617115	66.965607889	52.9853995341	68.9722648492	60.8814876558	73.2631154052	62.8937526086	49.4219978986	60.7289849367	70.0117434064	61.706308418	44.4867366825	72.9285975637	52.7921472725	61.5327317869	48.9919826565	65.5145781822	52.002437689	56.9026925523	59.2279892034	65.6594336396	51.9959142788	30.9368149081	43.5112938136	37.1389420862	64.133774969	62.7931592387	38.9633762278	52.4857959573	53.3270529822	63.7706465621	51.2781393249	66.1582620017	44.9808048817	45.0348283743	58.3967813093	34.9014028259	52.7554534453	66.4737270953	41.5370631358	52.6444625743	57.624123917	60.3312258583	55.7894776236	64.7533934337	32.441230915	59.1536683585	57.2236493026	56.3736512512	53.2203811243	43.4814344007	65.1641949845
60.3343016649	94.2403082206	54.2746642484	56.9344074844	47.6868643228	61.0427303625	31.0191178839	55.271874043	68.686689462	47.1401490525	47.1067691805	41.0771433197	57.4898666634	48.0419206202	51.2889454657	50.1486821985	50.0833716488	28.7139679915	39.0307895888	28.3637137724	51.9190809065	66.0558770987	50.791493322	58.3906171527	60.4153655228	51.7871410867	30.1119723332	46.0899177609	38.3906487478	59.0441530975	47.6450931558	37.5122541858	47.168289	49.7071023198	64.2954684161	57.7842212355	35.9739097528	62.2803485051	49.9375630988	48.3868415605	56.1627472999	41.4349428081	56.4182279652	52.115682581	38.3864759109	46.5912972288	55.663420312	50.6409979386	35.6746145103	61.134348191	49.892871084	65.2165178378	37.8312769362	57.8890074211	35.3194647913	50.6211508146	42.2681248469	56.5083582688	38.9220037626	39.7041467261	33.7165061752	35.4419847551	55.9687720876	54.5301697628	37.0621609373	48.1741332861	41.170686875	48.7894475573	39.8089982276	48.5509583493	37.8989863635	36.3561501868	46.6711875333	27.9371784825	34.9841120152	63.2030590429	34.4689501574	48.9469136498	51.8196322249	47.3554895618	59.9271302077	49.4441708727	25.1295286602	39.8633268623	42.9389484099	44.6556881039	51.0339370956	34.26032569	39.7112368529
51.1910071862	54.2746642484	94.2403082206	53.9951091816	62.4792747267	58.0125123043	46.5928561729	46.5225520442	61.1283463249	55.1010881095	51.0531972903	36.6807339844	59.9285011961	53.8250232876	59.9305624815	50.1935091777	53.4930680397	44.4236614309	45.0270300501	36.2633237863	55.1345479554	57.6821969805	58.1743199543	58.4387284143	65.2197109123	54.602558601	42.1842239656	55.8719652401	46.8931436211	68.9548097385	51.2410371275	51.2460982006	56.3940164041	46.242494343	56.1364328986	54.6859790001	46.4081551398	59.5362475737	62.1971399684	53.0828463702	56.3818925108	49.5418330335	61.9672178673	56.8907142107	45.2605245701	49.2247730349	57.8908098389	62.089018866	43.7007101415	63.4914868029	56.1200665815	54.092597636	41.1247535871	51.8607327941	32.2666996716	53.5208321478	53.6104571041	50.11240747	50.0753275831	36.0001698229	43.611682114	41.5883926865	55.3368202067	54.9967672528	42.0537568406	48.6050759637	47.4671460129	46.8859173433	51.7063470494	50.6987842701	47.8305846158	42.6535014658	53.6244218342	44.6104234415	38.9963948822	60.2199638479	50.2151960478	55.392193116	58.8354475021	53.3944882856	61.3171098851	49.7803113225	39.544663545	33.8735627063	46.8239778791	49.7316954251	52.0677595427	32.6864372995	52.3968909134
60.2434591648	56.9344074844	53.9951091816	94.2403082206	47.9582628553	60.7290779799	32.1803867204	63.4686126644	71.9354196593	56.2492742779	55.3254926086	50.4300731683	59.6157481733	44.9688219057	69.5375503603	58.5387902386	60.2677329174	37.3413802757	46.601702145	34.5874241466	64.421608433	56.8462306985	62.2376738881	68.0249958139	64.2806074848	60.8284971461	41.7538983559	52.4907642385	54.6148684277	65.2086333285	56.9064389855	48.4325256055	60.2427689854	58.6850067306	57.0712370837	72.4160379401	41.124826222	63.9567301293	58.9540169842	56.9627881902	62.7402803532	55.6041725488	69.0006026191	65.2277809826	51.2082706785	58.0388727613	53.109821389	51.086912602	42.4864041708	71.4522149906	54.3611149038	57.1776732717	45.7659591244	57.3090510557	50.2128367239	56.1058630865	45.3062452262	50.5730504336	46.1483952179	46.4400768408	37.4986961572	39.1542903649	61.8735647349	63.078465501	32.3837808328	51.4112967339	50.2297487182	51.0061831892	45.3313219953	58.7010969352	49.6936628881	37.8277556019	61.596817432	39.3930232342	54.2895046216	70.5145930808	44.6849652839	58.8069843051	49.2428096597	59.4517772125	66.8576669686	54.6331438209	38.828757855	58.389892045	55.6913992632	54.1886316783	51.8800891859	45.3721967738	54.9621773356
45.5266305828	47.6868643228	62.4792747267	47.9582628553	94.2403082206	54.5626156692	39.3656665207	46.9587903401	51.0621711563	46.5379242101	58.266734974	49.8320867084	60.5142204274	52.8269859843	56.3887936604	61.6045640912	49.7268327401	46.0354513632	53.2649803124	40.4434110332	62.0156862601	55.7473235592	56.115995121	60.7370413435	60.3870812158	58.7053069089	48.3785134788	47.8035204074	54.7413704555	62.4476959209	51.9001066679	50.1842605143	48.5466729317	53.5286078688	48.3698190093	61.3214705817	48.1501964815	51.6041020941	61.2285530357	52.9279897718	62.8961086013	54.6724977489	54.6873353366	63.6977323812	41.2471869466	53.6835740403	54.1161643404	51.9632326298	49.3217072592	60.1887241254	53.6963760483	56.4680602105	35.1373066363	37.7439114418	45.8952952608	50.3892512217	55.6283978117	51.0480640355	50.6276821138	33.5722652707	43.295690536	42.7776731128	57.7464864859	55.3637939401	39.0017071405	47.0608352613	48.7667031645	43.1979377704	51.3663196239	50.7774686333	50.8166549544	51.6875935048	59.1063100775	48.9597559182	48.4276460962	62.837583136	45.7725814597	51.2362204313	57.6506414038	58.6867905277	52.6557758752	48.0036188072	43.2240095169	47.9024360547	54.2789400038	48.75969378	48.340228498	31.1057406838	46.0398162855
64.3665990693	61.0427303625	58.0125123043	60.7290779799	54.5626156692	94.2403082206	38.6710706172	63.1080261505	60.4683244775	60.5237146141	54.1209280362	50.6887799273	67.7313388845	63.3375645573	57.2323008154	61.5361004707	66.3497904607	37.5699381831	51.1443270232	34.8658114664	69.8713635977	68.1599797576	64.1214262254	71.9536296567	70.9885157678	64.716865849	43.2372583839	57.4513972262	56.5303776104	65.8644275564	59.1008678878	42.5545158271	58.0647805398	72.6911568041	73.1194408801	71.1654264868	44.9104728053	70.978177969	68.6306842336	54.5810900558	71.2006163813	58.6100922448	72.1123816698	65.3598190371	54.7041332178	55.1132105092	68.7006338087	61.0826373349	45.5563123893	74.3589036065	58.1994084944	66.8263567695	50.4495434038	68.0368181404	52.8319904132	57.765287341	61.5946898958	66.3680690862	44.4684178527	38.8375675943	35.7290191202	41.939979099	65.4424522389	65.0629397521	46.4358265946	62.6209180906	52.1927182644	62.3408234636	50.6377052524	61.2596627709	44.0750740575	47.9509651814	58.8878163454	38.2560706082	54.1394063968	71.6664080792	40.4137035242	52.8463818856	65.1069647882	58.7777707938	56.2034752283	62.585818575	32.7728715517	58.6330147277	51.3133518145	52.6804301536	61.3313966526	54.6193610354	60.0100085321
38.3900559601	31.0191178839	46.5928561729	32.1803867204	39.3656665207	38.6710706172	94.2403082206	27.2687606338	38.6070302198	43.3406308078	55.0503039336	45.0912198947	53.4871498596	43.3926609339	53.7941987273	52.3373356083	40.1220484867	76.8228281527	74.4023439431	70.352285925	48.9154987423	50.0306000865	45.7670503386	58.8173488174	42.9855510285	58.6477500484	67.3005867425	67.5043777564	44.1918220565	57.9400718257	56.5051843113	56.1297994579	40.3581319452	45.5081324814	30.7199102181	48.8654304894	77.8498713744	39.7629054698	51.772785928	43.453540924	52.1788580523	56.2113151823	51.2484139397	55.4259768545	63.2371297476	42.8534380122	42.6593600779	34.666367228	68.2538575404	45.9159275415	58.2212627145	48.7816708634	62.2225529084	36.030996427	37.1543327667	55.3695146665	53.4451199987	50.9159605897	48.9819685128	53.1470500675	76.5494438582	56.1756014803	57.9229536458	48.6851607399	47.3852392192	34.3355802519	76.1673340071	29.3555198993	71.2493678282	44.6729101998	59.282982091	45.3700801258	49.3986095899	75.3996918934	60.9372902662	57.2546561489	78.7256262601	64.6739886723	41.6466603684	62.5815232944	43.922220426	31.1571461958	67.6994018193	35.7736826092	53.7869960121	46.0994226607	41.7478526161	37.0428030984	58.4264282633
59.3925962174	55.271874043	46.5225520442	63.4686126644	46.9587903401	63.1080261505	27.2687606338	94.2403082206	59.8024129157	52.4503104697	46.4183541511	47.3514579159	51.59027401	51.9497341719	49.3423955078	53.8369747541	55.0208055673	29.3264937574	37.7468115533	21.3192425157	58.6020679008	56.7081982269	48.2133608781	57.1410241098	65.0882096549	57.6318583703	30.486533783	46.7245056057	49.0807133181	61.4638041321	54.5734618001	41.3608612885	48.7663932615	52.6289934693	63.2336239196	63.4784013422	32.5460926201	59.1297011744	58.308805382	52.5749402446	58.9991594293	51.5029329897	65.4576507583	58.085357859	34.6688020901	49.4167745842	57.6405005736	42.807454676	32.1647162942	61.235963048	42.9638753573	55.6426818793	38.4958026172	59.1619521607	39.9384433775	51.3531753295	47.9932559136	60.8504118038	41.1804996982	29.8724247027	37.0587733911	30.7593087532	51.0734844455	57.0432942628	22.7317969216	49.3871054318	39.2113862693	56.1770057851	37.565464601	58.1725101287	39.1496472998	39.3079955831	53.7180451687	32.6732489379	38.5672432319	59.507327391	32.1022811746	50.665016981	42.9064824187	51.0289704023	59.3838267978	52.7384420231	28.5365538038	47.8745133639	39.968386471	44.7533532908	43.8644311516	36.9887343858	38.8042870076
59.2950175907	68.686689462	61.1283463249	71.9354196593	51.0621711563	60.4683244775	38.6070302198	59.8024129157	94.2403082206	56.6130378985	45.9435294146	33.80311882	60.8250733921	47.7614245108	64.1657658154	46.2824575755	58.4778017227	37.7128475651	44.7331591878	30.3132737034	55.2142631208	65.400656472	60.5398850619	66.7368153339	67.2939058848	53.424054006	37.7159673285	55.3037827321	43.5103771366	62.3115840802	51.3944196649	45.5479256962	58.904559372	48.2238199616	65.9243030705	61.8144172331	39.9419063555	66.1919904858	50.9399968554	43.3566952236	54.8844808352	46.7385105416	66.4073928681	57.0413713676	44.2845260633	44.8063683607	53.9350598399	48.7622608643	41.1440343621	71.1226671631	49.0465601417	61.6619878544	52.6725555889	62.8265997657	34.9898213862	56.0714005421	46.1618142875	56.3892413685	44.0473772804	44.9878922337	45.740422977	39.2252970009	54.855699681	62.5335439354	37.9136880746	50.8371342549	46.7330902245	54.213283789	48.9226484347	52.9422347456	42.4508431114	28.4307685395	52.1589761217	30.5211308483	42.1189607762	65.3484562128	47.2187471502	57.4001755613	46.3043363035	53.8089640965	79.489675636	50.7546784749	35.6199339801	38.0941986685	46.1610237571	41.596928057	49.0708258179	48.9822853706	45.5152057069
51.736155422	47.1401490525	55.1010881095	56.2492742779	46.5379242101	60.5237146141	43.3406308078	52.4503104697	56.6130378985	94.2403082206	49.3203632604	40.9100878176	57.3249983861	53.7745250601	61.3552124949	53.4975344781	61.362991466	40.7264245099	53.5428380949	37.5615462804	58.9691004582	54.2487356896	66.9258677547	56.3026886621	59.8453184621	55.4739030472	43.5381611685	63.9682467341	54.2708331674	69.7667131573	53.8597689338	46.7726256607	59.6970030426	60.148383385	64.2050151868	64.9709637039	40.7555651083	59.6514539501	59.7563807106	41.8035872275	58.0784404204	49.1162604774	65.7513682792	62.5376846778	52.2515293883	47.6576702176	56.0886196842	53.7385717697	44.8582552574	66.3893571136	48.0916186771	53.102257546	46.3564758456	50.0543086653	45.0138342242	61.2371627497	50.3462437419	48.5819300875	47.0921260073	41.7793185726	38.2036108221	45.1181186647	50.9839509277	60.9539156623	34.2570467112	49.773480499	45.7799185783	49.8116741174	48.9273683617	58.0928657316	48.4595312085	40.368386117	57.2276226222	36.7961409663	42.9462033528	60.9706098591	48.7490918783	48.3093432612	50.9955344035	60.4729898153	56.0789825377	60.6761409824	42.4361659737	47.4450666131	50.5195168782	51.703643505	54.6914591264	46.6983502201	54.8442721896
