Tissue	braincerebellum
N_samples	102
Chr	8
Gene	ENSG00000175445.10
SNP	rs301
Gene_list	ENSG00000127588.4	ENSG00000074370.13	ENSG00000168824.10	ENSG00000150995.13	ENSG00000116237.11	ENSG00000173482.12	ENSG00000105143.8	ENSG00000072954.2	ENSG00000051128.14	ENSG00000187664.8	ENSG00000175445.10	ENSG00000109107.9	ENSG00000188322.4	ENSG00000253304.1	ENSG00000100285.9	ENSG00000106341.6	ENSG00000128245.10	ENSG00000133424.16	ENSG00000100362.8	ENSG00000161381.9	ENSG00000101438.3	ENSG00000214694.6	ENSG00000187595.10	ENSG00000183036.6	ENSG00000137825.6	ENSG00000149091.11	ENSG00000136167.9	ENSG00000100422.9	ENSG00000006283.13	ENSG00000126583.6	ENSG00000178538.5	ENSG00000173267.9	ENSG00000104327.3	ENSG00000152208.7	ENSG00000110675.8	ENSG00000144136.6	ENSG00000119411.10	ENSG00000068383.14	ENSG00000236279.2	ENSG00000175040.4	ENSG00000128683.9	ENSG00000187957.7
Gene expression stats (Y^T * Y): 
94.2403082206	78.011340496	73.5639790659	75.846511877	60.6360771372	66.0051746718	78.537727855	53.9965051987	52.5074372606	65.2561481224	63.3670813653	74.2764483495	55.9506632634	62.6450851638	60.6011295454	71.9680617588	61.034397229	66.4644233794	70.1103409903	63.7201784597	39.5617820061	64.4118445384	72.8791023171	66.761616727	61.2818522935	60.807735496	51.957712348	68.3522241414	78.1105122274	73.9222955668	73.3382608187	69.5599224562	74.9951868922	46.2737637107	68.3148398331	57.2212617161	57.2949467116	79.1942677335	71.7412610384	72.9940523088	41.4778025031	61.0802868129
78.011340496	94.2403082206	73.2768935337	85.6749719688	72.3636135438	80.7577479277	86.086761835	64.3911666919	65.6129436546	82.0369796181	71.9172587306	81.5983481112	61.8321378887	76.2897921471	64.0526387272	80.7958900862	71.4389872307	82.6849857575	75.7368897724	74.682402665	48.1053068204	73.4392367287	82.5910938251	79.1274207927	75.2983510321	69.0928406292	64.1689348615	71.9420301607	90.4409757163	83.6083993639	83.7390313433	70.1955025323	82.2069699233	65.1491785093	71.2267968759	73.1868637061	69.4542679256	76.7165529694	79.7893431481	83.8286658766	53.2935077321	69.009772851
73.5639790659	73.2768935337	94.2403082206	76.7356880003	55.9378580414	59.7118500726	75.0404016821	51.7290824555	58.2659316453	62.3643300186	68.9906901493	73.3658203759	47.6855223972	58.1774951655	72.3897526497	76.6995729888	68.1297236373	68.9552226631	70.3031297477	59.0416034209	55.3800909256	57.0945254061	63.8142589006	69.3504927453	54.03224836	52.4410076354	54.7307259943	73.6120761313	72.4244600297	76.3017924869	76.8332563179	63.9545276273	77.0679448827	44.7330046698	77.4769422508	61.8227479923	55.0814940104	72.2564176355	72.5852949442	66.7179261846	55.9221651277	65.2502219523
75.846511877	85.6749719688	76.7356880003	94.2403082206	67.9849026966	76.5626963438	83.1036716139	59.3939527959	62.1814463065	74.5066780965	71.6759384178	81.5457522547	53.6855594513	69.3745584364	69.0019438505	81.2523645054	78.7233260239	76.5301812481	70.6790367577	69.0155179653	44.6626875331	66.9075765713	72.048029985	79.5562058133	62.0128295546	63.2047049031	64.2962683529	71.0209170281	84.3275480585	80.4088955502	84.8613842085	66.4556601446	88.7490802331	59.2140408363	73.7254611346	68.4774589152	57.6410569609	74.2827076677	74.8576297338	73.8708946721	55.7410548475	76.0706502332
60.6360771372	72.3636135438	55.9378580414	67.9849026966	94.2403082206	68.4398759093	62.3814459085	57.3103156384	51.4786268269	74.2974339877	58.3167703827	59.1604030146	50.2918379853	60.8162957543	60.9851036789	67.631199279	54.7465520964	71.6062836418	56.8039003062	64.7599701068	32.721736781	67.3467497226	69.5000676925	56.1561107902	65.7929623258	55.7525324305	51.9798111836	62.8083774227	77.011677603	66.1079207089	73.450016575	57.0709853648	66.4479220028	58.1678862237	53.2248526857	64.2334875774	74.3270901001	65.5607504844	61.8304460295	75.4621856072	41.8710043921	49.6243192559
66.0051746718	80.7577479277	59.7118500726	76.5626963438	68.4398759093	94.2403082206	73.3845401231	57.3183465678	62.5659045842	73.3715374404	68.7708152794	69.1635499101	59.1703134637	67.5252054891	55.5089698456	65.9312257208	63.0514514421	71.7689618832	67.1582305546	68.0212898008	43.1607440654	71.4582800012	71.5309892762	72.0483373087	66.6560761702	71.234255062	55.8175111863	61.082395069	79.8440141431	70.4505867051	74.0210355575	65.7522997696	72.8438920828	67.021238875	59.1460606273	62.829908891	63.6815592432	65.9442089356	63.7826952588	75.9518191633	53.9327327702	65.3420143242
78.537727855	86.086761835	75.0404016821	83.1036716139	62.3814459085	73.3845401231	94.2403082206	58.5739124426	67.3059956463	75.1079931622	66.9221951054	85.9116571614	57.064014155	68.4557117867	62.6750777624	77.7550922992	77.4340769552	75.7299254442	77.5836049204	66.5922899605	46.8221288118	64.3533247023	72.0576788863	81.9808816256	66.1550005774	65.7094290519	59.5403516435	65.5603165269	82.4866226945	80.7751610872	82.6863088391	72.7912114482	81.9124974376	59.9483767549	68.0269825878	66.5730193361	58.4438957976	75.0300193893	73.131070299	73.7793729383	52.7553773994	75.7331078092
53.9965051987	64.3911666919	51.7290824555	59.3939527959	57.3103156384	57.3183465678	58.5739124426	94.2403082206	35.2324680786	58.239486202	58.6438457694	55.2415006231	32.6675864063	62.8049972497	47.9393933091	64.3604717182	47.1334350249	63.987916273	41.4628971182	58.0256071161	35.6690892388	44.1567201311	56.8357021437	46.2260704674	56.1547041301	37.3031317233	52.4886993226	56.9950505857	64.0021234927	55.1155531373	61.6851034159	38.747769689	57.6947881115	50.3444760473	55.5169191194	61.7929600876	56.7898466896	57.265552658	60.2727632023	60.9083585637	29.9429551769	43.7920968647
52.5074372606	65.6129436546	58.2659316453	62.1814463065	51.4786268269	62.5659045842	67.3059956463	35.2324680786	94.2403082206	56.2910162926	66.1688800744	63.861321472	66.0356479556	39.9572051632	62.7683840047	53.8085908794	63.7259069641	49.5443160077	80.3546296819	52.5044015644	53.5141587183	68.9621846767	60.8523282586	75.1451671491	46.2327435692	69.6947915655	31.6453398151	67.3473057248	63.7339120269	73.9419387705	59.6917637631	64.9806784001	63.568626892	33.387501804	61.7885933963	41.7248345511	49.4563056601	52.01052792	65.5001784584	64.2400084855	77.2488799789	70.3295395531
65.2561481224	82.0369796181	62.3643300186	74.5066780965	74.2974339877	73.3715374404	75.1079931622	58.239486202	56.2910162926	94.2403082206	67.4104053698	70.6520560543	57.4436680145	66.8743594252	64.7550659317	72.8303530226	61.4060153279	80.1124373961	63.3152701492	69.7219747474	53.5984370218	63.9683778267	78.8012137098	64.8888608236	72.7466858959	58.6659852812	56.5769663623	61.6448482282	81.4928954046	78.7342509662	76.8611322621	63.0811612161	70.4823875005	66.4704052016	65.7125617475	70.5556664864	68.4962850457	64.1368448039	69.1342926063	78.1272138182	51.1520322677	57.1297357497
