Tissue	braincerebellum
N_samples	102
Chr	1
Gene	ENSG00000253304.1
SNP	rs553253
Gene_list	ENSG00000066230.6	ENSG00000127588.4	ENSG00000005001.5	ENSG00000074370.13	ENSG00000168824.10	ENSG00000150995.13	ENSG00000116237.11	ENSG00000178397.8	ENSG00000173482.12	ENSG00000101624.6	ENSG00000105143.8	ENSG00000072954.2	ENSG00000187664.8	ENSG00000175445.10	ENSG00000115884.6	ENSG00000165973.13	ENSG00000109107.9	ENSG00000253304.1	ENSG00000171189.12	ENSG00000106341.6	ENSG00000142149.4	ENSG00000133424.16	ENSG00000221946.3	ENSG00000161381.9	ENSG00000187595.10	ENSG00000137880.4	ENSG00000183036.6	ENSG00000137166.10	ENSG00000137825.6	ENSG00000124155.12	ENSG00000136167.9	ENSG00000269113.3	ENSG00000006283.13	ENSG00000186469.4	ENSG00000126583.6	ENSG00000178538.5	ENSG00000145242.9	ENSG00000168748.9	ENSG00000150361.7	ENSG00000113805.8	ENSG00000127951.5	ENSG00000104327.3	ENSG00000152208.7	ENSG00000112218.7	ENSG00000117600.8	ENSG00000139438.5	ENSG00000144136.6	ENSG00000119411.10	ENSG00000138741.6	ENSG00000053108.12	ENSG00000068383.14	ENSG00000016402.8	ENSG00000236279.2	ENSG00000175040.4	ENSG00000178172.2	ENSG00000135824.8	ENSG00000081320.6	ENSG00000174567.7
Gene expression stats (Y^T * Y): 
94.2403082206	46.0873896614	50.3155051129	61.4555994804	43.9773052547	52.2617019912	42.5527822938	44.4220782679	49.5626310016	54.2033842524	53.0201039079	49.4927027553	61.464953254	38.6029197385	56.4923367821	56.4607901937	44.3349465521	62.4346256877	64.192051123	55.4212724138	62.9592048417	65.3620211264	51.0179157091	55.2135374779	54.6127569615	39.8326803775	45.9697384095	59.7277514459	61.31168082	54.3447898421	52.484377499	60.4094834484	62.3135305411	50.2306599709	48.1890330498	53.7381351065	58.935416509	53.1732665083	70.4242039051	55.3443456152	55.6692123973	49.0144927137	49.1216292293	65.1727312725	53.0988640158	53.3475009276	55.2793722972	53.753064097	66.5323748389	64.4191600729	47.5544651522	60.6698588908	45.9571141315	58.1215833375	58.7605083707	61.0622834657	56.5529747958	45.8024279238
46.0873896614	94.2403082206	45.9943760737	78.011340496	73.5639790659	75.846511877	60.6360771372	54.039892347	66.0051746718	45.2526830599	78.537727855	53.9965051987	65.2561481224	63.3670813653	42.8901305884	31.6059544977	74.2764483495	62.6450851638	57.1703391932	71.9680617588	45.0903769737	66.4644233794	55.1806916401	63.7201784597	72.8791023171	48.6981442221	66.761616727	57.4763745471	61.2818522935	53.5401060383	51.957712348	39.4568648026	78.1105122274	51.3798282266	73.9222955668	73.3382608187	41.0882088221	44.9588120295	48.1813208527	48.8337424931	42.9063130753	74.9951868922	46.2737637107	45.0197756689	36.9710915562	59.6473963138	57.2212617161	57.2949467116	56.2357220176	54.8497789206	79.1942677335	59.4455893963	71.7412610384	72.9940523088	52.7548608057	47.180841338	41.2843057904	55.1021908411
50.3155051129	45.9943760737	94.2403082206	61.3472681246	31.3098356964	44.3385435344	45.9227142148	40.6776334777	52.3614806083	49.537355656	49.8179326583	40.7163755854	57.7829080847	43.5316204047	34.6145564177	37.3407580473	44.5516664191	63.4671005874	56.647345526	42.5641872496	43.1174351958	57.1288574008	53.8442626363	48.3308849487	58.8050936806	45.6267314632	48.774752508	43.1021567253	65.2434496908	47.1524248082	37.9919194031	47.7187861716	58.5259778731	47.0921531632	45.3177771966	46.6670795839	36.8758657566	53.28119881	42.9306093163	36.9109698238	36.2546900157	43.1839686988	50.6657880927	45.9319051433	56.0656044443	58.3392905232	54.2949210346	52.7044502467	50.6208863021	49.3401884191	47.6759670633	51.2927788176	43.7516860614	59.6879753439	60.1200868379	43.1244630745	43.9886716966	60.3747231426
61.4555994804	78.011340496	61.3472681246	94.2403082206	73.2768935337	85.6749719688	72.3636135438	60.2171225748	80.7577479277	59.5139601016	86.086761835	64.3911666919	82.0369796181	71.9172587306	54.413822644	46.9210371519	81.5983481112	76.2897921471	70.4973205143	80.7958900862	56.2265534492	82.6849857575	68.2460318565	74.682402665	82.5910938251	58.3539346871	79.1274207927	67.1948474829	75.2983510321	67.0782803434	64.1689348615	58.753360259	90.4409757163	54.426946478	83.6083993639	83.7390313433	50.6872843207	61.7976535458	58.9929096433	56.4435453805	55.5697109057	82.2069699233	65.1491785093	59.3413736959	53.3085397258	70.8390045172	73.1868637061	69.4542679256	66.6315174282	67.3502506084	76.7165529694	63.8459376599	79.7893431481	83.8286658766	66.8451404998	58.8170325368	51.7889632178	67.5144668138
43.9773052547	73.5639790659	31.3098356964	73.2768935337	94.2403082206	76.7356880003	55.9378580414	50.6702813684	59.7118500726	45.476589139	75.0404016821	51.7290824555	62.3643300186	68.9906901493	38.9031481271	36.5261503291	73.3658203759	58.1774951655	55.6449111077	76.6995729888	38.1792420315	68.9552226631	52.2872209699	59.0416034209	63.8142589006	44.2704488593	69.3504927453	53.8005770996	54.03224836	53.2942389723	54.7307259943	39.7790388592	72.4244600297	41.171786337	76.3017924869	76.8332563179	35.527132055	42.9918689676	44.3900246019	46.2877746219	48.1601590593	77.0679448827	44.7330046698	37.8101313185	28.6040578425	50.0449787387	61.8227479923	55.0814940104	47.651002119	52.946213728	72.2564176355	48.6567364181	72.5852949442	66.7179261846	47.441300768	49.6799297242	29.0553539575	45.9223154719
52.2617019912	75.846511877	44.3385435344	85.6749719688	76.7356880003	94.2403082206	67.9849026966	52.1758826641	76.5626963438	51.0743291841	83.1036716139	59.3939527959	74.5066780965	71.6759384178	49.9386433846	42.0757185343	81.5457522547	69.3745584364	62.9971137384	81.2523645054	49.4066207599	76.5301812481	60.0513448067	69.0155179653	72.048029985	50.9575409971	79.5562058133	59.5441764945	62.0128295546	58.1632996691	64.2962683529	47.2499825618	84.3275480585	49.5915417687	80.4088955502	84.8613842085	45.3784198582	50.9151101305	54.6186150413	52.4636913227	52.3491830437	88.7490802331	59.2140408363	52.6231064926	44.43521527	59.7639110239	68.4774589152	57.6410569609	59.4374602455	60.3898306515	74.2827076677	56.8235755126	74.8576297338	73.8708946721	57.3026686385	53.1202830885	41.6620062404	54.966700273
42.5527822938	60.6360771372	45.9227142148	72.3636135438	55.9378580414	67.9849026966	94.2403082206	60.2944971189	68.4398759093	62.0297335427	62.3814459085	57.3103156384	74.2974339877	58.3167703827	38.8526647344	42.1365800742	59.1604030146	60.8162957543	64.1473217557	67.631199279	48.0283994927	71.6062836418	49.0454386739	64.7599701068	69.5000676925	48.9797420941	56.1561107902	57.9265921884	65.7929623258	50.2303196983	51.9798111836	57.1496622727	77.011677603	46.7847072786	66.1079207089	73.450016575	41.4963767799	50.0004934284	51.9838122831	52.2143793346	55.7135592794	66.4479220028	58.1678862237	58.1703068464	57.8590087271	61.0419090936	64.2334875774	74.3270901001	57.6925723401	57.3405429946	65.5607504844	63.6482091411	61.8304460295	75.4621856072	54.5645689928	58.726359943	48.4642180268	59.4083029725
44.4220782679	54.039892347	40.6776334777	60.2171225748	50.6702813684	52.1758826641	60.2944971189	94.2403082206	51.0844692622	54.8960438737	49.768361773	53.2174821829	54.9620964967	51.3844646766	39.8170686924	35.7119484293	45.7376269423	56.7574007316	59.3494151121	56.1194671684	41.6436546309	58.601808995	37.6002270588	51.3134243672	56.9606887188	38.6395712202	40.6992615428	55.9486029205	57.729975377	51.3437767552	53.1418347121	41.0561869867	61.1189782895	36.305226181	53.9350537576	60.5942036732	40.1583170573	53.3428792392	47.5542993342	50.9380907587	49.6431539627	53.1626854056	44.8634990991	49.6941641881	43.8219918823	54.1793464649	62.9623873743	58.1116201401	52.8605739567	52.5765789506	49.8523606505	64.4143948724	56.3726914176	63.0321227175	53.5542019944	51.6187132905	41.5439478213	53.1728451419
49.5626310016	66.0051746718	52.3614806083	80.7577479277	59.7118500726	76.5626963438	68.4398759093	51.0844692622	94.2403082206	52.5280904461	73.3845401231	57.3183465678	73.3715374404	68.7708152794	46.5740686432	42.3238458497	69.1635499101	67.5252054891	63.0552873764	65.9312257208	52.5067230172	71.7689618832	56.0339034025	68.0212898008	71.5309892762	54.6366069464	72.0483373087	56.6770101729	66.6560761702	58.1160989612	55.8175111863	48.6236232677	79.8440141431	46.904963236	70.4505867051	74.0210355575	45.3894877685	49.0088719619	50.8497231342	54.8904288737	56.32493015	72.8438920828	67.021238875	54.3013610883	47.6662559323	64.4506261382	62.829908891	63.6815592432	58.1043171627	54.6936596665	65.9442089356	53.6122254691	63.7826952588	75.9518191633	57.9616376823	44.7867825537	47.4845285794	65.5712310973
54.2033842524	45.2526830599	49.537355656	59.5139601016	45.476589139	51.0743291841	62.0297335427	54.8960438737	52.5280904461	94.2403082206	52.6397794021	49.5266656144	58.4745523195	45.9521711974	45.6722773503	49.6339339659	47.6630415722	66.0374028675	75.9479736746	59.753358525	60.366208747	66.3527860787	45.1401431915	55.8669940345	56.0815091231	47.3317048388	44.8365092109	52.0380271659	53.5324831969	50.4103506052	48.5700191428	59.2434744083	61.5369052886	53.9840439983	47.5265513326	61.1346845994	59.107031087	55.8578990089	63.1714851205	61.2514657175	62.2926101806	53.2631404058	60.7353944116	66.7809090154	62.5902268108	48.3848270825	61.15212995	60.4919245902	62.5628149697	53.2468282821	50.1402504203	58.6890498436	45.2590113246	61.2783936323	54.5940497872	61.9835308283	59.8375950625	51.0726355789
