Tissue	braincerebellum
N_samples	102
Chr	15
Gene	ENSG00000092529.18
SNP	rs12594208
Gene_list	ENSG00000141934.5	ENSG00000129757.8	ENSG00000177105.9	ENSG00000109099.9	ENSG00000151552.7	ENSG00000129538.9	ENSG00000150867.9	ENSG00000166091.15	ENSG00000158865.8	ENSG00000204655.7	ENSG00000126860.7	ENSG00000180354.11	ENSG00000184007.13	ENSG00000078804.8	ENSG00000105695.10	ENSG00000012124.10	ENSG00000105290.7	ENSG00000011426.6	ENSG00000128283.6	ENSG00000100146.12	ENSG00000167641.6	ENSG00000168314.13	ENSG00000146122.12	ENSG00000173786.12	ENSG00000049089.9	ENSG00000092529.18	ENSG00000010282.10	ENSG00000066322.8	ENSG00000244274.3	ENSG00000167755.9	ENSG00000064787.8	ENSG00000065361.10	ENSG00000102934.5	ENSG00000092758.11	ENSG00000124920.9	ENSG00000176485.6	ENSG00000126803.8	ENSG00000172508.6	ENSG00000150656.10	ENSG00000141540.6	ENSG00000197971.10	ENSG00000103089.4	ENSG00000204278.8	ENSG00000164176.8	ENSG00000118785.9	ENSG00000187764.7	ENSG00000172005.6	ENSG00000197430.6	ENSG00000080822.12	ENSG00000071054.11	ENSG00000203485.8	ENSG00000070214.11	ENSG00000198121.9	ENSG00000187164.13	ENSG00000136960.8	ENSG00000149557.8	ENSG00000107902.9	ENSG00000167123.14	ENSG00000091513.10	ENSG00000126878.8	ENSG00000104419.10	ENSG00000148826.6	ENSG00000113578.13	ENSG00000160781.11	ENSG00000132702.8	ENSG00000136541.10	ENSG00000164124.6	ENSG00000144283.17	ENSG00000013297.6	ENSG00000117266.11	ENSG00000196187.7	ENSG00000115468.7
Gene expression stats (Y^T * Y): 
94.2403082206	60.2434591648	64.3665990693	53.9572023316	54.3767329456	55.4755111592	70.9301229856	62.3093990544	65.0034032939	61.1276275031	66.4177486246	39.6983175706	47.205445126	31.3901327346	67.1733700042	70.3107618031	36.1895852122	63.323575696	70.6664726521	66.7786384317	56.5448658677	41.2993952268	59.1923382672	55.2496315508	65.1433818459	62.5775978116	45.6639661826	61.2684138098	32.0218606642	69.8007800308	44.293481134	72.4101617115	66.965607889	52.9853995341	68.9722648492	60.8814876558	73.2631154052	62.8937526086	60.7289849367	70.0117434064	44.4867366825	72.9285975637	61.5327317869	60.5690493535	52.002437689	56.9026925523	59.2279892034	65.6594336396	51.9959142788	43.5112938136	64.133774969	62.7931592387	53.3270529822	51.2781393249	66.1582620017	37.9602143701	44.9808048817	45.0348283743	58.3967813093	34.9014028259	52.7554534453	66.4737270953	35.5144895541	32.5693485224	57.624123917	60.3312258583	64.7533934337	32.441230915	59.1536683585	57.2236493026	56.3736512512	65.1641949845
60.2434591648	94.2403082206	60.7290779799	43.4078841093	55.3254926086	50.4300731683	59.6157481733	44.9688219057	69.5375503603	58.5387902386	60.2677329174	37.3413802757	46.601702145	34.5874241466	64.421608433	56.8462306985	42.4816500665	62.2376738881	68.0249958139	64.2806074848	60.8284971461	41.7538983559	52.4907642385	54.6148684277	65.2086333285	56.9064389855	48.4325256055	58.6850067306	32.852118182	72.4160379401	41.124826222	63.9567301293	58.9540169842	56.9627881902	62.7402803532	55.6041725488	69.0006026191	65.2277809826	58.0388727613	53.109821389	42.4864041708	71.4522149906	57.1776732717	54.5532969235	50.2128367239	56.1058630865	45.3062452262	50.5730504336	46.1483952179	37.4986961572	61.8735647349	63.078465501	50.2297487182	45.3313219953	58.7010969352	40.1587567542	49.6936628881	37.8277556019	61.596817432	39.3930232342	54.2895046216	70.5145930808	34.9178941652	35.3241010701	49.2428096597	59.4517772125	54.6331438209	38.828757855	58.389892045	55.6913992632	54.1886316783	54.9621773356
64.3665990693	60.7290779799	94.2403082206	51.5889427079	54.1209280362	50.6887799273	67.7313388845	63.3375645573	57.2323008154	61.5361004707	66.3497904607	37.5699381831	51.1443270232	34.8658114664	69.8713635977	68.1599797576	45.4736426538	64.1214262254	71.9536296567	70.9885157678	64.716865849	43.2372583839	57.4513972262	56.5303776104	65.8644275564	59.1008678878	42.5545158271	72.6911568041	32.2536114058	71.1654264868	44.9104728053	70.978177969	68.6306842336	54.5810900558	71.2006163813	58.6100922448	72.1123816698	65.3598190371	55.1132105092	68.7006338087	45.5563123893	74.3589036065	66.8263567695	48.5460480246	52.8319904132	57.765287341	61.5946898958	66.3680690862	44.4684178527	35.7290191202	65.4424522389	65.0629397521	52.1927182644	50.6377052524	61.2596627709	42.2147484198	44.0750740575	47.9509651814	58.8878163454	38.2560706082	54.1394063968	71.6664080792	32.7843532136	33.7295031193	65.1069647882	58.7777707938	62.585818575	32.7728715517	58.6330147277	51.3133518145	52.6804301536	60.0100085321
53.9572023316	43.4078841093	51.5889427079	94.2403082206	50.27165307	67.1043722274	60.4974546404	67.1989649106	42.0309879667	62.7624304927	62.2175689089	38.6501673031	43.5615782985	38.9557906996	69.1632610251	52.3760149146	45.5780927919	54.0883002796	56.2804355035	52.9002377797	54.6388641861	44.4704373387	49.2703246083	66.8312371627	47.1282884626	59.6745020296	45.4474289147	56.7193414708	52.8739308167	62.3908446952	42.2709958805	56.8686516322	63.952368025	42.8531679628	63.3286525441	67.2969315166	64.5746816826	60.5155445069	59.5380049829	66.5607913304	43.7350771213	59.6805519159	49.7537360163	58.9942623785	64.3403233726	40.6221352356	74.0434235047	60.9096223144	63.1945731083	41.8087876106	45.9451458697	65.4487491749	46.6100907087	40.032215099	65.0850904122	36.7965996293	55.6238154917	55.9658839089	63.0619321623	40.3703060931	64.9063076134	48.4642434014	47.2677387663	41.0847086954	54.7491686707	54.9288975418	62.1441611297	33.9800353995	75.2623293419	43.2474701817	56.1942823624	56.4438267897
54.3767329456	55.3254926086	54.1209280362	50.27165307	94.2403082206	73.6629837188	67.2534810642	48.529274163	65.190469492	79.5674897877	57.8954324024	52.4986942733	69.5754063209	56.1573425302	74.8107753902	56.6625741582	65.5643969527	64.0476313156	67.9480164025	59.1148265353	76.1525137117	60.3487213824	57.4722020897	68.618209178	64.6616250429	74.66177451	66.8479449219	62.0620569577	67.0019017665	73.8494473818	63.3628138635	53.5261951133	71.6494195536	55.2368431709	74.6269404791	66.9728927672	65.5289840261	74.8297501428	76.0874661373	62.0310720284	64.3531971395	62.8174486179	53.3405437724	55.9884835085	70.7413295389	61.4819103347	63.5383879207	57.8266517536	62.3681648668	51.6686910586	66.6565739358	62.9868620271	62.2525847542	65.4755422962	68.9841659443	60.4836007526	64.6647915322	72.8236272411	80.4058607485	67.9825073875	66.8575936128	69.72092695	52.1093262477	49.7000978692	52.9772936777	74.8639775275	58.9237681887	60.1469931397	68.4967895408	78.4473298269	70.0798631391	63.7886313094
55.4755111592	50.4300731683	50.6887799273	67.1043722274	73.6629837188	94.2403082206	61.5903387265	54.5876576674	51.4009544737	80.5624392932	57.2095046242	52.0220942536	61.3613882865	57.8023278757	76.8575916548	52.2007798195	63.5199223981	55.3057156414	60.2404026091	57.491421784	75.697316458	63.9390074601	52.0294188245	81.3794825178	55.9938645111	74.6773574364	61.4146822071	64.3902549748	70.5242688796	67.0685434877	61.5697273272	52.0859183416	75.3878939594	52.7420846925	71.2704250739	73.3283693731	64.1948730388	75.9508564583	67.5977618985	61.2894520401	61.877903752	57.2268100001	47.7710223301	57.7154976941	65.6757192632	52.4726541465	69.8840001788	62.3970411077	67.2202319571	45.8812592976	67.1932336774	59.4389691317	58.5963845352	53.1633189552	66.7636921388	54.2771254258	65.2017657324	72.524202992	78.4416718185	63.2111904563	74.3614382026	58.5110917888	56.0329412315	55.9737041212	58.1104237659	68.5780778488	57.9073549777	55.7448094593	79.2913183063	69.387878013	70.7045881172	65.334147378
70.9301229856	59.6157481733	67.7313388845	60.4974546404	67.2534810642	61.5903387265	94.2403082206	67.9824881346	69.1668372141	78.7200967962	79.4576895276	55.6380449001	66.6182841683	50.5179447573	79.6133485528	77.1601817536	55.8322352863	77.2776033238	76.7647096286	75.9952655738	69.4743088245	60.3593724367	68.8773862902	67.3267788934	70.6237143196	70.9075626129	53.0369258469	73.5240274468	45.2932672873	80.2445600963	60.4985859487	77.985123682	76.6682446771	51.5745976935	83.3041149778	72.5175512885	79.9911092469	75.0330181594	73.062952935	78.9608706572	65.0477806321	81.9226697187	73.6030920227	66.5012423288	68.8167192039	60.9934120344	72.6907904945	75.1865234589	70.1237795227	56.575522795	68.766157887	78.6385755893	67.0017471364	67.4204298617	80.056531026	46.1554091027	59.6994193069	59.577883189	74.9748400395	49.4195455027	68.516888996	79.1010135736	45.1715008681	45.7842688685	71.1026415646	79.5893838672	76.2177814882	50.1152680289	68.7121819883	66.6647390336	68.3442743021	70.9821373218
62.3093990544	44.9688219057	63.3375645573	67.1989649106	48.529274163	54.5876576674	67.9824881346	94.2403082206	47.7790499425	61.4213145462	62.7753283693	47.7606262822	46.0609154606	41.7031993964	70.4848188264	64.7813700771	49.9823875433	57.1700456877	64.0250050553	68.1313101088	56.2833998202	47.8386587506	56.7836508494	60.3305154281	65.1450854962	62.1348779598	43.9915780295	64.5310701751	44.324403373	68.0510414296	48.2558490382	63.8106016988	73.3559719132	46.6370983888	65.97730283	60.636219558	68.7037550496	63.8972927568	52.9500968539	69.3633304203	49.5065214347	69.24960995	64.4462513639	53.6915169918	48.0189037714	49.7836972639	74.7582557364	65.887972553	57.9431399588	46.8688159447	53.2732656321	63.6815172455	49.1150604315	51.7609547112	63.3174315655	41.4441341103	51.0935206381	50.8206619673	58.8373707964	37.44767296	50.1502336321	60.5313267763	45.8087704207	42.644229469	59.6335062684	58.8108936377	68.7207140313	38.1560827725	53.7307249164	46.2043032629	53.5419635212	58.1187216676
65.0034032939	69.5375503603	57.2323008154	42.0309879667	65.190469492	51.4009544737	69.1668372141	47.7790499425	94.2403082206	65.0825285393	67.372937044	56.1790275621	66.378939165	51.7976847274	66.3208971593	69.4705360682	48.7339431854	73.2641079699	73.2233339717	66.106674928	67.2135331444	57.0080964268	67.1826605753	57.3898912851	74.8089130382	62.2432375607	58.1961937338	59.8711757615	40.2403224821	74.3429748508	59.712188686	64.8432052018	67.9162010413	54.3808452235	71.3694545488	60.8640376131	69.6589700711	68.1145388498	64.1957026078	63.4767254285	61.9689481515	75.3171085957	57.7403822278	56.004441065	56.4564327626	65.5535189964	54.6534878203	53.7301291805	56.0207630037	54.6158675536	70.5206101754	70.3866709521	65.193825549	63.6851374462	66.027490156	45.6317746758	60.563989883	48.1398532518	66.0127331536	57.1167630024	58.3587967294	78.1570510816	52.3106899205	49.7332828661	58.6873152819	73.180399856	57.6877317295	58.5526191835	59.1270290875	70.2524231034	63.1654923455	65.128436744
61.1276275031	58.5387902386	61.5361004707	62.7624304927	79.5674897877	80.5624392932	78.7200967962	61.4213145462	65.0825285393	94.2403082206	66.816834111	57.5478377412	68.250890607	61.0059468983	86.0430651042	68.4075041667	65.9334194964	71.3819294419	71.6206022223	67.8310528261	79.1723543758	70.1235719285	63.0953108049	82.3687017595	71.1440871833	82.4375055155	65.7180833094	71.8467412891	67.1153253811	81.4349040861	67.3319906552	63.9796600326	80.0151369927	59.2300483407	86.3358063143	75.6872950419	73.0334207403	85.3981811509	78.1888827005	72.2557314236	72.0898423511	71.2927721212	63.93919903	62.132665409	74.5242841843	67.0966909077	74.0019655376	71.611388484	75.7098609459	55.6341928818	72.5949512935	71.8480848772	65.0150444379	67.5253517487	77.7469542992	54.5437656113	67.2907007246	78.1968953412	87.26295108	66.5845325469	75.3252478915	76.3106288927	58.2648396758	55.9457417891	70.2773611197	83.370886897	71.0384647881	65.4768283891	79.1611669584	81.4096350638	77.5183045033	71.1887693173
