Tissue	braincerebellum
N_samples	102
Chr	6
Gene	ENSG00000078269.9
SNP	rs10455934
Gene_list	ENSG00000133256.8	ENSG00000005513.9	ENSG00000129757.8	ENSG00000103184.7	ENSG00000272268.1	ENSG00000166394.10	ENSG00000180739.12	ENSG00000154864.7	ENSG00000099308.6	ENSG00000183960.4	ENSG00000150867.9	ENSG00000158865.8	ENSG00000126860.7	ENSG00000128242.8	ENSG00000012124.10	ENSG00000011426.6	ENSG00000128283.6	ENSG00000100146.12	ENSG00000146122.12	ENSG00000049089.9	ENSG00000079435.5	ENSG00000179178.6	ENSG00000086205.12	ENSG00000167755.9	ENSG00000186417.9	ENSG00000065361.10	ENSG00000124920.9	ENSG00000126803.8	ENSG00000114541.10	ENSG00000103089.4	ENSG00000141524.11	ENSG00000204278.8	ENSG00000073417.10	ENSG00000122367.15	ENSG00000070214.11	ENSG00000112893.5	ENSG00000174607.6	ENSG00000136867.6	ENSG00000170775.2	ENSG00000154493.13	ENSG00000196814.10	ENSG00000148826.6	ENSG00000169554.12	ENSG00000169247.7	ENSG00000136541.10	ENSG00000078269.9	ENSG00000176381.4	ENSG00000114757.14	ENSG00000158715.5	ENSG00000198835.3
Gene expression stats (Y^T * Y): 
94.2403082206	54.2746642484	56.9344074844	49.8427296877	49.1509435702	55.271874043	68.686689462	44.9013893306	52.8521200599	52.303344287	57.4898666634	51.2889454657	50.0833716488	55.1681879251	66.0558770987	50.791493322	58.3906171527	60.4153655228	46.0899177609	59.0441530975	47.168289	59.9786985607	64.2954684161	57.7842212355	55.8631559813	62.2803485051	56.1627472999	56.4182279652	38.2433248101	61.134348191	49.892871084	65.2165178378	57.8890074211	49.4563345401	54.5301697628	49.5283977951	47.5612412162	48.7894475573	47.6323723184	46.2474486151	50.0623172137	63.2030590429	48.9469136498	44.4497048898	47.3554895618	59.9271302077	63.6475733739	45.5894295963	53.5275066052	61.3333275145
54.2746642484	94.2403082206	53.9951091816	47.6465585703	54.4042563307	46.5225520442	61.1283463249	38.2653848626	48.883528648	43.8954413534	59.9285011961	59.9305624815	53.4930680397	52.9401123973	57.6821969805	58.1743199543	58.4387284143	65.2197109123	55.8719652401	68.9548097385	56.3940164041	53.1497930801	56.1364328986	54.6859790001	55.2216926429	59.5362475737	56.3818925108	61.9672178673	42.0007580196	63.4914868029	56.1200665815	54.092597636	51.8607327941	43.7147165638	54.9967672528	42.0330319391	54.2258174261	46.8859173433	50.2686416048	49.7999779452	51.0813158719	60.2199638479	55.392193116	43.8500482152	53.3944882856	61.3171098851	63.0017003149	51.2083241027	46.847096517	44.2603132866
56.9344074844	53.9951091816	94.2403082206	58.313345634	55.7163690572	63.4686126644	71.9354196593	44.3395806317	52.7326233243	47.5292423776	59.6157481733	69.5375503603	60.2677329174	61.0564151709	56.8462306985	62.2376738881	68.0249958139	64.2806074848	52.4907642385	65.2086333285	60.2427689854	64.0629648561	57.0712370837	72.4160379401	57.7363736372	63.9567301293	62.7402803532	69.0006026191	49.460404534	71.4522149906	54.3611149038	57.1776732717	57.3090510557	55.5550178727	63.078465501	49.663645453	64.099177456	51.0061831892	60.5281163246	50.9631455497	50.124265704	70.5145930808	58.8069843051	52.4666725847	59.4517772125	66.8576669686	62.9660455048	54.0565394101	58.1484746825	54.3804270843
49.8427296877	47.6465585703	58.313345634	94.2403082206	57.8329659732	50.317152624	63.8551670087	53.6669954881	65.8746692839	66.3912391006	54.1888617979	42.7739856089	58.8793397591	68.0829260961	58.5037834803	51.5972529934	51.092575753	57.9242854746	45.0579462919	50.5520673387	51.968758442	74.6343047189	72.0173768801	52.2585215688	66.4230401731	65.465615786	49.3173530296	62.8782297145	66.783524924	65.6445751777	32.9436217282	55.3485953399	66.7974651966	65.6043059107	52.4739463647	69.9386233481	63.1578091626	55.411469361	65.1335277557	63.4868937194	55.8188136395	46.8976953184	38.6493575135	65.4968506343	48.8296564693	61.9067524135	68.9649636197	59.5865373494	61.737120528	55.3094141684
49.1509435702	54.4042563307	55.7163690572	57.8329659732	94.2403082206	62.8311302914	67.7528326169	60.8652611367	63.0102539618	62.739316478	51.740768819	47.2618945682	53.0326488605	60.5654218801	49.4850763211	48.2325112072	52.5557357036	62.0480269389	41.3738759556	50.509287456	48.7056477721	56.8353765405	56.4268793643	48.9640871826	57.522573023	57.7866473262	46.0699231982	56.1439210397	55.2919404331	56.0527306057	35.5460347738	47.2897165824	56.9103844459	51.7387450384	48.3479528154	63.3211550222	61.8404405405	50.0948270017	52.7600474214	58.6128947822	50.9124071635	48.0221790473	45.692945281	64.1461645718	42.2419579866	70.7752287702	65.849959775	63.4560554268	61.7088966201	60.3232910334
55.271874043	46.5225520442	63.4686126644	50.317152624	62.8311302914	94.2403082206	59.8024129157	41.5630263398	47.3569185071	52.8440759985	51.59027401	49.3423955078	55.0208055673	54.7660309455	56.7081982269	48.2133608781	57.1410241098	65.0882096549	46.7245056057	61.4638041321	48.7663932615	64.3448426735	63.2336239196	63.4784013422	56.6657105495	59.1297011744	58.9991594293	65.4576507583	50.9999533765	61.235963048	42.9638753573	55.6426818793	59.1619521607	58.1266257259	57.0432942628	53.3156103553	57.9484446603	56.1770057851	58.8014307008	41.5175289308	49.9220468625	59.507327391	50.665016981	47.1788892217	51.0289704023	59.3838267978	62.2549020186	53.1631434317	50.9118998231	47.7357773436
68.686689462	61.1283463249	71.9354196593	63.8551670087	67.7528326169	59.8024129157	94.2403082206	55.5625133571	65.5190242515	58.4779608705	60.8250733921	64.1657658154	58.4778017227	67.5938077967	65.400656472	60.5398850619	66.7368153339	67.2939058848	55.3037827321	62.3115840802	58.904559372	69.0503338408	65.9243030705	61.8144172331	64.2892811538	66.1919904858	54.8844808352	66.4073928681	57.2086795629	71.1226671631	49.0465601417	61.6619878544	62.8265997657	69.853153289	62.5335439354	61.8137024603	63.4813345812	54.213283789	57.8364857098	59.8995832368	61.5136301816	65.3484562128	57.4001755613	59.9920788947	53.8089640965	79.489675636	72.8418686398	64.9223318052	69.4335461136	71.1363709347
44.9013893306	38.2653848626	44.3395806317	53.6669954881	60.8652611367	41.5630263398	55.5625133571	94.2403082206	65.7979054637	70.3266472214	40.9444885674	35.7374927894	43.0780374762	47.8493135365	46.6796045137	42.2616541114	32.8904677601	41.6807712514	28.8257603027	28.5674928956	33.3549734224	50.1634663137	52.5462171813	30.8316299967	56.7928353436	52.2548715505	33.5155320516	41.4493859224	46.4125213123	45.226313364	27.9283812903	38.2265050626	54.550999081	52.1222086734	38.8656079032	67.0203287665	49.5271548922	45.6901120045	44.8300762051	56.1688933021	44.5844984652	33.7623912309	29.2386092307	61.2582518615	31.0657863629	59.029571738	64.1829700902	55.3666124605	64.8638475957	54.4631395226
52.8521200599	48.883528648	52.7326233243	65.8746692839	63.0102539618	47.3569185071	65.5190242515	65.7979054637	94.2403082206	57.5127589178	46.0876027397	40.0559032618	54.8481412915	62.18609861	51.1616356348	52.6719777384	42.6594324343	52.9926865355	42.7221326972	42.3558272646	43.3963117853	65.9750714453	57.7617678924	42.986908214	67.2191869575	58.5809976815	41.9989778034	55.9683134101	60.1836238955	55.9630918748	33.9069586915	45.781465535	59.3672805795	55.0894569471	48.380559318	71.8405355386	63.4283264659	46.4571989598	59.6972307506	65.2035897612	59.4417814672	39.1702047161	41.7090362406	59.5048715903	41.4654667959	62.8239393219	70.4540332848	64.410478103	62.630062329	61.7809646389
52.303344287	43.8954413534	47.5292423776	66.3912391006	62.739316478	52.8440759985	58.4779608705	70.3266472214	57.5127589178	94.2403082206	50.0950208181	40.3998948197	50.0595666681	57.1068333481	55.9947599634	43.3426145676	43.6208709527	51.7154314964	34.4685727847	42.9506122279	36.4708751091	58.0107343021	65.5032057857	43.4678749193	55.5014946689	63.2816754934	47.2675470018	53.6073745453	60.5119944753	53.0606582784	26.9284217568	46.5283010523	69.6020050018	59.0098241442	47.1103277909	68.967068024	56.0357143078	51.0642932416	55.2835286701	57.3633810191	45.4528871119	40.5364208142	36.3280262224	64.1361492609	43.0001585278	66.2222105558	64.7637551941	58.3686439067	61.8034742332	51.2485153354
