Tissue	braincerebellum
N_samples	102
Chr	7
Gene	ENSG00000180354.11
SNP	rs10232749
Gene_list	ENSG00000125817.7	ENSG00000129250.7	ENSG00000204655.7	ENSG00000180354.11	ENSG00000170759.10	ENSG00000184007.13	ENSG00000078804.8	ENSG00000167641.6	ENSG00000168314.13	ENSG00000146122.12	ENSG00000049089.9	ENSG00000092529.18	ENSG00000010282.10	ENSG00000047849.17	ENSG00000154945.6	ENSG00000064787.8	ENSG00000176485.6	ENSG00000172508.6	ENSG00000124374.8	ENSG00000021300.9	ENSG00000197971.10	ENSG00000033327.8	ENSG00000165424.6	ENSG00000172005.6	ENSG00000080822.12	ENSG00000071054.11	ENSG00000107829.9	ENSG00000203485.8	ENSG00000198121.9	ENSG00000187164.13	ENSG00000107902.9	ENSG00000126878.8	ENSG00000104419.10	ENSG00000148826.6	ENSG00000064393.11	ENSG00000113578.13	ENSG00000169554.12	ENSG00000160781.11	ENSG00000136541.10	ENSG00000144283.17
Gene expression stats (Y^T * Y): 
94.2403082206	60.7314587707	39.8758478237	58.2234866482	64.3864924245	62.1587239084	53.2726283184	50.8706882019	53.0587945522	55.743129588	45.623754234	37.1074236733	37.0648559698	43.3311286097	65.7210706194	59.0793376199	46.6650546564	43.8841645682	58.0465473425	33.6215670125	56.4567342086	55.781895799	54.0177864254	36.783601462	29.5815414583	54.6852268923	59.2899518989	54.2189495263	66.7940533445	57.2687020609	49.4922993081	56.3301471212	49.0843438489	55.2744043282	69.8963595151	51.0164403943	63.1764278129	47.1444817307	50.1087216181	50.9415228469
60.7314587707	94.2403082206	52.3373356083	76.8228281527	66.0199402773	74.4023439431	70.352285925	58.6477500484	67.3005867425	67.5043777564	57.9400718257	56.5051843113	56.1297994579	60.727328843	62.9717991498	77.8498713744	56.2113151823	55.4259768545	63.2371297476	47.8252814048	68.2538575404	62.2225529084	55.6412241599	53.4451199987	48.9819685128	76.5494438582	56.1756014803	57.9229536458	76.1673340071	71.2493678282	59.282982091	75.3996918934	60.9372902662	57.2546561489	78.7256262601	64.3601330464	64.6739886723	61.6108969145	62.5815232944	67.6994018193
39.8758478237	52.3373356083	94.2403082206	57.5478377412	40.9678953349	68.250890607	61.0059468983	79.1723543758	70.1235719285	63.0953108049	71.1440871833	82.4375055155	65.7180833094	48.8453065651	46.732214186	67.3319906552	75.6872950419	85.3981811509	52.735914101	34.9520674144	72.0898423511	40.3706504227	39.2170367923	74.0019655376	75.7098609459	55.6341928818	44.9341250111	72.5949512935	65.0150444379	67.5253517487	67.2907007246	66.5845325469	75.3252478915	76.3106288927	50.6278546453	58.2648396758	57.9218812786	55.9457417891	83.370886897	65.4768283891
58.2234866482	76.8228281527	57.5478377412	94.2403082206	60.3552950072	74.2448919615	77.4409754851	60.5564592491	81.2931556354	65.8018794531	58.0360600029	59.5025253248	60.9903737789	57.0884419402	61.2143480329	84.0790326789	57.1276635629	61.1486602465	65.9827397056	57.593651155	75.5223106776	56.553417612	56.6939206362	61.1967117479	61.3490132608	67.8589640215	62.2983097369	59.1964622481	77.9429572709	72.8927024963	67.1219439881	68.320573704	68.242369661	60.2847739789	74.0960535892	68.9917230269	59.9370115995	69.6403172163	63.9112594324	69.1241489046
64.3864924245	66.0199402773	40.9678953349	60.3552950072	94.2403082206	59.2297791698	56.3896045477	44.0801630438	54.5095893608	54.1757011755	46.2846417005	38.887979551	37.7039663201	52.3496709466	74.6611656744	61.9220851198	41.4873906637	41.1643332694	56.7255470764	37.668658317	55.2771827058	52.3924432068	56.5354304617	41.4291728517	37.0724046258	63.1459237947	56.8610787126	49.4493943571	66.2443677907	65.3962854606	48.5917587614	61.694804195	44.9440081049	47.6850603346	75.6556461381	60.5799849166	63.5647693812	50.2253209752	55.0507264565	52.4209688539
62.1587239084	74.4023439431	68.250890607	74.2448919615	59.2297791698	94.2403082206	66.5452003733	71.6652946144	68.6141431797	66.6903791873	64.2163577733	65.7138666675	58.5186717965	54.5289552838	66.9541201173	73.8654999122	68.0973728633	68.7958622403	64.0899900658	42.7565669116	71.8795863859	54.535503852	49.8322152203	57.1334539671	61.7074675665	67.1383916204	56.1377942382	67.9950037159	75.5562236581	73.872123714	65.8115052847	73.390868485	74.0516497361	68.0540733465	73.5698040703	61.1502521113	68.3675141067	56.0301296768	71.9421361737	66.7221094491
53.2726283184	70.352285925	61.0059468983	77.4409754851	56.3896045477	66.5452003733	94.2403082206	63.2538036354	86.1633295047	64.118666602	50.7326821535	59.8689592209	64.7585818228	60.6357336532	50.8531337059	85.7035451579	50.5905272194	59.8466045644	58.691623934	50.670252154	84.4207249311	51.6064195481	49.5755299478	58.368179891	62.0419708979	60.9705112351	57.0442913002	55.2944052703	76.5492923381	71.0014601632	71.0239279759	73.1829292081	69.6646523239	57.2084394622	65.7288349766	61.1563968078	52.9792831069	80.0224523645	65.9808163406	74.3984798505
50.8706882019	58.6477500484	79.1723543758	60.5564592491	44.0801630438	71.6652946144	63.2538036354	94.2403082206	69.3380313708	69.3746504616	74.5973301471	76.7534493353	68.3712253699	57.0751866229	49.4513255037	69.2568270643	71.8036619532	82.4449997319	54.6784211528	43.8013012658	69.1790779984	46.8989165088	52.0595186938	68.3400937212	66.4473138755	57.0273148524	45.73721029	78.3406222097	67.2145984214	67.638463729	70.3510956683	70.8624467286	72.2235088169	78.013397235	59.8448802361	58.827434992	67.5200836747	59.585332027	73.0312948119	65.078537125
53.0587945522	67.3005867425	70.1235719285	81.2931556354	54.5095893608	68.6141431797	86.1633295047	69.3380313708	94.2403082206	65.9992787873	56.5820315236	67.166706761	69.1853679168	53.6374403628	52.8048384193	87.4987797051	59.9797163594	70.8536069294	58.3072934665	53.0802866009	88.1311708247	53.2123349477	50.1630441239	66.7977633308	68.6352431769	62.2561164054	55.9100520529	63.8070122342	77.9533739248	74.7527907112	73.0310532069	72.1503046505	73.83863012	63.198698247	63.3206449346	64.7657100597	55.6676231789	80.9724461122	73.9320748421	74.8165808916
55.743129588	67.5043777564	63.0953108049	65.8018794531	54.1757011755	66.6903791873	64.118666602	69.3746504616	65.9992787873	94.2403082206	71.9678365321	63.1091095138	65.8933602591	49.3736833128	58.8261124018	66.5966116965	61.4877990866	68.2704535837	63.6072775878	43.1386718514	66.5638373739	59.7351123934	52.3044124955	64.7643013291	64.8954594462	64.5686713424	53.4691519722	64.1595367147	71.2951927792	71.5889135109	65.7234413883	62.2671298444	64.0971672877	68.6566829979	72.4400803641	62.5488332753	66.6726468664	56.3058262599	73.0125023333	60.392982069
