Tissue	braincerebellum
N_samples	102
Chr	1
Gene	ENSG00000248485.1
SNP	rs4548462
Gene_list	ENSG00000071282.7	ENSG00000157103.6	ENSG00000162494.5	ENSG00000110786.13	ENSG00000051128.14	ENSG00000185052.7	ENSG00000229164.5	ENSG00000136750.7	ENSG00000158089.10	ENSG00000013016.10	ENSG00000163873.5	ENSG00000101438.3	ENSG00000196218.7	ENSG00000138944.7	ENSG00000172348.10	ENSG00000101670.7	ENSG00000008196.8	ENSG00000169213.6	ENSG00000163932.9	ENSG00000157404.11	ENSG00000180828.1	ENSG00000151136.10	ENSG00000248485.1	ENSG00000128683.9	ENSG00000087116.9
Gene expression stats (Y^T * Y): 
94.2403082206	36.3576839149	64.1305170722	68.7854936499	34.7780812558	69.5494363611	56.498161124	60.7273834657	65.4420909212	58.5089978652	63.2384160894	45.3726181384	43.0718405671	65.1769431275	53.55505687	61.3791778415	73.658069602	71.59075118	57.3188963697	58.3970632756	61.2238956738	66.6244097356	63.8177355085	45.335107226	56.5851494297
36.3576839149	94.2403082206	43.4909705284	37.3970960032	63.838256531	62.0418264942	47.7467162531	52.705739079	30.9408755269	59.2400780618	43.6872455349	44.3156485302	50.4195174689	40.5953641756	47.8165836057	40.5538548724	44.5419518518	26.9048243502	51.0169966956	70.7349127217	66.9410344717	46.1836752628	64.1304196523	74.2177528588	31.0388513392
64.1305170722	43.4909705284	94.2403082206	73.0819516041	36.2840649958	74.1601730039	60.0425485802	60.826783448	70.662300516	61.9409204795	77.5229876352	58.9389827585	56.3028338761	78.6586487071	42.3267592872	77.3971264383	75.5012153214	65.8244124618	74.5875072085	62.4227491173	61.9921427641	82.6758329796	66.9815010677	51.6496920302	69.0873348776
68.7854936499	37.3970960032	73.0819516041	94.2403082206	30.5739685163	69.1912488868	55.2084215607	60.2435161195	56.9254780676	53.9023451373	64.6831357933	48.6043340662	51.4285157708	68.9740018443	38.6632883414	65.2910933509	73.3377610612	68.9243939351	67.969000387	53.3439450102	54.3583264633	67.3704182712	63.1961123536	42.6135114361	57.7205533237
34.7780812558	63.838256531	36.2840649958	30.5739685163	94.2403082206	46.9769806013	52.9621351524	42.0856851494	32.0794346406	50.0180836204	30.4721659329	53.5141587183	55.4631964642	27.727700183	41.7492978848	26.1458631546	33.9941619107	15.4206961784	47.4617588454	56.8595340607	66.3717472676	33.0900769751	60.3095919507	77.2488799789	31.4754476422
69.5494363611	62.0418264942	74.1601730039	69.1912488868	46.9769806013	94.2403082206	66.7908084936	72.0141534012	66.8338940401	78.2587855078	71.5461339	62.1417739028	56.9669080372	72.2415128294	61.946232199	69.8113752686	74.4502206509	67.6961509359	78.0985102131	80.8577524529	80.8837706527	76.9144695176	82.3886330302	68.3499883797	62.6550985791
56.498161124	47.7467162531	60.0425485802	55.2084215607	52.9621351524	66.7908084936	94.2403082206	52.9022428817	54.1975975721	60.9575738772	52.6517510263	51.8369333441	57.9199434509	56.3995984268	44.8245848997	55.8516924223	62.0412985109	43.4446481452	65.4139321709	60.5630324043	70.1711759238	57.195016002	67.6534836395	59.9382533831	50.6540074174
60.7273834657	52.705739079	60.826783448	60.2435161195	42.0856851494	72.0141534012	52.9022428817	94.2403082206	50.4377805871	61.1956509377	65.6535839663	47.2816184311	53.1479340593	60.8788721069	57.4739225484	64.4675148852	66.7409952592	66.6083800527	71.2460801104	75.2132579809	66.1313373029	68.6691769674	69.3041624066	63.0067549873	42.1501041918
65.4420909212	30.9408755269	70.662300516	56.9254780676	32.0794346406	66.8338940401	54.1975975721	50.4377805871	94.2403082206	58.9705687297	64.170518965	40.2313928635	45.1171619515	68.3951873541	47.7026073903	64.9709944009	65.4835845204	61.9501195059	61.2044318924	53.3543915236	59.1399455891	71.4122718565	57.9224251643	39.7441432592	60.8052129015
58.5089978652	59.2400780618	61.9409204795	53.9023451373	50.0180836204	78.2587855078	60.9575738772	61.1956509377	58.9705687297	94.2403082206	62.5125674317	54.3516579551	49.5912747232	61.0456846597	55.3276219971	62.4840897585	65.2339704842	54.7944106188	67.7551497396	75.0216119399	76.3322865176	67.9357623449	74.142382477	68.2555945139	55.5145456666
63.2384160894	43.6872455349	77.5229876352	64.6831357933	30.4721659329	71.5461339	52.6517510263	65.6535839663	64.170518965	62.5125674317	94.2403082206	45.5204553465	44.9885059821	73.2689025865	44.7186209264	77.0457873518	69.2496828831	70.4288424222	69.7230658354	62.8529288251	57.4536223641	82.3056025734	62.3196478601	47.2070322052	57.4036373712
45.3726181384	44.3156485302	58.9389827585	48.6043340662	53.5141587183	62.1417739028	51.8369333441	47.2816184311	40.2313928635	54.3516579551	45.5204553465	94.2403082206	57.4171790733	49.8787280607	34.2248150071	49.1237157911	51.030797976	37.1090438971	70.5123301968	54.9619781943	61.7995467554	52.006698282	60.4018488516	67.0176281974	52.3496724138
43.0718405671	50.4195174689	56.3028338761	51.4285157708	55.4631964642	56.9669080372	57.9199434509	53.1479340593	45.1171619515	49.5912747232	44.9885059821	57.4171790733	94.2403082206	39.4068400716	36.8324561046	47.2693695465	51.4844379132	32.0507414804	61.2485462053	58.3592613694	57.8217348469	48.5306631527	63.0678303603	63.7840772923	37.1587528522
65.1769431275	40.5953641756	78.6586487071	68.9740018443	27.727700183	72.2415128294	56.3995984268	60.8788721069	68.3951873541	61.0456846597	73.2689025865	49.8787280607	39.4068400716	94.2403082206	46.0623921259	76.1797753053	69.0857620587	76.1773501626	69.666952555	58.9532679995	62.3209042054	79.4720009761	62.2945637914	44.1930372302	61.4594815613
