Tissue	braincerebellum
N_samples	102
Chr	11
Gene	ENSG00000176485.6
SNP	rs586713
Gene_list	ENSG00000141934.5	ENSG00000177105.9	ENSG00000109099.9	ENSG00000151552.7	ENSG00000129538.9	ENSG00000150867.9	ENSG00000166091.15	ENSG00000158865.8	ENSG00000204655.7	ENSG00000126860.7	ENSG00000180354.11	ENSG00000184007.13	ENSG00000105695.10	ENSG00000012124.10	ENSG00000105290.7	ENSG00000011426.6	ENSG00000128283.6	ENSG00000100146.12	ENSG00000167641.6	ENSG00000168314.13	ENSG00000146122.12	ENSG00000173786.12	ENSG00000049089.9	ENSG00000092529.18	ENSG00000066322.8	ENSG00000167755.9	ENSG00000064787.8	ENSG00000065361.10	ENSG00000102934.5	ENSG00000124920.9	ENSG00000176485.6	ENSG00000126803.8	ENSG00000172508.6	ENSG00000150656.10	ENSG00000141540.6	ENSG00000114993.11	ENSG00000197971.10	ENSG00000103089.4	ENSG00000141524.11	ENSG00000204278.8	ENSG00000164176.8	ENSG00000118785.9	ENSG00000172005.6	ENSG00000197430.6	ENSG00000080822.12	ENSG00000071054.11	ENSG00000203485.8	ENSG00000070214.11	ENSG00000198121.9	ENSG00000174607.6	ENSG00000136867.6	ENSG00000187164.13	ENSG00000136960.8	ENSG00000170775.2	ENSG00000107902.9	ENSG00000167123.14	ENSG00000091513.10	ENSG00000126878.8	ENSG00000104419.10	ENSG00000148826.6	ENSG00000113578.13	ENSG00000169554.12	ENSG00000132702.8	ENSG00000136541.10	ENSG00000164124.6	ENSG00000013297.6	ENSG00000117266.11	ENSG00000196187.7	ENSG00000115468.7	ENSG00000176720.3
Gene expression stats (Y^T * Y): 
94.2403082206	64.3665990693	53.9572023316	54.3767329456	55.4755111592	70.9301229856	62.3093990544	65.0034032939	61.1276275031	66.4177486246	39.6983175706	47.205445126	67.1733700042	70.3107618031	36.1895852122	63.323575696	70.6664726521	66.7786384317	56.5448658677	41.2993952268	59.1923382672	55.2496315508	65.1433818459	62.5775978116	61.2684138098	69.8007800308	44.293481134	72.4101617115	66.965607889	68.9722648492	60.8814876558	73.2631154052	62.8937526086	60.7289849367	70.0117434064	61.706308418	44.4867366825	72.9285975637	52.7921472725	61.5327317869	60.5690493535	52.002437689	59.2279892034	65.6594336396	51.9959142788	43.5112938136	64.133774969	62.7931592387	53.3270529822	66.9938793829	63.7706465621	51.2781393249	66.1582620017	64.9452738644	44.9808048817	45.0348283743	58.3967813093	34.9014028259	52.7554534453	66.4737270953	35.5144895541	52.6444625743	57.624123917	60.3312258583	64.7533934337	59.1536683585	57.2236493026	56.3736512512	65.1641949845	44.2087969361
64.3665990693	94.2403082206	51.5889427079	54.1209280362	50.6887799273	67.7313388845	63.3375645573	57.2323008154	61.5361004707	66.3497904607	37.5699381831	51.1443270232	69.8713635977	68.1599797576	45.4736426538	64.1214262254	71.9536296567	70.9885157678	64.716865849	43.2372583839	57.4513972262	56.5303776104	65.8644275564	59.1008678878	72.6911568041	71.1654264868	44.9104728053	70.978177969	68.6306842336	71.2006163813	58.6100922448	72.1123816698	65.3598190371	55.1132105092	68.7006338087	61.0826373349	45.5563123893	74.3589036065	58.1994084944	66.8263567695	48.5460480246	52.8319904132	61.5946898958	66.3680690862	44.4684178527	35.7290191202	65.4424522389	65.0629397521	52.1927182644	54.6643205212	62.3408234636	50.6377052524	61.2596627709	61.6978847029	44.0750740575	47.9509651814	58.8878163454	38.2560706082	54.1394063968	71.6664080792	32.7843532136	52.8463818856	65.1069647882	58.7777707938	62.585818575	58.6330147277	51.3133518145	52.6804301536	60.0100085321	46.6455579498
53.9572023316	51.5889427079	94.2403082206	50.27165307	67.1043722274	60.4974546404	67.1989649106	42.0309879667	62.7624304927	62.2175689089	38.6501673031	43.5615782985	69.1632610251	52.3760149146	45.5780927919	54.0883002796	56.2804355035	52.9002377797	54.6388641861	44.4704373387	49.2703246083	66.8312371627	47.1282884626	59.6745020296	56.7193414708	62.3908446952	42.2709958805	56.8686516322	63.952368025	63.3286525441	67.2969315166	64.5746816826	60.5155445069	59.5380049829	66.5607913304	47.8292867706	43.7350771213	59.6805519159	36.3703191753	49.7537360163	58.9942623785	64.3403233726	74.0434235047	60.9096223144	63.1945731083	41.8087876106	45.9451458697	65.4487491749	46.6100907087	50.7136996071	59.7206420431	40.032215099	65.0850904122	61.2589674606	55.6238154917	55.9658839089	63.0619321623	40.3703060931	64.9063076134	48.4642434014	47.2677387663	36.6981281009	54.7491686707	54.9288975418	62.1441611297	75.2623293419	43.2474701817	56.1942823624	56.4438267897	44.983739172
54.3767329456	54.1209280362	50.27165307	94.2403082206	73.6629837188	67.2534810642	48.529274163	65.190469492	79.5674897877	57.8954324024	52.4986942733	69.5754063209	74.8107753902	56.6625741582	65.5643969527	64.0476313156	67.9480164025	59.1148265353	76.1525137117	60.3487213824	57.4722020897	68.618209178	64.6616250429	74.66177451	62.0620569577	73.8494473818	63.3628138635	53.5261951133	71.6494195536	74.6269404791	66.9728927672	65.5289840261	74.8297501428	76.0874661373	62.0310720284	48.9998218087	64.3531971395	62.8174486179	62.2117389442	53.3405437724	55.9884835085	70.7413295389	63.5383879207	57.8266517536	62.3681648668	51.6686910586	66.6565739358	62.9868620271	62.2525847542	52.3871156795	46.9278904042	65.4755422962	68.9841659443	53.2333689194	64.6647915322	72.8236272411	80.4058607485	67.9825073875	66.8575936128	69.72092695	52.1093262477	54.454493125	52.9772936777	74.8639775275	58.9237681887	68.4967895408	78.4473298269	70.0798631391	63.7886313094	48.2772029855
55.4755111592	50.6887799273	67.1043722274	73.6629837188	94.2403082206	61.5903387265	54.5876576674	51.4009544737	80.5624392932	57.2095046242	52.0220942536	61.3613882865	76.8575916548	52.2007798195	63.5199223981	55.3057156414	60.2404026091	57.491421784	75.697316458	63.9390074601	52.0294188245	81.3794825178	55.9938645111	74.6773574364	64.3902549748	67.0685434877	61.5697273272	52.0859183416	75.3878939594	71.2704250739	73.3283693731	64.1948730388	75.9508564583	67.5977618985	61.2894520401	44.481331753	61.877903752	57.2268100001	50.9106638503	47.7710223301	57.7154976941	65.6757192632	69.8840001788	62.3970411077	67.2202319571	45.8812592976	67.1932336774	59.4389691317	58.5963845352	47.8115944283	46.4489166141	53.1633189552	66.7636921388	53.220003808	65.2017657324	72.524202992	78.4416718185	63.2111904563	74.3614382026	58.5110917888	56.0329412315	45.1732465059	58.1104237659	68.5780778488	57.9073549777	79.2913183063	69.387878013	70.7045881172	65.334147378	51.1609881958
70.9301229856	67.7313388845	60.4974546404	67.2534810642	61.5903387265	94.2403082206	67.9824881346	69.1668372141	78.7200967962	79.4576895276	55.6380449001	66.6182841683	79.6133485528	77.1601817536	55.8322352863	77.2776033238	76.7647096286	75.9952655738	69.4743088245	60.3593724367	68.8773862902	67.3267788934	70.6237143196	70.9075626129	73.5240274468	80.2445600963	60.4985859487	77.985123682	76.6682446771	83.3041149778	72.5175512885	79.9911092469	75.0330181594	73.062952935	78.9608706572	69.914043397	65.0477806321	81.9226697187	65.2099876361	73.6030920227	66.5012423288	68.8167192039	72.6907904945	75.1865234589	70.1237795227	56.575522795	68.766157887	78.6385755893	67.0017471364	69.6031639525	66.1373945206	67.4204298617	80.056531026	69.8058500081	59.6994193069	59.577883189	74.9748400395	49.4195455027	68.516888996	79.1010135736	45.1715008681	63.1940171745	71.1026415646	79.5893838672	76.2177814882	68.7121819883	66.6647390336	68.3442743021	70.9821373218	58.4184027847
62.3093990544	63.3375645573	67.1989649106	48.529274163	54.5876576674	67.9824881346	94.2403082206	47.7790499425	61.4213145462	62.7753283693	47.7606262822	46.0609154606	70.4848188264	64.7813700771	49.9823875433	57.1700456877	64.0250050553	68.1313101088	56.2833998202	47.8386587506	56.7836508494	60.3305154281	65.1450854962	62.1348779598	64.5310701751	68.0510414296	48.2558490382	63.8106016988	73.3559719132	65.97730283	60.636219558	68.7037550496	63.8972927568	52.9500968539	69.3633304203	58.5741243034	49.5065214347	69.24960995	44.7940625863	64.4462513639	53.6915169918	48.0189037714	74.7582557364	65.887972553	57.9431399588	46.8688159447	53.2732656321	63.6815172455	49.1150604315	54.0020720906	57.8864532639	51.7609547112	63.3174315655	61.4349721436	51.0935206381	50.8206619673	58.8373707964	37.44767296	50.1502336321	60.5313267763	45.8087704207	51.1087081518	59.6335062684	58.8108936377	68.7207140313	53.7307249164	46.2043032629	53.5419635212	58.1187216676	48.5786811942
65.0034032939	57.2323008154	42.0309879667	65.190469492	51.4009544737	69.1668372141	47.7790499425	94.2403082206	65.0825285393	67.372937044	56.1790275621	66.378939165	66.3208971593	69.4705360682	48.7339431854	73.2641079699	73.2233339717	66.106674928	67.2135331444	57.0080964268	67.1826605753	57.3898912851	74.8089130382	62.2432375607	59.8711757615	74.3429748508	59.712188686	64.8432052018	67.9162010413	71.3694545488	60.8640376131	69.6589700711	68.1145388498	64.1957026078	63.4767254285	57.9183317467	61.9689481515	75.3171085957	63.9638732157	57.7403822278	56.004441065	56.4564327626	54.6534878203	53.7301291805	56.0207630037	54.6158675536	70.5206101754	70.3866709521	65.193825549	62.0319905088	51.2688920448	63.6851374462	66.027490156	52.7746122892	60.563989883	48.1398532518	66.0127331536	57.1167630024	58.3587967294	78.1570510816	52.3106899205	66.7833810222	58.6873152819	73.180399856	57.6877317295	59.1270290875	70.2524231034	63.1654923455	65.128436744	43.5627071792
61.1276275031	61.5361004707	62.7624304927	79.5674897877	80.5624392932	78.7200967962	61.4213145462	65.0825285393	94.2403082206	66.816834111	57.5478377412	68.250890607	86.0430651042	68.4075041667	65.9334194964	71.3819294419	71.6206022223	67.8310528261	79.1723543758	70.1235719285	63.0953108049	82.3687017595	71.1440871833	82.4375055155	71.8467412891	81.4349040861	67.3319906552	63.9796600326	80.0151369927	86.3358063143	75.6872950419	73.0334207403	85.3981811509	78.1888827005	72.2557314236	58.4587816351	72.0898423511	71.2927721212	66.3021843852	63.93919903	62.132665409	74.5242841843	74.0019655376	71.611388484	75.7098609459	55.6341928818	72.5949512935	71.8480848772	65.0150444379	55.9096718758	57.2095025705	67.5253517487	77.7469542992	59.5371305082	67.2907007246	78.1968953412	87.26295108	66.5845325469	75.3252478915	76.3106288927	58.2648396758	57.9218812786	70.2773611197	83.370886897	71.0384647881	79.1611669584	81.4096350638	77.5183045033	71.1887693173	59.7762453773
66.4177486246	66.3497904607	62.2175689089	57.8954324024	57.2095046242	79.4576895276	62.7753283693	67.372937044	66.816834111	94.2403082206	40.6096350342	54.1549855439	71.2757897804	69.1846584337	48.0881880121	82.6082787366	66.0507484885	70.9288780057	60.0726086536	48.0068500284	63.5543332602	63.3859450144	62.7004066959	59.5560093304	65.3910061045	74.509299445	46.4103879312	78.7250636424	71.2339852592	75.0633854069	66.0205010288	81.6737823918	63.9633260958	68.9225095117	79.3439661959	61.6188042243	50.3781223228	78.7616482195	54.1994582806	62.7322321237	75.0605374408	61.3164084887	64.5370880073	67.2111889463	62.8524459249	43.8895791963	65.2297804233	77.5413477611	55.342920965	80.9196981592	66.3492697916	58.2806266298	82.1781071792	78.1293249162	53.764952853	48.9387788319	68.1226493947	42.7711053351	57.9817692906	66.7709827013	43.9061675276	59.5291048877	62.12365197	75.3686890303	78.279823828	69.1965443717	55.7918674842	65.432628138	64.327564064	44.5793367691
