Tissue	braincerebellum
N_samples	102
Chr	10
Gene	ENSG00000156395.8
SNP	rs7096148
Gene_list	ENSG00000125895.5	ENSG00000071282.7	ENSG00000137203.6	ENSG00000273079.1	ENSG00000162494.5	ENSG00000162981.12	ENSG00000110786.13	ENSG00000185052.7	ENSG00000136750.7	ENSG00000163873.5	ENSG00000138944.7	ENSG00000101670.7	ENSG00000105464.3	ENSG00000008196.8	ENSG00000169213.6	ENSG00000163932.9	ENSG00000157404.11	ENSG00000171617.9	ENSG00000152784.11	ENSG00000120833.9	ENSG00000156395.8	ENSG00000151136.10	ENSG00000041515.11	ENSG00000178403.3	ENSG00000089250.14	ENSG00000152894.10	ENSG00000109452.8	ENSG00000114805.12	ENSG00000196482.12	ENSG00000143507.13
Gene expression stats (Y^T * Y): 
94.2403082206	56.7945445039	52.1939423944	40.9008092523	56.9614468228	40.5518751839	58.9139873466	57.2994507799	52.5839194308	45.1586193894	56.6189669805	57.3714574857	38.8416564718	58.9934460126	50.7399734157	61.1196990542	45.577236249	37.8092874605	57.032250444	45.0919552618	60.1539677285	60.6555884824	50.9840539846	49.6896812789	52.1874964116	41.5638637844	42.7976893443	42.7191691425	37.4819842267	55.862433787
56.7945445039	94.2403082206	51.6681033335	64.2423687575	64.1305170722	57.9692765237	68.7854936499	69.5494363611	60.7273834657	63.2384160894	65.1769431275	61.3791778415	56.8933548781	73.658069602	71.59075118	57.3188963697	58.3970632756	40.2003485563	60.1524123523	48.5897892703	64.6881103781	66.6244097356	58.4984311026	63.5312503585	68.0211979626	56.5402155709	61.6916526261	53.4357871609	48.7361842231	43.0293686146
52.1939423944	51.6681033335	94.2403082206	63.8054572682	68.1749872262	52.9823516552	57.1585943056	57.9906606377	55.5726826154	63.7463651849	63.1779962505	68.6436798786	61.6034837837	73.5927032564	56.4463749688	62.6165169659	55.1796403437	65.9611460255	69.7920631889	52.693730141	62.4430175563	68.717043098	60.0549029305	57.2148488336	56.1153798091	50.2332573991	57.2496866902	58.4562583172	55.245756174	66.0082596682
40.9008092523	64.2423687575	63.8054572682	94.2403082206	67.3066332786	58.6967529721	64.5101222128	65.880272734	60.3723543905	71.9272240992	66.5260504473	74.3909688926	71.777163496	71.6869916371	75.3195159589	62.4787567655	59.163266638	62.6114569944	68.4722226437	53.2511255669	69.5153373891	72.2150020965	66.3945002659	65.495399344	72.5402681256	64.858379818	73.5530525707	61.0531626357	68.6691402713	53.481617156
56.9614468228	64.1305170722	68.1749872262	67.3066332786	94.2403082206	62.958443478	73.0819516041	74.1601730039	60.826783448	77.5229876352	78.6586487071	77.3971264383	61.2712967037	75.5012153214	65.8244124618	74.5875072085	62.4227491173	63.758810938	70.6505667618	60.5351352179	74.9254629412	82.6758329796	70.3588655711	65.0830731319	67.2442068428	57.1360351553	59.9408494005	50.9803065934	55.8092460006	63.7480368826
40.5518751839	57.9692765237	52.9823516552	58.6967529721	62.958443478	94.2403082206	51.2225974729	66.0280682202	56.7684019507	62.2298794684	58.3482525549	64.2255892213	54.6565263284	68.6221646424	52.4777951011	57.579206484	60.5749426511	60.8477563069	53.1078241357	43.1788149464	59.6855230931	68.8212092063	61.583737186	58.881918238	63.3640834941	59.4286560217	54.4375307496	55.1309142756	53.509704116	41.6889728773
58.9139873466	68.7854936499	57.1585943056	64.5101222128	73.0819516041	51.2225974729	94.2403082206	69.1912488868	60.2435161195	64.6831357933	68.9740018443	65.2910933509	58.6315484716	73.3377610612	68.9243939351	67.969000387	53.3439450102	47.5534157657	61.2444112345	44.6204536505	64.720375593	67.3704182712	62.4565067588	62.8520562994	65.3203052149	48.4050691242	61.4696869714	44.03912469	48.7684851748	58.4322217827
57.2994507799	69.5494363611	57.9906606377	65.880272734	74.1601730039	66.0280682202	69.1912488868	94.2403082206	72.0141534012	71.5461339	72.2415128294	69.8113752686	60.0959937219	74.4502206509	67.6961509359	78.0985102131	80.8577524529	59.465947288	65.6745514525	44.274976726	65.6751785408	76.9144695176	58.1520737288	61.4536927316	68.3186687764	52.7632647539	63.7516884243	58.2670258815	63.1689380778	56.4928563772
52.5839194308	60.7273834657	55.5726826154	60.3723543905	60.826783448	56.7684019507	60.2435161195	72.0141534012	94.2403082206	65.6535839663	60.8788721069	64.4675148852	44.5026453968	66.7409952592	66.6083800527	71.2460801104	75.2132579809	53.8482128779	48.7392723041	34.140298494	67.1705855383	68.6691769674	53.8472130125	49.0939257572	66.0764784459	55.5469505784	62.8593749809	56.3375478558	57.374454964	55.3185716981
45.1586193894	63.2384160894	63.7463651849	71.9272240992	77.5229876352	62.2298794684	64.6831357933	71.5461339	65.6535839663	94.2403082206	73.2689025865	77.0457873518	64.2943658178	69.2496828831	70.4288424222	69.7230658354	62.8529288251	64.5036535236	64.8777113876	48.6155181329	73.4304738919	82.3056025734	66.9984426214	64.319525547	71.5570597972	61.9532997179	67.3855029917	59.0490937055	57.0386238571	57.1739169486
56.6189669805	65.1769431275	63.1779962505	66.5260504473	78.6586487071	58.3482525549	68.9740018443	72.2415128294	60.8788721069	73.2689025865	94.2403082206	76.1797753053	60.530652115	69.0857620587	76.1773501626	69.666952555	58.9532679995	65.162115476	70.5350760408	54.0273115778	71.6577188984	79.4720009761	64.9608727491	61.9373072228	71.3038874696	53.5635782781	65.188678969	56.9554252132	58.0628662086	50.954087401
