Tissue	skinsunexposedlowerleg
N_samples	299
Chr	17
Gene	ENSG00000198242.9
SNP	rs73986754
Gene_list	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000130255.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000134419.11	ENSG00000174748.14	ENSG00000198242.9	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100129.13	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000131469.8	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000162244.6	ENSG00000229117.4	ENSG00000171858.13	ENSG00000174444.10	ENSG00000172809.8	ENSG00000147604.9	ENSG00000149273.10	ENSG00000186468.8	ENSG00000156482.6	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
289.277195889	210.673871282	207.904470325	218.846754655	141.741073224	178.944425304	60.6060533661	86.1371815887	174.036211114	164.656300754	146.867572786	70.813091555	147.136555129	115.098459528	165.319215798	207.775000827	126.732910612	86.2731810137	179.355174485	209.534071951	163.612270171	182.076332662	185.524151901	172.545894261	109.667336936	184.949014401	59.4164575912	173.896128294	147.824866733	73.4044661655	132.053342639	120.138237855	176.382226881	215.977019312	216.131811821
210.673871282	289.277195889	217.172212688	248.617875973	170.972478317	166.454193368	94.2802400737	111.466081999	173.724376159	188.610952712	151.036463027	58.0488688417	151.690970758	109.371097032	168.663185355	235.046359519	96.6223155158	127.034972462	247.893211237	195.358419457	185.674000645	206.409066962	186.775559944	220.256356199	83.0227984301	163.087428407	28.8785777163	211.642481353	122.10919163	69.575433153	116.234090734	97.0889667404	164.825740227	207.253455928	195.749731769
207.904470325	217.172212688	289.277195889	206.954789969	157.441017342	185.26360592	81.0869364091	108.689887349	188.036298875	166.850453678	186.885999579	48.0373144606	151.029207721	154.837273207	224.580958353	212.141817274	117.37723789	100.081950909	232.8373894	207.79939067	175.570739692	215.194743355	196.673388035	189.314456502	134.433627534	137.164827224	59.5448353291	235.089831748	107.622016815	78.087347259	134.957426844	115.540522081	209.197474919	229.743848077	190.672532674
218.846754655	248.617875973	206.954789969	289.277195889	172.341650256	186.522330541	142.586384117	131.069043985	195.253154515	194.326188576	164.695550781	119.475442074	190.81635301	108.413611437	181.814521616	228.461317263	130.041928404	165.498497938	215.875079633	218.073099061	207.83014986	184.12261713	221.151739671	233.592251312	110.837911608	215.013984001	67.5980578551	194.350712894	138.415432613	106.423575964	147.814191924	142.28312946	173.860454856	201.174977976	216.587387684
141.741073224	170.972478317	157.441017342	172.341650256	289.277195889	218.219314047	188.678190779	175.252324235	198.518977244	226.273991139	217.187433015	115.670901754	185.580079712	120.926300278	173.396067543	170.806870312	168.590155907	194.875876759	181.530012003	159.235381523	185.24297192	201.924443083	197.222181334	192.430776854	122.390944197	145.296715752	135.690362649	196.989551486	175.736081558	178.662486741	185.634286543	203.650689975	218.261722642	178.134435192	204.077333735
178.944425304	166.454193368	185.26360592	186.522330541	218.219314047	289.277195889	200.117243736	203.02418553	229.879239984	222.067477226	240.332478919	143.760253627	231.106044819	160.164873864	209.764780659	193.79371286	222.165147647	194.095997765	189.966333702	205.139810516	238.560263341	227.693501731	212.111597167	217.632964178	203.034724763	200.754559871	176.76092831	203.092245307	203.52978046	229.624894295	213.493875829	211.446742488	247.991317043	217.496565411	248.096220635
60.6060533661	94.2802400737	81.0869364091	142.586384117	188.678190779	200.117243736	289.277195889	209.308068462	203.11270729	179.973357465	197.946032872	222.451680504	232.900035947	122.336884358	160.000239225	136.90269885	199.616490357	250.665795499	109.751788754	164.096246071	212.030593337	119.775685618	201.043861434	195.599727954	181.07569488	197.259920395	189.304957758	147.200033158	183.691573332	225.70303136	179.107274918	216.762253263	172.37110087	90.8717348761	176.872191561
86.1371815887	111.466081999	108.689887349	131.069043985	175.252324235	203.02418553	209.308068462	289.277195889	174.822705519	184.444267465	213.658751092	168.763015821	199.237835264	123.673285654	174.617271899	151.163517876	197.084447292	187.08582541	119.46815689	164.819222819	184.930784158	159.812628451	171.840273284	184.342677247	169.407241335	165.152912887	190.604727107	156.955726852	176.174258454	213.427474817	177.242660805	198.24197251	207.643741053	137.033921368	183.648742518
174.036211114	173.724376159	188.036298875	195.253154515	198.518977244	229.879239984	203.11270729	174.822705519	289.277195889	182.723512209	208.327364193	184.418562609	221.502327477	177.377165656	198.175183243	209.53760146	206.893258101	191.338918818	181.367524438	207.97014068	220.698407149	191.990543994	218.031661585	203.648850399	193.493101207	205.54284267	180.260937747	214.229262544	215.003548664	185.132853056	180.580710291	192.56641417	216.800949047	179.6735996	218.263426814
164.656300754	188.610952712	166.850453678	194.326188576	226.273991139	222.067477226	179.973357465	184.444267465	182.723512209	289.277195889	212.833732719	114.231704683	195.481933546	108.891026904	174.336639127	184.711552147	148.611829959	209.647443945	191.103244825	170.872987698	200.739049675	200.919939973	193.365104081	224.484274942	123.093959399	167.176823165	113.065367171	199.304987278	173.554488845	170.171677259	173.024917092	207.268717043	217.474211601	192.71679741	222.228694532
146.867572786	151.036463027	186.885999579	164.695550781	217.187433015	240.332478919	197.946032872	213.658751092	208.327364193	212.833732719	289.277195889	129.446752485	203.040881549	172.620980543	222.989433513	168.868170123	207.852880269	175.391354799	183.485198656	198.674314875	204.18146005	216.662688943	212.808512759	192.059683927	183.310652574	159.292567342	188.589982594	210.403572004	181.599201175	207.094395525	208.361231992	210.002809048	245.352920396	203.38699335	215.649375063
