Tissue	skinsunexposedlowerleg
N_samples	299
Chr	3
Gene	ENSG00000188846.9
SNP	rs7642906
Gene_list	ENSG00000171863.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000134419.11	ENSG00000137154.8	ENSG00000174748.14	ENSG00000142676.8	ENSG00000198242.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000105202.3	ENSG00000188846.9	ENSG00000142937.7	ENSG00000265681.2	ENSG00000142541.12	ENSG00000142534.2	ENSG00000143947.8	ENSG00000229117.4	ENSG00000008988.5	ENSG00000174444.10	ENSG00000172809.8	ENSG00000147604.9	ENSG00000186468.8	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000071082.6	ENSG00000104408.5	ENSG00000089009.11	ENSG00000118181.6	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000182899.10	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
289.277195889	161.683297052	219.307258872	221.295815305	259.122419716	196.691918529	244.655965841	135.076527372	156.941401737	220.581924991	200.293049437	68.1485768345	178.642085691	257.532017985	239.231629507	127.227255579	152.273008414	244.980025654	127.19489202	228.563411627	170.095299047	172.330837115	193.88108807	163.582126899	237.77936106	211.796777356	233.795122469	250.929432156	186.503545593	212.931148514	210.212817742	171.3118146	212.403943862	141.447555938	247.501093963	154.928514554
161.683297052	289.277195889	204.46816332	200.117243736	154.501436707	203.02418553	198.505322126	229.879239984	240.332478919	143.760253627	231.106044819	174.190781511	222.165147647	138.795046748	114.347679936	205.139810516	238.560263341	147.486880108	212.111597167	185.7297013	203.034724763	200.754559871	176.76092831	203.52978046	104.590123183	229.624894295	190.518047743	134.392991724	134.173129622	137.438207334	130.584745918	213.493875829	211.446742488	247.991317043	147.173194694	248.096220635
219.307258872	204.46816332	289.277195889	233.902499467	214.916850182	223.940900592	221.024872534	170.246290063	198.829257496	180.652559171	202.462937331	113.461164835	195.6581676	210.103967017	181.554329506	118.410012687	173.090609275	208.500301795	146.833445593	225.803481933	170.559398396	155.545929722	209.165992291	189.313107228	193.769590457	238.128473109	222.139715177	199.221446154	181.551455529	200.794381267	204.741751951	187.410281965	216.328680552	179.699089032	225.188743486	170.858675766
221.295815305	200.117243736	233.902499467	289.277195889	212.405744903	209.308068462	233.006451546	203.11270729	197.946032872	222.451680504	232.900035947	122.759773619	199.616490357	213.886636386	207.69357652	164.096246071	212.030593337	205.837763291	201.043861434	229.837123617	181.07569488	197.259920395	189.304957758	183.691573332	180.370703998	225.70303136	225.538531618	202.395086925	170.971084517	209.739697934	233.561754436	179.107274918	216.762253263	172.37110087	228.447027863	176.872191561
259.122419716	154.501436707	214.916850182	212.405744903	289.277195889	191.149793544	251.963760031	139.162951239	159.071429721	232.376607721	190.036536667	92.6806845823	197.304403418	264.657386873	247.566987314	126.660261879	148.499812359	250.305500576	125.802684307	236.563953558	175.551261728	158.024574425	225.797435614	168.866894341	250.521091	204.659624191	234.283012714	253.845914417	194.451093347	229.21815903	225.133623106	166.977826023	215.030788054	138.306449539	246.179193869	146.806340025
196.691918529	203.02418553	223.940900592	209.308068462	191.149793544	289.277195889	191.695272959	174.822705519	213.658751092	168.763015821	199.237835264	106.236727758	197.084447292	190.567530013	152.524287788	164.819222819	184.930784158	165.484746818	171.840273284	184.814978714	169.407241335	165.152912887	190.604727107	176.174258454	160.327009446	213.427474817	185.782665415	188.570922569	205.090820319	178.483173996	157.435837593	177.242660805	198.24197251	207.643741053	182.579294613	183.648742518
244.655965841	198.505322126	221.024872534	233.006451546	251.963760031	191.695272959	289.277195889	160.157886137	185.903284143	218.518645334	221.21018917	124.394911432	214.52582812	243.60872218	232.091505285	155.621721629	191.710106085	235.383398665	167.264773272	257.753265654	190.73930366	195.852745706	215.158165419	179.480798183	226.991845659	236.813217213	254.78172482	237.221380692	167.153445489	213.755801497	220.91497072	188.951850127	209.28032978	161.440916724	249.797098947	179.020152165
135.076527372	229.879239984	170.246290063	203.11270729	139.162951239	174.822705519	160.157886137	289.277195889	208.327364193	184.418562609	221.502327477	170.657771545	206.893258101	126.700017163	128.182715266	207.97014068	220.698407149	145.053951341	218.031661585	150.135297668	193.493101207	205.54284267	180.260937747	215.003548664	97.188559729	185.132853056	152.105344867	118.370387325	152.150679041	144.073299402	156.95414142	180.580710291	192.56641417	216.800949047	121.780749566	218.263426814
156.941401737	240.332478919	198.829257496	197.946032872	159.071429721	213.658751092	185.903284143	208.327364193	289.277195889	129.446752485	203.040881549	170.997338154	207.852880269	142.830018162	111.837085213	198.674314875	204.18146005	138.397145191	212.808512759	175.889683488	183.310652574	159.292567342	188.589982594	181.599201175	97.7124344368	207.094395525	170.37739287	123.484966744	139.312585595	152.825987022	132.068607565	208.361231992	210.002809048	245.352920396	136.303090068	215.649375063
220.581924991	143.760253627	180.652559171	222.451680504	232.376607721	168.763015821	218.518645334	184.418562609	129.446752485	289.277195889	209.387440865	97.2337261098	188.515339471	240.947566027	257.140606597	159.523505186	174.93497573	234.7579197	156.537651883	220.067311096	154.725224242	200.115873865	200.818614957	194.892031164	219.228213788	166.446920315	216.014710452	239.247565426	199.517629099	217.278696929	245.381973335	160.609555692	191.598583287	124.962609919	225.367476742	153.974282293
