Tissue	skinsunexposedlowerleg
N_samples	299
Chr	16
Gene	ENSG00000167526.9
SNP	rs12960
Gene_list	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000130255.8	ENSG00000105640.8	ENSG00000221983.3	ENSG00000124614.9	ENSG00000105193.4	ENSG00000105372.2	ENSG00000105373.14	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000162244.6	ENSG00000170889.9	ENSG00000108107.8	ENSG00000229117.4	ENSG00000083845.4	ENSG00000171858.13	ENSG00000137818.7	ENSG00000149273.10	ENSG00000167526.9	ENSG00000136942.10	ENSG00000161016.11
Gene expression stats (Y^T * Y): 
289.277195889	210.673871282	207.904470325	218.846754655	199.98953232	182.54565033	164.656300754	207.775000827	208.454056698	160.811034175	179.355174485	209.534071951	163.612270171	182.076332662	198.378865822	181.308472535	185.524151901	182.74068971	172.545894261	178.172101048	173.896128294	182.38143239	157.383883422	215.977019312
210.673871282	289.277195889	217.172212688	248.617875973	258.147591907	212.10137498	188.610952712	235.046359519	234.126667051	198.571163433	247.893211237	195.358419457	185.674000645	206.409066962	242.114564278	224.602779547	186.775559944	234.519465729	220.256356199	233.420628046	211.642481353	258.68519633	196.825902829	207.253455928
207.904470325	217.172212688	289.277195889	206.954789969	241.960277326	226.564134322	166.850453678	212.141817274	216.336265509	185.987517849	232.8373894	207.79939067	175.570739692	215.194743355	240.15727076	214.870300633	196.673388035	246.545117414	189.314456502	191.057817566	235.089831748	207.602410524	146.179759508	229.743848077
218.846754655	248.617875973	206.954789969	289.277195889	223.93204011	196.911273921	194.326188576	228.461317263	238.638486738	178.322384223	215.875079633	218.073099061	207.83014986	184.12261713	216.418916999	190.422526217	221.151739671	197.889278196	233.592251312	203.159046171	194.350712894	229.223400661	216.6221	201.174977976
199.98953232	258.147591907	241.960277326	223.93204011	289.277195889	229.492992155	172.46812455	231.118939046	235.301978629	199.92358311	257.650886078	191.856798661	174.336846949	222.319241465	245.158207483	226.735656992	177.291748141	261.779394717	212.96677293	225.908124697	228.382857506	247.937739128	169.175607945	218.968904104
182.54565033	212.10137498	226.564134322	196.911273921	229.492992155	289.277195889	161.269077377	217.941048046	179.275205707	169.035331176	223.881213058	191.918460698	184.365275094	194.029242722	227.10791536	218.693872665	193.143235766	235.112704873	181.853377537	148.973467691	202.38564221	198.337566623	145.022134777	221.73539398
164.656300754	188.610952712	166.850453678	194.326188576	172.46812455	161.269077377	289.277195889	184.711552147	191.213542107	118.243113392	191.103244825	170.872987698	200.739049675	200.919939973	178.443506697	143.464750044	193.365104081	173.596790718	224.484274942	179.800924227	199.304987278	179.978264248	241.59860962	192.71679741
207.775000827	235.046359519	212.141817274	228.461317263	231.118939046	217.941048046	184.711552147	289.277195889	207.245928168	179.233778459	217.745012234	230.054223658	208.123903534	189.184450911	223.882264375	192.441523819	208.456610501	210.917203187	238.048855736	177.478122055	227.438793337	219.737218999	168.342916277	212.016540981
208.454056698	234.126667051	216.336265509	238.638486738	235.301978629	179.275205707	191.213542107	207.245928168	289.277195889	163.367756267	223.972613632	194.283403419	176.464096626	181.538953159	210.034053801	185.366588491	179.474330618	215.67894135	224.146972191	222.892263432	205.716514224	215.635121179	199.653869719	186.588350013
160.811034175	198.571163433	185.987517849	178.322384223	199.92358311	169.035331176	118.243113392	179.233778459	163.367756267	289.277195889	209.117295988	172.804628656	170.252095144	190.168745404	187.377664058	158.717807897	140.413676607	202.875998247	160.051551485	162.535855399	172.105942286	202.345003889	114.207166855	189.068803193
179.355174485	247.893211237	232.8373894	215.875079633	257.650886078	223.881213058	191.103244825	217.745012234	223.972613632	209.117295988	289.277195889	191.861005864	194.410360751	227.866697243	230.099799292	223.387340153	186.07190793	259.832999243	217.141268075	221.052355615	231.634698071	238.459897798	180.55696721	224.350222809
209.534071951	195.358419457	207.79939067	218.073099061	191.856798661	191.918460698	170.872987698	230.054223658	194.283403419	172.804628656	191.861005864	289.277195889	231.813466839	171.478406972	195.439561613	165.402925712	234.640941259	185.029331644	222.681834936	162.982836967	214.797626794	180.002657268	165.61429453	208.758499782
163.612270171	185.674000645	175.570739692	207.83014986	174.336846949	184.365275094	200.739049675	208.123903534	176.464096626	170.252095144	194.410360751	231.813466839	289.277195889	189.937487401	180.311006092	138.062089232	232.5352957	176.378538768	233.555101729	154.349293007	196.799630196	179.161344352	196.85581976	192.236924482
182.076332662	206.409066962	215.194743355	184.12261713	222.319241465	194.029242722	200.919939973	189.184450911	181.538953159	190.168745404	227.866697243	171.478406972	189.937487401	289.277195889	196.607547695	174.504903548	177.672547113	227.861014738	192.295260328	189.462697272	212.007840554	202.475197964	178.711821912	227.068823091
198.378865822	242.114564278	240.15727076	216.418916999	245.158207483	227.10791536	178.443506697	223.882264375	210.034053801	187.377664058	230.099799292	195.439561613	180.311006092	196.607547695	289.277195889	224.064837389	195.717363535	239.861158493	201.75694836	198.292676004	224.508564203	227.752373379	166.043513024	213.706971499
181.308472535	224.602779547	214.870300633	190.422526217	226.735656992	218.693872665	143.464750044	192.441523819	185.366588491	158.717807897	223.387340153	165.402925712	138.062089232	174.504903548	224.064837389	289.277195889	154.623608331	213.07385771	162.787080945	191.315673375	206.815566121	194.64690983	135.588563178	188.657613402
185.524151901	186.775559944	196.673388035	221.151739671	177.291748141	193.143235766	193.365104081	208.456610501	179.474330618	140.413676607	186.07190793	234.640941259	232.5352957	177.672547113	195.717363535	154.623608331	289.277195889	181.94955529	221.516874078	154.108858215	201.671094266	174.241084652	182.668064523	188.670054456
