Tissue	skinsunexposedlowerleg
N_samples	299
Chr	17
Gene	ENSG00000108298.5
SNP	rs4795355
Gene_list	ENSG00000171863.8	ENSG00000130255.8	ENSG00000116251.5	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000134419.11	ENSG00000137154.8	ENSG00000174748.14	ENSG00000142676.8	ENSG00000198242.9	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000142937.7	ENSG00000125743.6	ENSG00000265681.2	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000123349.9	ENSG00000143947.8	ENSG00000229117.4	ENSG00000008988.5	ENSG00000171858.13	ENSG00000149806.6	ENSG00000174444.10	ENSG00000172809.8	ENSG00000149273.10	ENSG00000188243.8	ENSG00000186468.8	ENSG00000131143.4	ENSG00000156482.6	ENSG00000114391.8	ENSG00000071082.6	ENSG00000089009.11	ENSG00000147677.6	ENSG00000118181.6	ENSG00000136942.10	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000177954.7	ENSG00000182899.10	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
289.277195889	85.7251345264	200.837831729	226.46168582	126.847760544	161.683297052	219.307258872	221.295815305	259.122419716	196.691918529	244.655965841	135.076527372	141.272179614	156.941401737	220.581924991	200.293049437	118.182460531	62.5902764662	178.642085691	234.517825968	214.305038114	257.532017985	148.449471406	239.231629507	127.227255579	152.273008414	153.940978797	189.501409221	244.980025654	127.19489202	228.563411627	136.283286584	114.851472271	170.095299047	172.330837115	68.6802989138	190.386678864	163.582126899	102.991288116	211.796777356	233.795122469	250.929432156	212.931148514	153.370248177	210.212817742	159.492029814	171.3118146	212.403943862	141.447555938	150.837044877	247.501093963	154.928514554
85.7251345264	289.277195889	97.4249666544	31.6860474724	172.341650256	186.522330541	92.0858911077	142.586384117	70.140307232	131.069043985	110.709342079	195.253154515	194.326188576	164.695550781	119.475442074	190.81635301	181.814521616	228.461317263	130.041928404	130.708862758	165.498497938	85.2339695291	161.181078411	74.0758391675	218.073099061	207.83014986	180.450833708	91.4409846622	76.3124988222	221.151739671	103.631397413	233.592251312	203.866661369	110.837911608	215.013984001	194.350712894	129.141258948	138.415432613	135.947741895	106.423575964	95.5574349028	63.5632093957	44.4102549105	96.2980562547	79.1146835962	216.6221	147.814191924	142.28312946	173.860454856	103.214993872	67.6220440684	216.587387684
200.837831729	97.4249666544	289.277195889	178.808130884	80.0941103172	130.387292917	139.741805491	139.443563614	201.266478318	137.3202878	178.8173946	140.521378232	95.2025641329	96.6783155885	210.500291182	173.736687299	85.8719109404	61.9638945663	153.358022527	228.827639504	147.605890953	210.45440103	92.8630026319	206.224826406	105.471446374	116.366222229	97.4377918563	110.066438156	226.267910867	89.8094229723	161.617002825	95.2584672428	120.961674676	140.221039941	188.219186007	48.4889632103	165.947107017	191.72199092	72.1876564167	162.253379885	174.594711229	210.562180438	146.426859364	157.964381884	161.773973211	113.661054121	159.866608181	175.275217903	110.431564145	59.8297845218	190.985931244	142.571228295
226.46168582	31.6860474724	178.808130884	289.277195889	84.1315666781	97.9293021569	188.050550016	214.394988154	239.400105488	146.020831556	217.131232925	124.676522549	64.4046639707	96.3307560064	247.104425798	175.088950586	62.0826843531	24.0518736687	162.06099917	189.186896134	178.910374612	242.885198172	131.607875622	265.375070365	82.7775041597	118.439171944	113.518511629	218.553412734	236.917136438	93.7899901102	218.29871657	87.4830900911	35.3663301464	142.222640553	142.055868688	28.5770188758	179.379979467	141.689321754	90.2341246268	170.601085273	214.335852917	233.722716201	241.508288448	131.558060081	258.590423952	84.8922798679	125.305787843	159.498113599	73.6984678378	149.631483355	236.337057853	84.6440703625
126.847760544	172.341650256	80.0941103172	84.1315666781	289.277195889	218.219314047	191.73869364	188.678190779	122.283878492	175.252324235	157.869038584	198.518977244	226.273991139	217.187433015	115.670901754	185.580079712	173.396067543	170.806870312	168.590155907	114.954951811	194.875876759	124.004291318	162.759392275	82.0770791657	159.235381523	185.24297192	187.559951061	137.025234886	122.672318374	197.222181334	156.884674239	192.430776854	147.062685361	122.390944197	145.296715752	196.989551486	111.070260703	175.736081558	156.619220724	178.662486741	151.982773923	94.9976499782	109.310998995	104.795953344	131.510299619	211.500719702	185.634286543	203.650689975	218.261722642	202.23723594	127.67861196	204.077333735
161.683297052	186.522330541	130.387292917	97.9293021569	218.219314047	289.277195889	204.46816332	200.117243736	154.501436707	203.02418553	198.505322126	229.879239984	222.067477226	240.332478919	143.760253627	231.106044819	209.764780659	193.79371286	222.165147647	177.095428008	194.095997765	138.795046748	179.362854554	114.347679936	205.139810516	238.560263341	187.668430207	141.952174207	147.486880108	212.111597167	185.7297013	217.632964178	195.862119046	203.034724763	200.754559871	203.092245307	137.039026587	203.52978046	178.334393944	229.624894295	190.518047743	134.392991724	137.438207334	145.207407035	130.584745918	204.270005115	213.493875829	211.446742488	247.991317043	191.399998144	147.173194694	248.096220635
219.307258872	92.0858911077	139.741805491	188.050550016	191.73869364	204.46816332	289.277195889	233.902499467	214.916850182	223.940900592	221.024872534	170.246290063	188.333236214	198.829257496	180.652559171	202.462937331	139.784410898	100.61692784	195.6581676	173.057796807	219.171642807	210.103967017	168.95968661	181.554329506	118.410012687	173.090609275	172.569933421	186.136213361	208.500301795	146.833445593	225.803481933	162.997908382	108.759587832	170.559398396	155.545929722	124.950875485	173.13596061	189.313107228	132.712407038	238.128473109	222.139715177	199.221446154	200.794381267	138.481499762	204.741751951	170.542157479	187.410281965	216.328680552	179.699089032	222.14399819	225.188743486	170.858675766
221.295815305	142.586384117	139.443563614	214.394988154	188.678190779	200.117243736	233.902499467	289.277195889	212.405744903	209.308068462	233.006451546	203.11270729	179.973357465	197.946032872	222.451680504	232.900035947	160.000239225	136.90269885	199.616490357	187.174165172	250.665795499	213.886636386	197.863395973	207.69357652	164.096246071	212.030593337	203.205036765	229.360524452	205.837763291	201.043861434	229.837123617	195.599727954	126.632245808	181.07569488	197.259920395	147.200033158	197.049160501	183.691573332	160.965525701	225.70303136	225.538531618	202.395086925	209.739697934	141.77550199	233.561754436	176.054341989	179.107274918	216.762253263	172.37110087	211.652827705	228.447027863	176.872191561
259.122419716	70.140307232	201.266478318	239.400105488	122.283878492	154.501436707	214.916850182	212.405744903	289.277195889	191.149793544	251.963760031	139.162951239	124.327921897	159.071429721	232.376607721	190.036536667	125.517794233	52.1794262454	197.304403418	218.869807842	193.986941695	264.657386873	140.895754534	247.566987314	126.660261879	148.499812359	125.940380947	191.208380068	250.305500576	125.802684307	236.563953558	119.120865065	98.0812669796	175.551261728	158.024574425	68.2424034261	187.974226101	168.866894341	109.328335218	204.659624191	234.283012714	253.845914417	229.21815903	143.956969949	225.133623106	138.414139402	166.977826023	215.030788054	138.306449539	151.377851965	246.179193869	146.806340025
196.691918529	131.069043985	137.3202878	146.020831556	175.252324235	203.02418553	223.940900592	209.308068462	191.149793544	289.277195889	191.695272959	174.822705519	184.444267465	213.658751092	168.763015821	199.237835264	174.617271899	151.163517876	197.084447292	163.436054003	187.08582541	190.567530013	151.627744025	152.524287788	164.819222819	184.930784158	132.307340363	134.469248202	165.484746818	171.840273284	184.814978714	184.342677247	144.784506371	169.407241335	165.152912887	156.955726852	177.941128291	176.174258454	144.854310928	213.427474817	185.782665415	188.570922569	178.483173996	182.585894396	157.435837593	169.84229003	177.242660805	198.24197251	207.643741053	173.113203581	182.579294613	183.648742518
