Tissue	skinsunexposedlowerleg
N_samples	299
Chr	11
Gene	ENSG00000110700.2
SNP	rs11826763
Gene_list	ENSG00000171863.8	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000134419.11	ENSG00000137154.8	ENSG00000174748.14	ENSG00000142676.8	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000188846.9	ENSG00000131469.8	ENSG00000142937.7	ENSG00000265681.2	ENSG00000123349.9	ENSG00000143947.8	ENSG00000008988.5	ENSG00000145741.11	ENSG00000147604.9	ENSG00000138326.14	ENSG00000186468.8	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000071082.6	ENSG00000104408.5	ENSG00000109475.12	ENSG00000089009.11	ENSG00000118181.6	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000145425.5	ENSG00000177954.7	ENSG00000182899.10	ENSG00000114942.9
Gene expression stats (Y^T * Y): 
289.277195889	226.46168582	126.847760544	161.683297052	219.307258872	221.295815305	259.122419716	196.691918529	244.655965841	141.272179614	156.941401737	220.581924991	200.293049437	178.642085691	214.305038114	257.532017985	239.231629507	189.501409221	244.980025654	228.563411627	117.450151007	193.88108807	237.456489833	163.582126899	237.77936106	211.796777356	233.795122469	250.929432156	186.503545593	234.818299813	212.931148514	210.212817742	171.3118146	212.403943862	141.447555938	247.06439184	150.837044877	247.501093963	245.594067374
226.46168582	289.277195889	84.1315666781	97.9293021569	188.050550016	214.394988154	239.400105488	146.020831556	217.131232925	64.4046639707	96.3307560064	247.104425798	175.088950586	162.06099917	178.910374612	242.885198172	265.375070365	218.553412734	236.917136438	218.29871657	88.7490373768	200.160020498	258.385069001	141.689321754	253.800588143	170.601085273	214.335852917	233.722716201	199.509218835	254.729660507	241.508288448	258.590423952	125.305787843	159.498113599	73.6984678378	249.405150871	149.631483355	236.337057853	227.20522301
126.847760544	84.1315666781	289.277195889	218.219314047	191.73869364	188.678190779	122.283878492	175.252324235	157.869038584	226.273991139	217.187433015	115.670901754	185.580079712	168.590155907	194.875876759	124.004291318	82.0770791657	137.025234886	122.672318374	156.884674239	157.627228192	135.690362649	71.7139414591	175.736081558	66.7106934335	178.662486741	151.982773923	94.9976499782	107.312530227	81.240368948	109.310998995	131.510299619	185.634286543	203.650689975	218.261722642	98.9746165375	202.23723594	127.67861196	79.1731020177
161.683297052	97.9293021569	218.219314047	289.277195889	204.46816332	200.117243736	154.501436707	203.02418553	198.505322126	222.067477226	240.332478919	143.760253627	231.106044819	222.165147647	194.095997765	138.795046748	114.347679936	141.952174207	147.486880108	185.7297013	173.316706091	176.76092831	90.4231337061	203.52978046	104.590123183	229.624894295	190.518047743	134.392991724	134.173129622	88.9067544657	137.438207334	130.584745918	213.493875829	211.446742488	247.991317043	109.673984713	191.399998144	147.173194694	106.906221386
219.307258872	188.050550016	191.73869364	204.46816332	289.277195889	233.902499467	214.916850182	223.940900592	221.024872534	188.333236214	198.829257496	180.652559171	202.462937331	195.6581676	219.171642807	210.103967017	181.554329506	186.136213361	208.500301795	225.803481933	187.042024803	209.165992291	184.30676627	189.313107228	193.769590457	238.128473109	222.139715177	199.221446154	181.551455529	189.1524633	200.794381267	204.741751951	187.410281965	216.328680552	179.699089032	212.664116728	222.14399819	225.188743486	182.214165794
221.295815305	214.394988154	188.678190779	200.117243736	233.902499467	289.277195889	212.405744903	209.308068462	233.006451546	179.973357465	197.946032872	222.451680504	232.900035947	199.616490357	250.665795499	213.886636386	207.69357652	229.360524452	205.837763291	229.837123617	145.786588375	189.304957758	180.946576059	183.691573332	180.370703998	225.70303136	225.538531618	202.395086925	170.971084517	189.078905984	209.739697934	233.561754436	179.107274918	216.762253263	172.37110087	205.322948841	211.652827705	228.447027863	178.39599855
259.122419716	239.400105488	122.283878492	154.501436707	214.916850182	212.405744903	289.277195889	191.149793544	251.963760031	124.327921897	159.071429721	232.376607721	190.036536667	197.304403418	193.986941695	264.657386873	247.566987314	191.208380068	250.305500576	236.563953558	113.414429074	225.797435614	252.53157645	168.866894341	250.521091	204.659624191	234.283012714	253.845914417	194.451093347	243.443334806	229.21815903	225.133623106	166.977826023	215.030788054	138.306449539	264.427062736	151.377851965	246.179193869	249.187769368
196.691918529	146.020831556	175.252324235	203.02418553	223.940900592	209.308068462	191.149793544	289.277195889	191.695272959	184.444267465	213.658751092	168.763015821	199.237835264	197.084447292	187.08582541	190.567530013	152.524287788	134.469248202	165.484746818	184.814978714	156.422294011	190.604727107	144.760301158	176.174258454	160.327009446	213.427474817	185.782665415	188.570922569	205.090820319	138.89890253	178.483173996	157.435837593	177.242660805	198.24197251	207.643741053	174.698319311	173.113203581	182.579294613	157.678160615
244.655965841	217.131232925	157.869038584	198.505322126	221.024872534	233.006451546	251.963760031	191.695272959	289.277195889	157.260483246	185.903284143	218.518645334	221.21018917	214.52582812	204.414822469	243.60872218	232.091505285	229.309226278	235.383398665	257.753265654	135.569375848	215.158165419	220.149425963	179.480798183	226.991845659	236.813217213	254.78172482	237.221380692	167.153445489	222.969314764	213.755801497	220.91497072	188.951850127	209.28032978	161.440916724	234.479983726	194.667737443	249.797098947	209.669010801
141.272179614	64.4046639707	226.273991139	222.067477226	188.333236214	179.973357465	124.327921897	184.444267465	157.260483246	289.277195889	212.833732719	114.231704683	195.481933546	148.611829959	209.647443945	131.259691259	87.1984529722	113.649328251	121.544705511	150.208548385	123.233896451	113.065367171	60.4901232777	173.554488845	51.211050817	170.171677259	146.343197617	109.85801755	89.3930655313	69.5840083415	91.2780517052	101.805750632	173.024917092	207.268717043	217.474211601	88.3411389251	172.570269698	122.358916969	82.1413919496
