Tissue	braincaudatebasalganglia
N_samples	98
Chr	1
Gene	ENSG00000162511.7
SNP	rs1830705
Gene_list	ENSG00000141480.13	ENSG00000125730.12	ENSG00000129226.9	ENSG00000142583.13	ENSG00000216490.3	ENSG00000173372.12	ENSG00000159189.7	ENSG00000173369.11	ENSG00000162511.7	ENSG00000132965.5	ENSG00000204482.6	ENSG00000204472.8	ENSG00000204287.9	ENSG00000204257.10	ENSG00000231389.3	ENSG00000223865.6	ENSG00000011600.7	ENSG00000051523.6	ENSG00000143119.8	ENSG00000148908.10	ENSG00000170458.9	ENSG00000182578.9	ENSG00000150337.9	ENSG00000019582.10	ENSG00000163191.5	ENSG00000158869.6	ENSG00000203747.5	ENSG00000026297.11
Gene expression stats (Y^T * Y): 
90.3124531138	31.9370893464	60.9978102497	54.0742900525	30.2121795261	45.8774779585	42.7732186817	35.6916269803	63.3814197273	63.4833458735	52.8996042475	52.684210187	42.6418463358	53.851467399	51.532978741	59.3759132741	65.1635507299	30.1089565642	48.8767783843	58.1958863496	37.2668968919	67.403599559	30.8060358226	34.4873309246	21.8607310708	47.1759175445	41.1736348783	44.0179720811
31.9370893464	90.3124531138	29.9907134687	34.5410952965	30.5084829119	70.0175139716	74.5231226486	77.4542933308	56.9171031152	35.4859473054	43.7891445513	59.3753809198	60.6047671462	38.5597273627	48.8186332697	35.8329566222	58.37002131	50.545707333	40.2847975486	35.0140714753	45.5503690233	45.7822113616	45.3807830532	69.1589444631	65.5835599933	62.6745684861	55.5213736836	48.5757459474
60.9978102497	29.9907134687	90.3124531138	53.3375413324	49.7757782617	46.7732929674	43.0754576957	38.3040822887	66.5282162219	62.1028860926	48.5010774387	59.3223439087	48.3754883059	47.7189132622	57.1611976647	60.9776044616	67.4040080703	44.3461760037	56.4942670972	47.889686648	52.263953198	62.8963135248	41.4536311723	40.5339192428	31.6313538917	55.9433046533	46.3914464058	45.9306274647
54.0742900525	34.5410952965	53.3375413324	90.3124531138	47.4487628137	43.1198435232	47.3664073017	42.7485927362	56.4584774658	62.8070459118	52.418448338	54.6221773106	40.8297602386	41.5565068367	44.2690345094	44.732463435	55.8579414632	28.4583482359	63.2527971314	47.0402305423	56.1904348738	66.3663772682	52.7337597345	39.7104525931	33.2536911804	52.047114231	54.7450031472	60.9118699657
30.2121795261	30.5084829119	49.7757782617	47.4487628137	90.3124531138	41.771499532	40.8230902388	44.7391439553	54.3966238497	45.1238439787	34.1415113641	51.8861615893	42.8031314295	33.7803745751	42.587072953	43.5175318073	50.9294704295	30.5169199183	48.984302509	21.6678348823	64.6213675581	35.6488289545	57.0521132058	42.4524587396	50.3294827786	61.3699535979	50.1750335035	39.1390490538
45.8774779585	70.0175139716	46.7732929674	43.1198435232	41.771499532	90.3124531138	84.7957105358	79.0717205791	74.0460961943	50.4698582323	44.4172904409	75.2365547076	61.9223839352	39.3849256979	57.0591452687	50.7228039018	74.3581353821	53.6452550926	52.0536939877	40.7963616034	61.5866407407	53.6280193593	57.3437152922	60.7347840808	62.2782092083	77.4159540601	72.3981201812	57.0616116704
42.7732186817	74.5231226486	43.0754576957	47.3664073017	40.8230902388	84.7957105358	90.3124531138	85.4491343235	70.267328142	49.6809937958	38.8939346757	70.1747429985	64.1229908036	35.0575183173	54.8479101143	44.7033452152	70.2399003939	51.1372400622	51.0873286202	32.3709750698	66.1329390593	52.8767416384	60.1582035422	66.4628190603	68.9226696308	76.9750301869	71.3280248389	59.6516450807
35.6916269803	77.4542933308	38.3040822887	42.7485927362	44.7391439553	79.0717205791	85.4491343235	90.3124531138	65.1912690114	44.4620360488	35.4309815198	63.5208928942	65.422188492	29.1916359249	53.2612652927	39.3725747411	63.5497508522	48.0254297512	43.4109307997	29.1049993218	61.3971147542	43.8365897745	53.6257045807	72.1684840494	77.7439004426	74.4907375492	61.8011067629	54.9609265473
63.3814197273	56.9171031152	66.5282162219	56.4584774658	54.3966238497	74.0460961943	70.267328142	65.1912690114	90.3124531138	58.2290100996	55.7469530338	79.5517527912	67.8537707103	58.5391481274	69.1696761369	71.3664894523	84.5423635264	56.4305730279	62.3118458281	58.6162790641	64.2239093665	71.3508187816	60.9038260246	63.8098978875	56.4666689464	76.9222572175	71.7570913043	65.9790973565
63.4833458735	35.4859473054	62.1028860926	62.8070459118	45.1238439787	50.4698582323	49.6809937958	44.4620360488	58.2290100996	90.3124531138	42.9354168159	55.2891509626	37.8669225695	36.6160902884	42.745498871	43.0606808069	60.31656081	34.221298919	59.428699369	42.7827065859	47.2249199686	60.8468019939	42.167474639	34.2226217725	33.2094677844	53.118629391	50.5805868273	50.2516303834
52.8996042475	43.7891445513	48.5010774387	52.418448338	34.1415113641	44.4172904409	38.8939346757	35.4309815198	55.7469530338	42.9354168159	90.3124531138	59.460603452	40.3198336304	50.9065828136	49.0324887828	53.1269371756	60.8154149254	37.8098103333	55.496206752	70.2555101563	31.4811111363	66.4156629985	39.573484475	40.1416359791	23.7912572225	44.6876188438	47.4457276401	50.4828431318
52.684210187	59.3753809198	59.3223439087	54.6221773106	51.8861615893	75.2365547076	70.1747429985	63.5208928942	79.5517527912	55.2891509626	59.460603452	90.3124531138	64.1024145518	51.3892599057	65.569367064	65.0521690465	79.0646150794	54.9332757958	62.10372471	50.6801487652	66.7253780904	67.2179977436	64.2057449848	59.9310497947	56.9509760289	77.2357707083	77.515168436	63.3919181797
