Tissue	braincaudatebasalganglia
N_samples	98
Chr	11
Gene	ENSG00000050165.13
SNP	rs72857631
Gene_list	ENSG00000127585.7	ENSG00000088832.10	ENSG00000159335.11	ENSG00000111674.4	ENSG00000125869.5	ENSG00000132639.8	ENSG00000050165.13	ENSG00000110786.13	ENSG00000184702.13	ENSG00000076864.15	ENSG00000168490.9	ENSG00000180354.11	ENSG00000128245.10	ENSG00000166922.4	ENSG00000121905.5	ENSG00000172995.12	ENSG00000020129.11	ENSG00000131771.9	ENSG00000100097.7	ENSG00000183036.6	ENSG00000154277.8	ENSG00000140264.15	ENSG00000160014.12	ENSG00000143933.12	ENSG00000160307.5	ENSG00000164076.12	ENSG00000064787.8	ENSG00000128989.6	ENSG00000123360.7	ENSG00000115310.13	ENSG00000135404.7	ENSG00000108387.10	ENSG00000181195.6	ENSG00000087460.19	ENSG00000168309.12	ENSG00000139970.12	ENSG00000163630.6	ENSG00000014641.13	ENSG00000021300.9	ENSG00000156642.12	ENSG00000198668.6	ENSG00000006128.7	ENSG00000166925.4	ENSG00000164924.13	ENSG00000138814.12	ENSG00000120049.14	ENSG00000059915.12	ENSG00000163399.11	ENSG00000154096.9	ENSG00000155368.12	ENSG00000160781.11	ENSG00000248485.1	ENSG00000170091.6	ENSG00000128656.9	ENSG00000169220.13	ENSG00000156976.10	ENSG00000159176.9	ENSG00000187514.10	ENSG00000066248.10
Gene expression stats (Y^T * Y): 
90.3124531138	31.863718197	60.3097794913	54.1448628479	40.9234197705	64.6894627592	56.0460957064	73.6965902431	73.3603581678	67.0136213229	61.4863207831	-40.2450119533	35.5018044522	29.448133457	79.6709490226	68.1047618387	71.273639777	66.7646266086	-56.5315108439	57.8360597854	61.7260958326	-49.7685616802	73.6886990463	50.3764252887	-51.2560805487	52.0074545207	-31.4601304626	66.8138657538	73.8711980832	44.8797694361	-56.651858211	-29.5963585657	65.7479290521	-50.7939299902	-63.699058191	44.8059009064	44.7449567734	52.1296285073	-48.2019011194	59.3620808402	59.9436046588	57.5399269346	-43.5840630909	54.7572912845	52.4710727912	54.0093395143	66.4672945839	59.0511352723	73.1493570866	-56.6848186352	-22.6143944351	73.1112751023	64.6370634528	52.3455061656	84.8027779354	42.9791168784	-47.466598367	-37.2529351407	76.3031616905
31.863718197	90.3124531138	48.1369759045	60.4460207287	57.8284141059	48.4698524032	69.5505693963	56.3827815523	42.208559441	46.0916512682	59.7521426477	-40.3422328276	52.8707031842	43.1963268831	49.741833967	55.9176875182	57.5574831482	49.6471349212	-42.2326087621	55.7582062897	61.2499584927	-40.8225608853	57.0030131492	39.4010497074	-49.7053302239	63.059976428	-45.7335784095	49.8053462811	34.5723399564	37.609030844	-30.4572666932	-53.5556593574	42.7659612861	-47.4650015334	-31.310651161	57.7183308247	60.2427262833	48.2598494846	-58.0316837726	41.9957669542	48.787347762	26.0763007928	-55.3072259115	47.3855793697	38.7395729166	57.7690032584	44.1770826321	55.6687993446	45.5845605176	-39.8750521702	-58.6840277114	61.1992163019	61.6779061142	59.7974292801	31.2402775256	51.9687854093	-44.3593331346	-41.3060109489	39.508929806
60.3097794913	48.1369759045	90.3124531138	66.3092422774	41.6158876042	48.5322858418	54.491719278	63.6675489503	66.407139056	56.8409452768	68.4391827984	-49.1587634624	43.6177430987	26.110498074	65.0596999266	48.0526490579	68.3742959593	56.1286120435	-33.4919093128	51.1960187443	63.6923707707	-28.0850611771	67.5830160675	28.8485162595	-43.114085213	56.9284573811	-41.1848577394	45.584249217	55.828259104	25.0874336989	-31.2725777824	-46.1518579726	53.3291603866	-43.2008662578	-48.0187597372	40.879529168	34.9715570722	37.8462691225	-46.9630341875	33.3074484916	42.680442699	42.4642988737	-39.57243927	39.8529967901	24.2739153984	53.3588570407	62.2210335886	58.3283115144	61.6764364396	-41.7134087894	-35.3326069253	61.1517976994	61.9991485225	43.6318767816	57.8421923422	27.3983802404	-36.9528656045	-33.4420680292	57.8178360151
54.1448628479	60.4460207287	66.3092422774	90.3124531138	48.3104537167	62.0451559352	73.8858429325	72.1421601011	60.1945933615	66.6292448448	78.0090962811	-52.440695801	56.6356693689	55.8400476812	68.6962775931	62.0492354359	72.0275032842	67.6927860416	-53.1401774681	64.2415228031	75.953857964	-52.5859044338	71.0423959902	50.0816557062	-62.0958082513	70.9870606699	-46.9542265243	57.983686085	62.6613292947	43.1196030984	-48.6444605408	-43.9403280471	56.1508356322	-58.2426453851	-53.6916283118	61.4271495456	53.4737423851	60.285573648	-62.0280784462	54.2558376458	52.5856045323	49.6160893682	-56.4577213543	55.7062765294	47.1763417179	72.4081830019	56.5916485666	68.7289003401	62.503666501	-56.5926059682	-51.8526332845	65.2272072123	74.2879020284	63.577312789	58.8713126507	49.7267935647	-53.0962942222	-44.5516022894	62.1445177526
40.9234197705	57.8284141059	41.6158876042	48.3104537167	90.3124531138	45.2260864319	58.9928660251	62.7996425896	52.8550817675	56.8965864219	51.8348750646	-44.7982774571	30.8154051288	45.1772387738	45.4870105282	63.7244297581	66.0877726334	35.9891005502	-48.1238724953	47.8313521251	57.0541948221	-41.086347528	56.9442273425	41.4932101014	-29.3785783313	62.911993133	-45.7308008713	54.9781253388	51.1778350449	34.1364808831	-42.2712339321	-43.9617014275	62.0845144701	-58.7775431356	-36.5454407486	49.0400410034	62.4410833993	44.9782367477	-50.1691163633	34.2736494216	49.1384837675	39.171101045	-38.8904483444	54.9569791477	41.0085489405	44.7247519975	50.0603394906	52.9776729186	54.5210582607	-42.2989004897	-29.7722356464	58.8332212055	65.683621804	48.1986797862	38.1443866445	38.6641113952	-34.0319538092	-39.4457629893	45.820602894
64.6894627592	48.4698524032	48.5322858418	62.0451559352	45.2260864319	90.3124531138	72.777778635	64.3823166304	63.1837512308	51.9787420108	49.9880895416	-40.1587558553	64.913429006	48.2908931846	69.7812544696	77.2416656876	60.7253315733	62.945547244	-65.8205693272	68.2616836812	78.8620796986	-58.1466772503	78.436954607	76.1195441827	-60.5758877408	47.3557361575	-39.2073947577	79.9622635725	61.8194306289	68.2582320346	-65.0674162211	-39.5997143719	69.8220515517	-46.5418488735	-65.4095256418	72.3842111941	62.2492150587	80.5236860929	-61.8563001442	70.340821168	75.9477667543	68.50843757	-63.9783456299	77.773479061	57.4287323924	50.0916226613	48.3118884863	64.3967080517	71.3499656159	-51.0950137114	-39.7300890782	74.4226407975	71.134886061	76.1970529967	60.1370669635	69.5331806099	-62.5473186526	-44.7810837701	61.4976916458
56.0460957064	69.5505693963	54.491719278	73.8858429325	58.9928660251	72.777778635	90.3124531138	72.8435195443	62.2529607315	61.4883963201	69.2103107758	-55.6767579982	61.321588031	58.8341831659	73.3189469943	76.2078441095	72.8829341219	68.9995307054	-57.8121137525	71.5795390236	80.7182158571	-60.1083771405	76.5906093508	65.1096164474	-59.950334216	70.1399040783	-55.1902270593	73.9620326477	63.9872854263	56.0363045018	-56.1260973578	-57.0144296904	66.7319033611	-65.4342865314	-56.1047971337	68.0368429014	68.7053093195	71.2635478602	-70.9637546545	64.5805994998	67.2385486158	57.0839885213	-61.522184811	69.1075543357	63.1067541801	63.2136634003	54.3082222098	69.2223568859	68.8173552178	-57.4864059017	-60.4947457277	74.5026493606	81.6381582821	78.0517592246	57.6090687736	64.7794274465	-58.1722816426	-57.627842782	63.5531566798
73.6965902431	56.3827815523	63.6675489503	72.1421601011	62.7996425896	64.3823166304	72.8435195443	90.3124531138	74.2802474268	78.674862369	76.6939338316	-51.3368050225	36.2819432792	43.1469323476	79.1898450835	76.4479015676	84.425237741	65.8616982886	-60.9996440945	63.6687538188	71.4739515398	-56.6058792599	78.4355205844	52.873875081	-55.7876377737	76.3332707058	-46.1434841156	70.8441991937	78.1505823658	44.715621681	-58.4363054876	-42.5271391495	70.3648593289	-70.3665872365	-61.4221951855	57.4044038045	54.5689106882	58.1262161941	-60.6637656863	60.9983594892	61.0978929474	55.6439520456	-49.237505615	60.7845152307	55.271469132	69.2750104332	68.7090683113	71.1280800878	77.6985802419	-62.7379145318	-38.3001730393	77.9972505559	79.3475240009	62.2365131122	76.2868416548	47.8404164163	-49.8583579223	-45.3290489319	78.7902227913
73.3603581678	42.208559441	66.407139056	60.1945933615	52.8550817675	63.1837512308	62.2529607315	74.2802474268	90.3124531138	67.4086882561	69.1596156524	-44.4614397252	42.6862762273	21.6699338748	72.0843810676	67.5369076501	79.1431155369	56.2519169846	-47.3344680868	52.4398114084	66.9404719574	-43.9882238626	81.4326591568	48.284964146	-39.2496235325	66.0294689622	-40.6022836601	70.0208725195	67.9456350933	39.4835832044	-58.2767932313	-41.3932449178	64.3818845836	-60.283223374	-52.0442249795	47.1412010002	48.460540682	48.7785929393	-49.3714734774	49.0544414304	65.1180724895	51.6265943729	-40.7993415024	55.8346915118	42.1400130167	59.3369006757	78.0350659089	57.2656265253	78.4118167129	-56.4283882266	-25.120768345	67.7490826782	69.2253718241	58.3628209713	72.4666687305	44.7589057381	-47.1102880133	-54.8253723215	68.7978368239
67.0136213229	46.0916512682	56.8409452768	66.6292448448	56.8965864219	51.9787420108	61.4883963201	78.674862369	67.4086882561	90.3124531138	71.452229218	-49.6377713351	29.9047531092	39.9854371056	67.1406301165	68.4494704974	77.7571875303	58.8407990953	-59.1239976571	54.078264726	63.2223492377	-54.0267396812	65.4235142685	43.8976165298	-52.4714382424	74.7583553356	-41.3035557239	61.3574430371	71.6321031076	35.5493138517	-53.1331785381	-36.3937784267	64.0193185468	-62.3745758963	-57.7608305016	51.4431091498	55.719279061	48.3212039977	-54.3819415354	52.4988181781	49.3301389861	48.3220835596	-44.364096152	54.4522679454	54.6400518172	69.3368061589	63.2359715774	61.9221308038	68.2156575602	-62.9480361763	-34.2478991373	66.4000863145	71.2027388474	47.4330976949	69.4040678153	34.7132033944	-43.0124849733	-33.423448359	73.499151152
