Tissue	braincaudatebasalganglia
N_samples	98
Chr	20
Gene	ENSG00000064787.8
SNP	rs6068726
Gene_list	ENSG00000129250.7	ENSG00000050165.13	ENSG00000151552.7	ENSG00000129538.9	ENSG00000150867.9	ENSG00000204655.7	ENSG00000180354.11	ENSG00000184007.13	ENSG00000078804.8	ENSG00000184221.8	ENSG00000165410.10	ENSG00000105695.10	ENSG00000122545.13	ENSG00000167641.6	ENSG00000168314.13	ENSG00000146122.12	ENSG00000173786.12	ENSG00000154277.8	ENSG00000244274.3	ENSG00000047849.17	ENSG00000064787.8	ENSG00000108387.10	ENSG00000176485.6	ENSG00000135720.8	ENSG00000150656.10	ENSG00000021300.9	ENSG00000197971.10	ENSG00000080822.12	ENSG00000099194.5	ENSG00000071054.11	ENSG00000198121.9	ENSG00000187164.13	ENSG00000149557.8	ENSG00000107902.9	ENSG00000164402.9	ENSG00000091513.10	ENSG00000126878.8	ENSG00000104419.10	ENSG00000064393.11	ENSG00000113578.13	ENSG00000169554.12	ENSG00000160781.11	ENSG00000132702.8	ENSG00000136541.10	ENSG00000144283.17	ENSG00000170091.6	ENSG00000189058.4
Gene expression stats (Y^T * Y): 
90.3124531138	-51.7233434817	63.1814788522	49.5076146871	50.6494282361	47.2960667932	83.2689342271	70.4759304068	76.3315369014	56.7540929261	44.4197952912	38.9903432484	50.7610998463	45.875640713	71.4756725196	62.1994585337	49.421003854	-52.6667774837	58.0958390982	68.5788738268	82.823804632	70.2025126655	49.1005902507	70.1625713463	49.1271595812	63.2725773262	69.7671447968	57.3158628977	48.9974829089	72.4771891435	78.399849935	68.4077291187	64.1342105853	53.7092449402	58.8104571553	45.2778032144	62.8251846804	66.5874787252	69.5197316289	61.9879710322	51.5618562777	63.5235530703	44.184073651	56.652282244	68.7623527954	-51.4148812458	47.7630477219
-51.7233434817	90.3124531138	-46.5908695575	-42.8309710013	-19.4849044191	-35.2169388122	-55.6767579982	-32.9211368468	-46.0448366652	-53.8769094145	-23.8050540256	-31.8845147654	-38.2752037458	-31.7565385356	-52.6612791868	-27.4295238917	-47.7631082921	80.7182158571	-47.2690041264	-46.5068142982	-55.1902270593	-57.0144296904	-32.9460539167	-26.2634987101	-26.4097794234	-70.9637546545	-42.199375595	-49.6045460804	-39.8077193403	-39.71732475	-41.4418563051	-24.5800148781	-49.9791339789	-33.475055723	-24.6753902179	-38.0537172627	-26.0621036233	-53.2325218653	-22.8589917281	-37.1772339045	-15.746519909	-60.4947457277	-31.4629246492	-30.1025732226	-16.7753096043	81.6381582821	-51.6094592348
63.1814788522	-46.5908695575	90.3124531138	75.5831493373	64.5419756183	70.092217177	61.1213397621	61.7042866678	54.7012749109	55.7143656532	58.5654732192	69.4463809396	55.0533229837	70.3528895965	64.4912296049	50.308508402	70.004962763	-41.9080875669	78.9218731352	37.5202203309	71.7298583035	70.9930989253	62.0371828929	47.6000544646	77.3751131321	58.7517645374	66.539304292	67.7813886538	52.1092939585	54.7354298044	60.7304152554	56.5549373126	74.4773057617	55.7786731169	66.9471486037	71.1642745211	57.3711770472	68.2672634395	39.65450661	43.8355888527	34.7181246122	50.5740539745	61.9952368172	66.318731841	49.6814272636	-46.18484425	60.4367629655
49.5076146871	-42.8309710013	75.5831493373	90.3124531138	70.7617253763	82.2395457488	50.1815596007	52.3843627607	49.8365458667	58.7213934562	64.7890751631	79.614084963	52.5797117848	77.7476321431	64.5469224333	50.8984607963	80.8925479838	-37.4716824465	83.8387955021	20.6043190341	62.3215615649	73.4896392239	72.5913113429	42.0287610364	73.1221980349	50.1204977024	61.9632502694	71.1523652779	58.7043695719	48.2188228601	57.217817005	59.4505800573	71.622069529	55.6784541677	65.7957806696	81.050246207	54.7410453152	64.4066634304	32.0038028897	44.1008105972	40.4936685433	50.8910073284	66.0136290236	74.42152866	43.8562246595	-36.7249987738	69.0443169016
50.6494282361	-19.4849044191	64.5419756183	70.7617253763	90.3124531138	74.9905528108	55.2793055952	58.9459692563	47.9050346008	45.5003240049	65.6461876501	67.0492169207	53.3738746759	63.7117504092	64.4632912033	48.7472630949	69.4249139165	-20.8811949944	73.2989797743	22.6898691834	62.348119866	66.1307458915	69.1993285738	52.8169251103	65.2741437289	34.5595879974	67.6432682086	73.8390358541	53.5421638492	54.2815785216	58.6215976366	69.0576966817	52.1513814923	51.7462862607	65.5617737027	70.1635151236	47.3513635006	67.3998976887	41.4333267031	41.6454227874	49.8440107111	35.8292060745	69.3490186924	76.6250063965	53.2613381863	-20.5795377758	61.5064639662
47.2960667932	-35.2169388122	70.092217177	82.2395457488	74.9905528108	90.3124531138	49.6938095412	57.5596990128	50.8158463249	48.5698215415	69.5893951252	82.1863315257	53.139960947	76.3827683096	66.7375836682	57.4147578894	81.9650458077	-32.6144513836	83.3063057981	21.5326570586	61.1796634745	71.037603873	73.8267174031	51.9341076741	74.8282301364	41.5579146449	63.6496636754	75.0401539487	64.4399894803	55.2249039143	57.8799047135	63.0709252724	63.6269687581	57.359530473	73.6519865686	83.7192316132	55.5613625714	65.8931731946	39.0830849636	48.2078025674	45.9697077364	44.8986392285	70.2625956294	76.507596415	49.9446711108	-30.3702434809	60.1835570082
83.2689342271	-55.6767579982	61.1213397621	50.1815596007	55.2793055952	49.6938095412	90.3124531138	74.2779679895	73.8908925706	59.2876387656	47.6778919756	39.1954920872	60.9574818692	42.1782729247	80.0510538672	59.271662207	54.4827568556	-57.9276822303	60.1281804723	68.4617581252	84.6415733473	73.8692443798	52.7843217697	70.1751996784	45.5131483139	64.3294810743	73.7097283084	67.2851909946	58.3811445907	71.509891378	77.9307305786	68.8474185681	62.5984215416	52.6623779229	55.2501435565	48.283645169	61.4736779149	70.055155961	66.0019241213	66.0882567902	51.8423101664	63.8222257029	47.1108176833	60.6852780336	64.418618758	-59.0769550751	54.3579710323
70.4759304068	-32.9211368468	61.7042866678	52.3843627607	58.9459692563	57.5596990128	74.2779679895	90.3124531138	69.9161628464	48.2976081668	60.4643788235	42.2998284209	64.470733674	50.3726617859	74.3155409146	64.1596296691	52.5948506278	-31.2695177419	59.355633504	52.9703425895	72.5558091007	63.9798162211	57.7071361288	77.7899693306	57.0790581886	47.851411335	67.7642048012	63.7452532514	64.1622344177	76.1232197831	74.1131346663	73.8360949769	61.4454996833	54.7262026532	65.4035263231	54.6646879214	71.5063606603	58.1691289942	67.686984451	70.8484732816	60.034001382	48.3013016338	40.3516758253	69.253449916	69.2190988129	-32.2453886585	39.9502183368
76.3315369014	-46.0448366652	54.7012749109	49.8365458667	47.9050346008	50.8158463249	73.8908925706	69.9161628464	90.3124531138	58.7816999895	52.1466216109	42.9915620145	55.4389949348	50.9855365314	75.7265969001	69.2600607187	53.0480175308	-40.7763521204	55.796144073	67.5685960151	76.0236071925	69.1721733211	54.5454227138	71.9589792235	50.5873083632	54.1140261361	65.9199541838	53.5628401152	62.6919033912	74.0419162989	80.8162714015	71.5238733773	62.6510044657	58.5696256086	54.4221401981	44.4517464309	70.5563670196	57.1892533055	76.4173947523	68.5000301987	66.0540438179	70.67728748	40.4978519523	60.7259387816	71.8196212224	-36.8666067326	35.6510148499
56.7540929261	-53.8769094145	55.7143656532	58.7213934562	45.5003240049	48.5698215415	59.2876387656	48.2976081668	58.7816999895	90.3124531138	43.0371682459	49.8452479341	57.5927763735	58.0641017105	62.2204706785	45.1823834355	59.5316900495	-48.0064171939	58.970967226	36.1863412032	64.9465244391	68.2927680636	53.9323942631	43.8093497074	44.5732863295	63.380395496	50.9467909294	50.9909684243	50.204032792	44.0716704078	62.5088622486	54.448867352	64.2726330063	53.8619236514	36.2644683107	46.9010455884	51.3504940173	50.153824225	41.3272795651	45.3057986612	46.1508227771	66.9120629104	46.2526002654	57.857798871	42.1365561277	-41.6705743925	51.8693224126
