Tissue	braincaudatebasalganglia
N_samples	98
Chr	16
Gene	ENSG00000167526.9
SNP	rs11646741
Gene_list	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000103363.10	ENSG00000171863.8	ENSG00000130255.8	ENSG00000174886.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000105640.8	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000142676.8	ENSG00000198242.9	ENSG00000198832.6	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100097.7	ENSG00000168028.9	ENSG00000100316.11	ENSG00000105193.4	ENSG00000145592.9	ENSG00000131469.8	ENSG00000105372.2	ENSG00000140264.15	ENSG00000142937.7	ENSG00000265681.2	ENSG00000178980.10	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000162244.6	ENSG00000123349.9	ENSG00000170889.9	ENSG00000108107.8	ENSG00000229117.4	ENSG00000083845.4	ENSG00000171858.13	ENSG00000149806.6	ENSG00000084207.11	ENSG00000137818.7	ENSG00000172809.8	ENSG00000149273.10	ENSG00000167526.9	ENSG00000114391.8	ENSG00000109475.12	ENSG00000118181.6	ENSG00000136942.10	ENSG00000197958.8	ENSG00000152082.9	ENSG00000112306.7	ENSG00000148303.12	ENSG00000104529.13	ENSG00000161016.11	ENSG00000164587.7	ENSG00000182899.10	ENSG00000172428.6
Gene expression stats (Y^T * Y): 
90.3124531138	69.2145527655	66.4542625355	51.6040887927	57.1032882759	71.0033440142	35.7003275904	55.1496074335	55.9905931183	64.8481868833	69.2162830541	43.3098454627	55.4173473923	62.9680267736	65.9947945924	29.1197332988	56.4741117011	65.5622290389	43.3837454646	54.3829665643	67.6462247424	55.1261538158	55.7621076601	52.2137539014	70.6515976768	65.7223764157	57.9445366377	73.8393425415	60.6128161781	61.079098184	50.3503126614	49.4752400588	60.9621880326	74.3588586995	62.3023211086	49.7613965028	57.3382644555	49.3268310061	71.2711990978	64.7723992382	55.8109462988	58.5308172646	67.7598746969	76.095963998	53.8011047716	72.1129981474	69.5740060309	66.088997909	63.267907559	47.4551667149	48.1281116065	43.104973345	59.713196427	49.3825601881	57.3022772713	54.5288726953	56.0024843732	65.8553390819	68.9303711009	64.5709207312	46.2328755919	45.8692283817
69.2145527655	90.3124531138	69.5973184951	59.1271871898	67.465740874	84.2028340905	53.8552112778	72.6676614083	67.153414422	80.9880974837	72.7622356226	59.1544743865	64.9725021491	69.4672264471	70.3776162527	59.8001349209	64.2767525759	77.9046251226	56.9404024603	57.1929395938	76.289020687	63.0562121719	63.6623211177	57.9750667579	78.4263322339	66.1736345053	71.6075512516	79.8046202606	69.1958823616	72.8518192337	62.2787281836	65.867711373	82.7435947166	75.6429663273	70.1473033079	61.1278800327	76.7502821896	62.8512721789	77.5592712228	80.3358117406	63.3504197243	77.7599970314	73.0764133772	77.1582633692	61.5256578644	78.9776450736	76.8838440445	72.6528799452	82.3120084437	62.2505188456	60.2417637273	60.568498701	83.0835677378	63.9185778799	69.3741225393	65.1232454675	61.8360618995	59.5209826429	75.122100124	69.2317819787	57.1835251763	61.724390384
66.4542625355	69.5973184951	90.3124531138	44.4358163645	56.2261786208	70.8416910057	29.7970060018	57.4007020542	56.4428281448	72.8782635391	62.3439502406	49.3427815059	56.4581296661	61.7908650619	56.7750132483	42.1928532991	60.3338802627	66.5067990369	51.0369512652	57.599107305	66.4112048683	61.5844287394	55.8459878633	53.9531445157	76.4245632581	59.0072106402	57.7274537994	75.8126827914	53.9402907125	63.4289127214	61.5183173872	40.4571319434	68.629058165	78.8633144639	60.8860552329	45.361956064	67.1955730294	46.7757070742	63.5580941445	70.69820445	61.4878426653	67.8468583825	52.8824074654	68.2896702392	60.4049178929	69.6691188003	59.4751539561	66.8884723806	66.9406545372	48.7705042587	43.0894282467	44.713025872	64.546461594	56.3509081249	49.4139659855	52.2692451244	66.3803965765	57.5492649227	75.0127988487	63.2099652215	44.0881173466	51.6730068678
51.6040887927	59.1271871898	44.4358163645	90.3124531138	45.8055615685	60.0288127854	60.9663174198	51.5639460657	48.6841999645	52.2075473525	54.4982906663	26.8780009032	30.891758708	40.5454049348	44.0647279635	46.3440170987	44.0000752834	52.2130552471	41.0418804174	35.3215397601	51.0437956062	31.7081519669	50.730643009	44.1052316416	47.826711596	43.4073119804	50.4152746114	53.2549858281	41.0849655166	47.9275461657	36.0267983403	53.9714704773	50.5206615295	52.3950328553	44.7809997147	35.544173669	44.0082155161	55.6740087412	55.2054852422	47.0264949589	34.6040085471	55.6770675642	55.7271875545	64.6543630233	30.5637686131	54.3241461646	54.0575512579	45.9528496084	55.183015268	44.5782763078	45.5225901294	42.2649573927	55.5128892176	42.2653943481	65.2907765826	36.2219878863	45.3423695504	30.3079550337	47.3618753222	49.4913125933	41.4560741357	41.1728731131
57.1032882759	67.465740874	56.2261786208	45.8055615685	90.3124531138	67.7383664686	33.3580241549	73.5113885457	77.8265031002	64.4570384174	70.6947230134	75.6300045414	77.3672611287	77.5230680143	74.927933358	36.8783201134	71.4818685573	70.2950924935	66.9783693998	76.5452944971	79.6602030184	46.9369217918	54.4516208274	64.4354762174	69.3549197297	71.3923109745	76.8737743771	68.1831481195	51.2759656308	79.9914496715	71.2367664837	44.2506895534	66.4876332515	69.0187923887	73.6582906251	67.7454064005	72.469669643	74.5158906011	66.895838478	66.1133351939	67.4967884519	67.8158749784	66.229689937	57.4883158029	45.1917204794	58.6272018747	73.725123581	70.2600961702	63.7527817872	75.589374184	74.0611105864	73.4960263354	74.5514174212	70.7068300469	42.2403147938	69.8942851267	69.6451020088	47.7634297123	68.6982362916	63.5363920299	77.4974861628	48.8733047815
71.0033440142	84.2028340905	70.8416910057	60.0288127854	67.7383664686	90.3124531138	49.6307649204	73.0491969511	68.6457471571	78.715126136	73.4419844718	60.1515574885	66.2030493327	71.0274179139	71.5061825537	56.2266879156	68.9306766843	80.249801713	61.1356115559	62.6150979528	75.860443048	67.4910523867	66.9514366537	61.7053629665	76.3988428103	69.1142912416	74.0392538742	80.2559928162	67.093004545	73.4177007763	64.9360575272	65.4763092323	81.2836523734	77.2301135823	70.9091843481	63.2357227301	74.1551634351	64.6609065096	78.3232476248	79.483652574	69.7320491346	76.9159414147	73.3467121894	78.723518115	60.6495797192	79.1116553139	78.5829769061	71.9825927202	78.0244178005	62.8689667662	61.2136990398	59.651392313	82.0980973652	65.7948034034	69.6808761198	68.3166926582	65.4550115597	59.1097083804	79.625955839	71.696081956	59.5566964265	63.572852596
35.7003275904	53.8552112778	29.7970060018	60.9663174198	33.3580241549	49.6307649204	90.3124531138	42.2669351615	33.4948920418	51.8604577263	40.4053126831	16.7661259768	21.6277364679	31.8235147121	29.1511260299	60.6284769245	30.1869118501	39.4176950244	33.445519065	23.3601218326	40.0351544105	27.16946032	36.0423930347	33.4431512407	38.8213546281	19.7602220711	40.6594105404	40.0609257587	33.0426873612	38.839277958	19.3513340667	52.645298391	40.6191887219	35.5047714302	31.0969224734	29.5941446622	35.3847876341	38.6518897923	43.0403546604	39.6419650161	25.102828272	43.4173201342	47.1209922587	50.8859228294	27.7677227516	42.9242210868	43.5182151636	32.4717230927	56.4250625365	28.8508448297	31.9240037173	29.5250376614	49.6096304169	38.465275663	70.3117289528	26.1669656801	34.2222983384	23.4095042284	32.4379604143	30.9807759713	29.1479679134	36.1819882317
55.1496074335	72.6676614083	57.4007020542	51.5639460657	73.5113885457	73.0491969511	42.2669351615	90.3124531138	75.397510316	72.5866566727	68.9489540022	71.6721733149	74.8543555521	77.4437694416	70.3958348699	55.0992122591	71.9578711083	78.6329411832	68.9119466493	71.0426839153	78.1403867145	50.0630259466	60.7648413642	69.4099593654	67.0105441807	66.1517854547	79.2805227261	66.6362062252	46.4404071207	81.0397468328	73.8831708264	49.5886988745	74.647924804	68.9842902191	73.407322505	69.7109065646	74.322163056	80.0050420897	69.1016190005	70.8471023576	68.5867717789	72.0665276879	65.2668367347	62.6913135445	46.3194593999	64.0410068845	70.9600476752	67.9792222267	70.1143403652	75.4691961758	76.9526723637	76.8179112119	79.6789902915	73.6288315606	52.5679407101	72.9783626751	68.3052632974	49.4240848911	68.8235397442	66.9445645312	73.5745549325	58.7222741329
55.9905931183	67.153414422	56.4428281448	48.6841999645	77.8265031002	68.6457471571	33.4948920418	75.397510316	90.3124531138	68.3494531229	79.5601756377	75.9577013569	76.1410653256	79.8876561653	78.4244087106	32.4795185366	72.0323147569	76.0790792721	78.8209617832	76.3142160062	81.7720581001	40.5502822322	64.0002055782	72.9308201711	68.4150466963	75.4957245719	78.7216881398	66.6526180137	45.6043849243	79.4763569094	75.7236566995	47.6882239983	70.6279267601	71.9759785852	81.4424262917	74.0040106846	74.4898105264	78.7778755588	67.0142964621	69.5853166916	72.1670020987	75.0463667245	71.4893861754	62.7741671111	36.7409557501	53.4826398513	75.6112397313	71.570471421	63.4335324062	79.7272373054	75.047240014	73.6032960531	73.474002783	69.8352007132	42.0407422656	75.5123669398	73.6532617848	46.5725621724	72.1384593996	70.0182188849	77.9614694374	53.0341894349
64.8481868833	80.9880974837	72.8782635391	52.2075473525	64.4570384174	78.715126136	51.8604577263	72.5866566727	68.3494531229	90.3124531138	74.1137590034	61.4644010558	64.0636008788	70.7857588168	69.5367353288	58.1893508598	68.1012508896	78.5095707399	64.9399254415	64.9519264423	75.994985556	57.4169280842	63.5341324199	65.3344935285	81.0474435378	65.6155830584	72.2156629722	77.3432995946	55.7846160861	74.8959470065	66.7755436217	52.6036104387	77.5803896388	77.2364412964	74.4451243398	64.3393398928	73.8242519106	60.3050410854	71.014305759	78.2076771908	68.2080261859	80.8960825843	70.5987342629	73.2456695994	58.5008102329	73.6505322414	72.5984525776	75.8617957332	78.0625201312	61.8234550444	56.6163782411	60.2191833911	77.7612491698	64.3083931406	63.0138187694	67.0201390794	71.7315108021	56.3911717704	75.1610691221	68.1469508689	58.5007511657	58.5552439621
