Tissue	braincaudatebasalganglia
N_samples	98
Chr	1
Gene	ENSG00000122406.8
SNP	rs1182641
Gene_list	ENSG00000168993.10	ENSG00000171863.8	ENSG00000116251.5	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000174748.14	ENSG00000142676.8	ENSG00000198242.9	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000100302.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100379.13	ENSG00000100129.13	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000058404.15	ENSG00000142937.7	ENSG00000265681.2	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000165502.6	ENSG00000162244.6	ENSG00000123349.9	ENSG00000143947.8	ENSG00000087258.9	ENSG00000229117.4	ENSG00000008988.5	ENSG00000196531.6	ENSG00000083845.4	ENSG00000174444.10	ENSG00000145741.11	ENSG00000147604.9	ENSG00000149273.10	ENSG00000138326.14	ENSG00000186468.8	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000104408.5	ENSG00000109475.12	ENSG00000089009.11	ENSG00000118181.6	ENSG00000089157.11	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000164587.7	ENSG00000145425.5	ENSG00000204628.7	ENSG00000182899.10	ENSG00000114942.9
Gene expression stats (Y^T * Y): 
90.3124531138	-31.3001388686	-34.8178244902	-45.9798531363	-29.1902588994	-32.6144395591	-51.2214531965	-22.8093297377	-51.8317463525	-43.2900119593	-45.3982943638	-39.0260063745	-34.6158315693	-29.4743587743	-29.5425757776	-37.9168640691	64.3257818244	-47.9229515885	-27.5486625394	64.1337211788	-26.5787601869	-38.227963295	-23.3226212532	-29.9318134551	-37.9543097272	-33.7708032285	56.63436779	-35.4265125879	-44.0248923685	-20.1087856435	-38.7952271488	-41.2887824805	-21.1689759539	-20.4677206982	-29.5329891118	-44.0750228289	47.4716353756	-43.6131425164	-43.613166844	-39.8725437195	-23.1591516561	-36.0969242213	-44.4660309413	-58.1056303695	-32.1470992384	-52.0907093354	-41.9366981841	-54.2667155385	-50.3967036764	-38.2136913149	-35.5984666876	-34.3741215638	-42.3841667938	-39.7627977328	-38.0825763212	-23.9586281651	-40.9248683161	-31.1213965628	-29.2042785267	-29.6256410889	-57.3426007456	-43.0641441901	-39.8589814073	-37.9831394427
-31.3001388686	90.3124531138	52.0341659215	68.089001811	73.5113885457	77.8265031002	67.6512250613	70.6947230134	75.6300045414	77.3672611287	51.8008374626	77.5230680143	74.927933358	71.4818685573	70.2950924935	66.9783693998	-55.6091758513	76.5452944971	79.6602030184	-44.6132049386	44.793506166	64.4354762174	69.3549197297	70.149791979	71.3923109745	76.8737743771	-57.2725562387	79.9914496715	71.2367664837	69.0187923887	73.6582906251	67.7454064005	56.3593705058	72.469669643	74.5158906011	71.3700478525	-47.8963048459	67.4967884519	71.665438707	72.310459627	67.8158749784	62.6884489112	60.7487499831	62.9330261923	70.2600961702	75.4782810465	68.8809382619	71.7376711825	72.9422468154	75.589374184	53.035334223	74.0611105864	70.24420657	73.4960263354	57.781648185	70.7068300469	69.8942851267	69.6451020088	68.6982362916	63.5363920299	68.9095470655	54.1562837464	77.4974861628	57.2997066555
-34.8178244902	52.0341659215	90.3124531138	64.5726627731	43.7965083107	57.9612850502	55.9743519021	53.4083128816	50.7663082791	52.8245889665	49.8644571865	60.2150676375	61.6659680684	56.1377274768	49.4887317968	56.4451126751	-45.1076806919	61.3523551506	50.7537980873	-36.6935255723	42.4275068422	53.7507757058	41.725176321	48.1815067141	55.5139072812	52.5403551281	-41.1815367524	52.1007975119	51.1633260739	44.43327576	52.3934490147	55.4095289051	60.7295816313	36.2864319549	49.9575232992	66.1977092258	-34.7091619257	57.509458787	50.0101768433	54.7262911027	44.1887523847	56.6965042465	49.6714619818	66.427405336	44.2836302061	53.3336166301	57.0042478016	61.0787642905	62.5786454651	49.5772613379	36.6195246532	44.9672768641	56.5931552155	44.3177408297	33.8378323738	40.1370785612	59.0092398345	54.5413005161	41.5887466654	44.6225757871	61.5927171075	36.9206142305	52.3693311784	64.4319679204
-45.9798531363	68.089001811	64.5726627731	90.3124531138	63.3804796912	72.3988881463	77.4843433098	61.9228946389	72.2896542718	67.7315460681	64.0549064383	73.8315870141	64.7254392441	61.335941488	58.9876243411	72.787992844	-56.5519327927	72.3873111122	64.5913375586	-48.7346039861	46.4798664756	58.3550444273	46.5129783527	60.6261169297	59.722545222	71.3823481008	-55.6660697627	71.828548565	67.1507431792	47.2064008627	63.5979713101	73.2554244829	58.5603475814	52.414950743	71.7382430763	80.3099091134	-52.9969021311	63.5430625344	70.0156496294	79.6168226155	55.119431899	67.3737343201	66.8659453007	81.4294721946	48.8405799322	76.3053089825	66.3514863376	75.0927731187	79.9770530733	73.2355011652	56.7178284496	71.233677626	79.9428481908	71.3742964679	44.5234810545	59.9469807276	70.1953854894	59.6142525826	45.4965477325	49.0638143841	80.8568641792	45.5655782061	73.8089581556	72.7227820703
-29.1902588994	73.5113885457	43.7965083107	63.3804796912	90.3124531138	75.397510316	64.1628642315	68.9489540022	71.6721733149	74.8543555521	48.2074573971	77.4437694416	70.3958348699	71.9578711083	78.6329411832	68.9119466493	-58.4727065344	71.0426839153	78.1403867145	-43.833186352	36.9835287419	69.4099593654	67.0105441807	65.4723958621	66.1517854547	79.2805227261	-58.1756231916	81.0397468328	73.8831708264	68.9842902191	73.407322505	69.7109065646	49.9117028919	74.322163056	80.0050420897	69.4279396405	-57.7745200311	68.5867717789	68.3351299	66.337065152	72.0665276879	53.6527562955	54.5542425941	55.726754937	67.9792222267	74.7755071131	62.6751688459	68.4254347531	72.8722445892	75.4691961758	45.3183365382	76.9526723637	62.1030932722	76.8179112119	62.7404653902	73.6288315606	72.9783626751	68.3052632974	68.8235397442	66.9445645312	67.0788735241	51.6560294438	73.5745549325	56.9174967141
-32.6144395591	77.8265031002	57.9612850502	72.3988881463	75.397510316	90.3124531138	71.1358249136	79.5601756377	75.9577013569	76.1410653256	59.1073132911	79.8876561653	78.4244087106	72.0323147569	76.0790792721	78.8209617832	-62.5037037999	76.3142160062	81.7720581001	-50.5565779764	54.515608588	72.9308201711	68.4150466963	71.9991119888	75.4957245719	78.7216881398	-59.1889728663	79.4763569094	75.7236566995	71.9759785852	81.4424262917	74.0040106846	55.1322771321	74.4898105264	78.7778755588	78.0732502415	-55.9596680798	72.1670020987	74.4160030533	70.2241013942	75.0463667245	73.5098047337	55.5399534858	69.0486765628	71.570471421	76.1893584412	72.0899054626	71.9857304497	77.9852961739	79.7272373054	52.6074251456	75.047240014	75.4684137417	73.6032960531	59.05787255	69.8352007132	75.5123669398	73.6532617848	72.1384593996	70.0182188849	71.3151213557	59.7286236264	77.9614694374	58.2592610235
-51.2214531965	67.6512250613	55.9743519021	77.4843433098	64.1628642315	71.1358249136	90.3124531138	63.2836385922	81.1459159734	67.6207045752	66.5869940631	74.3406874816	68.2997492083	59.9518896901	65.9417676345	68.5726843202	-58.2497393046	68.9194685758	66.1420808998	-50.6920582074	36.1290567123	51.69220585	56.0595923288	52.9272803397	62.3524521053	74.7952404521	-57.4334328838	70.0377794635	63.8605245929	46.2936513658	68.4482403703	78.7070940911	47.4907338782	61.3377780648	64.108935781	78.0128778894	-56.6396906551	61.3756499311	73.5982727592	67.5553184105	60.8907333612	57.6407400234	67.2806574197	72.4644593016	57.8409777727	70.4374828189	73.493352698	67.6460673033	82.4239067898	69.6374811112	45.2653062245	67.6589801868	70.6991460712	72.8824809112	52.2848094065	60.5119432188	73.4974522526	53.9475707085	49.9109510945	53.7357074174	77.8201719681	52.2291871114	71.7296479635	61.212011184
-22.8093297377	70.6947230134	53.4083128816	61.9228946389	68.9489540022	79.5601756377	63.2836385922	90.3124531138	66.5706742936	69.9541157011	52.3101823512	77.1453713096	77.8320529834	72.6591820082	76.8883720575	70.8674265929	-47.0726336673	69.1339262161	80.0634873918	-34.6486351083	47.1067691486	68.0699961262	72.3150756017	64.3786207974	73.8289462649	75.7995152434	-43.3190123326	75.4903721814	67.8549118624	74.5554358169	77.5153393978	69.8352379961	52.9283404562	70.5821077271	68.6025438097	69.8351243244	-45.5914498747	66.4353720647	65.702458527	56.4569995107	74.8205613778	66.6106290805	52.1897886445	57.6493997324	73.6640856988	60.3097524361	63.8486587879	62.4640466616	71.144411539	70.8989296317	42.0759655951	65.4746708644	62.6341966851	64.9124609318	54.9783036792	66.0814908258	71.001078237	69.2901281041	72.5185109145	72.8398149041	59.7174560375	58.4893364874	68.4527028676	57.9327330254
-51.8317463525	75.6300045414	50.7663082791	72.2896542718	71.6721733149	75.9577013569	81.1459159734	66.5706742936	90.3124531138	77.656892921	66.6619001104	79.4053726236	72.2539910233	69.4323089649	72.7780285079	73.3369697119	-67.520848842	76.8738324253	73.2541476789	-62.0817127459	38.7657026268	59.8153818563	64.8258077255	59.5712412968	69.1046128312	78.0030785909	-67.6097011452	76.2081535753	75.9866446184	57.2491520703	73.1900664962	78.4370909945	44.0915960318	71.548337635	69.0167457093	74.8870066288	-58.207921181	71.0482536621	76.7131996485	68.5744992441	68.3439317182	57.6715231126	66.4100160473	70.1469439457	67.212509332	77.8880217189	77.3733028874	71.7991585423	84.1071234608	74.6655823259	46.9302991791	71.0782497711	70.3747971084	76.2967173802	68.4020887999	69.8461814055	78.6198988148	61.4340128734	64.5718727491	63.2199299034	77.2114461161	62.7452169532	75.8251950191	54.3515182435
-43.2900119593	77.3672611287	52.8245889665	67.7315460681	74.8543555521	76.1410653256	67.6207045752	69.9541157011	77.656892921	90.3124531138	52.3148318929	82.2170106457	75.8449942507	71.1818343924	71.2973145695	67.8210064172	-65.6022179146	77.6678455051	82.1165432679	-54.1874378417	48.2201233008	69.0826230026	71.4450368684	69.9871873661	71.2170619482	73.2192485313	-69.7271523511	81.6908929611	75.2959074775	68.4850906748	76.651042285	67.7557603666	48.8004330671	68.6211111693	71.97133776	69.6145083185	-48.199090613	68.0003864054	73.4088009079	72.7000430067	63.7576133772	62.3699940003	60.4088466321	63.7724554471	73.1193455474	77.4422391973	69.6434075696	75.5708256258	79.4649041819	73.6083149426	54.2087314109	74.0215577405	67.9198762131	74.0267139536	65.4209529957	71.8366234912	76.3497086568	68.8023936638	73.8062667483	68.8719292733	69.3857679648	63.2460953316	74.1360661441	55.619238522
