Tissue	braincaudatebasalganglia
N_samples	98
Chr	11
Gene	ENSG00000166441.8
SNP	rs10840111
Gene_list	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000171863.8	ENSG00000130255.8	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000105640.8	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000142676.8	ENSG00000198242.9	ENSG00000198832.6	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000100302.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000168028.9	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000105372.2	ENSG00000058404.15	ENSG00000142937.7	ENSG00000265681.2	ENSG00000232112.3	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000162244.6	ENSG00000123349.9	ENSG00000170889.9	ENSG00000143947.8	ENSG00000108107.8	ENSG00000087258.9	ENSG00000229117.4	ENSG00000008988.5	ENSG00000196531.6	ENSG00000083845.4	ENSG00000171858.13	ENSG00000149806.6	ENSG00000137818.7	ENSG00000172809.8	ENSG00000145741.11	ENSG00000156642.12	ENSG00000147604.9	ENSG00000149273.10	ENSG00000138326.14	ENSG00000186468.8	ENSG00000167526.9	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000109475.12	ENSG00000089009.11	ENSG00000163399.11	ENSG00000118181.6	ENSG00000155368.12	ENSG00000089157.11	ENSG00000136942.10	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000164587.7	ENSG00000145425.5	ENSG00000182899.10	ENSG00000114942.9	ENSG00000066248.10	ENSG00000172428.6
Gene expression stats (Y^T * Y): 
90.3124531138	69.2145527655	66.4542625355	57.1032882759	71.0033440142	34.582036491	55.1496074335	55.9905931183	40.6623125959	64.8481868833	69.2162830541	43.3098454627	55.4173473923	62.9680267736	65.9947945924	29.1197332988	56.4741117011	65.5622290389	43.3837454646	-30.4818977672	54.3829665643	67.6462247424	55.7621076601	52.2137539014	70.6515976768	48.1020149665	65.7223764157	57.9445366377	73.8393425415	-29.6649457066	61.079098184	50.3503126614	46.3311787123	60.9621880326	74.3588586995	62.3023211086	49.7613965028	57.3382644555	49.3268310061	71.2711990978	48.9202026515	64.7723992382	-29.1807305711	55.8109462988	44.5841022155	31.503082249	58.5308172646	67.7598746969	76.095963998	72.1129981474	69.5740060309	28.7393700502	-47.3363197182	31.2635763138	66.088997909	39.7125364633	47.4807241067	63.267907559	42.3502089655	49.7478145636	47.4551667149	48.1281116065	30.5963358273	-39.1520305966	43.104973345	40.7462669954	42.6639599236	59.713196427	49.3825601881	54.5288726953	56.0024843732	68.9303711009	64.5709207312	34.9663943297	46.2328755919	38.4005071396	-33.6100389517	45.8692283817
69.2145527655	90.3124531138	69.5973184951	67.465740874	84.2028340905	42.1064060653	72.6676614083	67.153414422	50.7113786653	80.9880974837	72.7622356226	59.1544743865	64.9725021491	69.4672264471	70.3776162527	59.8001349209	64.2767525759	77.9046251226	56.9404024603	-41.7273253578	57.1929395938	76.289020687	63.6623211177	57.9750667579	78.4263322339	51.4919682151	66.1736345053	71.6075512516	79.8046202606	-41.5792880143	72.8518192337	62.2787281836	59.1926167419	82.7435947166	75.6429663273	70.1473033079	61.1278800327	76.7502821896	62.8512721789	77.5592712228	54.8046106979	80.3358117406	-44.3672308335	63.3504197243	53.9338062328	42.2320048817	77.7599970314	73.0764133772	77.1582633692	78.9776450736	76.8838440445	37.8419420882	-60.2440981677	33.7892043433	72.6528799452	53.9276482653	56.3977430781	82.3120084437	44.1137414173	58.6947914073	62.2505188456	60.2417637273	43.855517795	-57.4403876694	60.568498701	52.2126466023	56.041693642	83.0835677378	63.9185778799	65.1232454675	61.8360618995	75.122100124	69.2317819787	46.5020671613	57.1835251763	37.5424536833	-51.4568184739	61.724390384
66.4542625355	69.5973184951	90.3124531138	56.2261786208	70.8416910057	33.2005431186	57.4007020542	56.4428281448	35.1771434142	72.8782635391	62.3439502406	49.3427815059	56.4581296661	61.7908650619	56.7750132483	42.1928532991	60.3338802627	66.5067990369	51.0369512652	-32.1406791299	57.599107305	66.4112048683	55.8459878633	53.9531445157	76.4245632581	52.3220748395	59.0072106402	57.7274537994	75.8126827914	-30.6398968037	63.4289127214	61.5183173872	46.4741288921	68.629058165	78.8633144639	60.8860552329	45.361956064	67.1955730294	46.7757070742	63.5580941445	38.7461507181	70.69820445	-36.83872957	61.4878426653	44.8291835388	31.2472869963	67.8468583825	52.8824074654	68.2896702392	69.6691188003	59.4751539561	29.8081053573	-49.5045084895	29.200440271	66.8884723806	46.260962363	39.5951285422	66.9406545372	44.215103532	47.8589884293	48.7705042587	43.0894282467	35.0936830243	-45.866667579	44.713025872	44.6853532995	66.1710928004	64.546461594	56.3509081249	52.2692451244	66.3803965765	75.0127988487	63.2099652215	36.8821800236	44.0881173466	30.8891526499	-37.5085528635	51.6730068678
57.1032882759	67.465740874	56.2261786208	90.3124531138	67.7383664686	68.089001811	73.5113885457	77.8265031002	67.6512250613	64.4570384174	70.6947230134	75.6300045414	77.3672611287	77.5230680143	74.927933358	36.8783201134	71.4818685573	70.2950924935	66.9783693998	-55.6091758513	76.5452944971	79.6602030184	54.4516208274	64.4354762174	69.3549197297	70.149791979	71.3923109745	76.8737743771	68.1831481195	-57.2725562387	79.9914496715	71.2367664837	61.8370661812	66.4876332515	69.0187923887	73.6582906251	67.7454064005	72.469669643	74.5158906011	66.895838478	71.3700478525	66.1133351939	-47.8963048459	67.4967884519	71.665438707	72.310459627	67.8158749784	66.229689937	57.4883158029	58.6272018747	73.725123581	60.7487499831	-45.1050650256	62.9330261923	70.2600961702	75.4782810465	68.8809382619	63.7527817872	71.7376711825	72.9422468154	75.589374184	74.0611105864	70.24420657	-51.6317065405	73.4960263354	53.8154005183	57.781648185	74.5514174212	70.7068300469	69.8942851267	69.6451020088	68.6982362916	63.5363920299	68.9095470655	77.4974861628	57.2997066555	-58.1951360097	48.8733047815
71.0033440142	84.2028340905	70.8416910057	67.7383664686	90.3124531138	44.085968577	73.0491969511	68.6457471571	50.2651004794	78.715126136	73.4419844718	60.1515574885	66.2030493327	71.0274179139	71.5061825537	56.2266879156	68.9306766843	80.249801713	61.1356115559	-45.8257870294	62.6150979528	75.860443048	66.9514366537	61.7053629665	76.3988428103	55.2503987332	69.1142912416	74.0392538742	80.2559928162	-42.6400352508	73.4177007763	64.9360575272	60.977659152	81.2836523734	77.2301135823	70.9091843481	63.2357227301	74.1551634351	64.6609065096	78.3232476248	57.0851273466	79.483652574	-46.6143191113	69.7320491346	55.2874630111	42.7569165936	76.9159414147	73.3467121894	78.723518115	79.1116553139	78.5829769061	37.424262479	-61.4906051655	36.8330434581	71.9825927202	56.5073357088	56.7046997146	78.0244178005	49.4561300667	60.2172440967	62.8689667662	61.2136990398	44.0083155778	-54.3470598171	59.651392313	57.4910559606	60.6421187582	82.0980973652	65.7948034034	68.3166926582	65.4550115597	79.625955839	71.696081956	49.4086648146	59.5566964265	41.3698382626	-51.8713920376	63.572852596
34.582036491	42.1064060653	33.2005431186	68.089001811	44.085968577	90.3124531138	63.3804796912	72.3988881463	77.4843433098	50.3070981507	61.9228946389	72.2896542718	67.7315460681	73.8315870141	64.7254392441	28.1682452412	61.335941488	58.9876243411	72.787992844	-56.5519327927	72.3873111122	64.5913375586	46.4809909045	58.3550444273	46.5129783527	60.6261169297	59.722545222	71.3823481008	40.6275999613	-55.6660697627	71.828548565	67.1507431792	41.0479062523	43.3311541564	47.2064008627	63.5979713101	73.2554244829	52.414950743	71.7382430763	44.3537312677	80.3099091134	43.8859340725	-52.9969021311	63.5430625344	70.0156496294	79.6168226155	55.119431899	54.3586827809	36.2197784565	28.7763739039	57.655401763	66.8659453007	-23.956313809	81.4294721946	48.8405799322	76.3053089825	66.3514863376	39.7967257755	75.0927731187	79.9770530733	73.2355011652	71.233677626	79.9428481908	-27.822481634	71.3742964679	35.815911349	44.5234810545	55.3438528904	59.9469807276	70.1953854894	59.6142525826	45.4965477325	49.0638143841	80.8568641792	73.8089581556	72.7227820703	-40.7064467405	30.2883802842
55.1496074335	72.6676614083	57.4007020542	73.5113885457	73.0491969511	63.3804796912	90.3124531138	75.397510316	64.1628642315	72.5866566727	68.9489540022	71.6721733149	74.8543555521	77.4437694416	70.3958348699	55.0992122591	71.9578711083	78.6329411832	68.9119466493	-58.4727065344	71.0426839153	78.1403867145	60.7648413642	69.4099593654	67.0105441807	65.4723958621	66.1517854547	79.2805227261	66.6362062252	-58.1756231916	81.0397468328	73.8831708264	59.573664958	74.647924804	68.9842902191	73.407322505	69.7109065646	74.322163056	80.0050420897	69.1016190005	69.4279396405	70.8471023576	-57.7745200311	68.5867717789	68.3351299	66.337065152	72.0665276879	65.2668367347	62.6913135445	64.0410068845	70.9600476752	54.5542425941	-55.9984617945	55.726754937	67.9792222267	74.7755071131	62.6751688459	70.1143403652	68.4254347531	72.8722445892	75.4691961758	76.9526723637	62.1030932722	-55.4861641848	76.8179112119	54.2265664249	62.7404653902	79.6789902915	73.6288315606	72.9783626751	68.3052632974	68.8235397442	66.9445645312	67.0788735241	73.5745549325	56.9174967141	-57.5211931117	58.7222741329
55.9905931183	67.153414422	56.4428281448	77.8265031002	68.6457471571	72.3988881463	75.397510316	90.3124531138	71.1358249136	68.3494531229	79.5601756377	75.9577013569	76.1410653256	79.8876561653	78.4244087106	32.4795185366	72.0323147569	76.0790792721	78.8209617832	-62.5037037999	76.3142160062	81.7720581001	64.0002055782	72.9308201711	68.4150466963	71.9991119888	75.4957245719	78.7216881398	66.6526180137	-59.1889728663	79.4763569094	75.7236566995	56.5236524876	70.6279267601	71.9759785852	81.4424262917	74.0040106846	74.4898105264	78.7778755588	67.0142964621	78.0732502415	69.5853166916	-55.9596680798	72.1670020987	74.4160030533	70.2241013942	75.0463667245	71.4893861754	62.7741671111	53.4826398513	75.6112397313	55.5399534858	-53.0974179289	69.0486765628	71.570471421	76.1893584412	72.0899054626	63.4335324062	71.9857304497	77.9852961739	79.7272373054	75.047240014	75.4684137417	-47.6378373409	73.6032960531	49.7578404929	59.05787255	73.474002783	69.8352007132	75.5123669398	73.6532617848	72.1384593996	70.0182188849	71.3151213557	77.9614694374	58.2592610235	-60.1607500845	53.0341894349
40.6623125959	50.7113786653	35.1771434142	67.6512250613	50.2651004794	77.4843433098	64.1628642315	71.1358249136	90.3124531138	54.7115130252	63.2836385922	81.1459159734	67.6207045752	74.3406874816	68.2997492083	31.2586033574	59.9518896901	65.9417676345	68.5726843202	-58.2497393046	68.9194685758	66.1420808998	48.0076792209	51.69220585	56.0595923288	52.9272803397	62.3524521053	74.7952404521	50.4608679668	-57.4334328838	70.0377794635	63.8605245929	39.9046480422	53.0510874374	46.2936513658	68.4482403703	78.7070940911	61.3377780648	64.108935781	55.9628674581	78.0128778894	51.2562284927	-56.6396906551	61.3756499311	73.5982727592	67.5553184105	60.8907333612	59.8622102705	41.5424327855	38.6048126072	62.806817579	67.2806574197	-31.0248427144	72.4644593016	57.8409777727	70.4374828189	73.493352698	47.0659447548	67.6460673033	82.4239067898	69.6374811112	67.6589801868	70.6991460712	-43.5234239446	72.8824809112	43.2477626785	52.2848094065	61.0085050951	60.5119432188	73.4974522526	53.9475707085	49.9109510945	53.7357074174	77.8201719681	71.7296479635	61.212011184	-51.7657625998	36.9559375857
64.8481868833	80.9880974837	72.8782635391	64.4570384174	78.715126136	50.3070981507	72.5866566727	68.3494531229	54.7115130252	90.3124531138	74.1137590034	61.4644010558	64.0636008788	70.7857588168	69.5367353288	58.1893508598	68.1012508896	78.5095707399	64.9399254415	-47.3131652174	64.9519264423	75.994985556	63.5341324199	65.3344935285	81.0474435378	55.5514682022	65.6155830584	72.2156629722	77.3432995946	-41.2885273604	74.8959470065	66.7755436217	48.2494303813	77.5803896388	77.2364412964	74.4451243398	64.3393398928	73.8242519106	60.3050410854	71.014305759	56.495966221	78.2076771908	-50.5256358856	68.2080261859	56.182368559	46.5045024615	80.8960825843	70.5987342629	73.2456695994	73.6505322414	72.5984525776	44.2495125522	-53.7831686057	44.51592114	75.8617957332	56.220384874	55.0936053489	78.0625201312	52.2411777878	62.8294061729	61.8234550444	56.6163782411	51.1678873052	-44.8772154676	60.2191833911	44.58909859	63.0251919655	77.7612491698	64.3083931406	67.0201390794	71.7315108021	75.1610691221	68.1469508689	54.5943872722	58.5007511657	45.1949324612	-45.2712145538	58.5552439621
