Tissue	braincaudatebasalganglia
N_samples	98
Chr	1
Gene	ENSG00000162407.8
SNP	rs857122
Gene_list	ENSG00000068078.13	ENSG00000198053.7	ENSG00000176244.6	ENSG00000145555.10	ENSG00000182902.9	ENSG00000171885.9	ENSG00000162512.11	ENSG00000110436.7	ENSG00000114646.5	ENSG00000139644.8	ENSG00000100427.11	ENSG00000115380.14	ENSG00000162407.8	ENSG00000115902.6	ENSG00000156076.5	ENSG00000119711.8	ENSG00000103740.5	ENSG00000136160.10	ENSG00000135069.9	ENSG00000153904.14	ENSG00000148053.11	ENSG00000152583.8	ENSG00000148672.7	ENSG00000164199.11	ENSG00000105854.8	ENSG00000170989.8	ENSG00000164089.4	ENSG00000146005.3	ENSG00000240184.2	ENSG00000132718.7	ENSG00000132692.14	ENSG00000092820.13	ENSG00000177807.6	ENSG00000018625.10	ENSG00000109472.9	ENSG00000150625.12	ENSG00000170075.8	ENSG00000135919.8
Gene expression stats (Y^T * Y): 
90.3124531138	61.8546151034	41.6790923771	46.1890076525	50.9725426187	43.1763154329	57.5860902475	66.9894623827	71.0496415658	50.8212129628	70.2229868678	51.2825101736	71.2897074917	55.6560710307	51.6418959852	48.7482125654	52.7006310337	70.5710747789	52.5087465104	61.2921246114	55.1612221574	46.6146656162	58.6021108499	62.7243075545	46.0236596079	51.7546268234	48.9504461009	66.4090805165	74.3250213345	41.3398927368	70.5601921877	67.7013089776	58.4886960884	70.7028065904	53.8373025529	50.9819552217	55.3142525888	59.3017482093
61.8546151034	90.3124531138	34.3099789176	55.8233304477	35.5031141474	42.496432695	62.3987953682	53.2798427074	51.156232964	48.1844426238	49.7142461856	40.9953058599	66.1732593873	54.7993790691	35.9768329587	37.381446588	45.712071074	49.868729516	48.5252880694	54.4662269887	45.5967134695	40.7669656658	51.2126358324	49.9408136324	34.4282547149	41.253795367	32.2188636864	56.3056925243	58.2621716526	40.9587370726	52.7797316563	54.276680689	54.165013175	54.4374327606	42.1709921614	41.8603197729	58.3587395496	45.0887831223
41.6790923771	34.3099789176	90.3124531138	47.0983719011	43.7483080169	36.8463361065	35.2556415253	58.6897999054	30.9970160891	43.1754877596	35.1783944498	26.1390479863	58.9629416545	37.9261776664	46.8834478541	70.4154793015	53.7549643028	37.4768258083	33.2417071649	40.3232636296	53.3615831817	44.4668745422	42.8517779675	41.0548414359	37.6758300778	37.4543190846	47.4382815206	37.3974516787	47.3447035957	37.5897411624	34.1830867061	28.8286002694	41.7598608713	39.9120762307	53.9474066735	52.1719334277	31.121537436	28.2617001629
46.1890076525	55.8233304477	47.0983719011	90.3124531138	40.1697070957	30.678949107	38.6439129756	47.4783750636	42.5694655064	36.159939698	31.2551613219	24.3097775024	59.0268593955	47.0007998871	34.1969263629	50.1571803314	41.9767302981	41.1447293719	39.7839053939	39.9960546872	43.9534570594	37.8014737695	30.3839231236	37.3335138308	29.1602634212	36.5030941933	29.4600724657	53.0621216561	49.5212123017	41.1447677336	47.2589130147	44.4581030309	63.1068569928	47.0790450676	40.1633631971	39.0430437999	51.1601985064	23.0848449697
50.9725426187	35.5031141474	43.7483080169	40.1697070957	90.3124531138	39.7779646532	40.6649557758	62.6967182329	48.7854773966	39.6005932816	55.6570795457	21.7514080463	59.083270892	35.5154760473	43.3903737324	39.1461489963	50.7523148752	43.7651823618	32.3644488471	49.7796889511	55.6546298489	51.7028190487	44.7970937288	35.2043136498	48.1355723375	42.7627324883	56.4758268766	63.1118094756	57.3832548932	29.0377730208	46.1828813593	38.1078943665	37.5007620066	57.2805503522	51.940392037	54.9828654887	47.0821720913	50.6762232858
43.1763154329	42.496432695	36.8463361065	30.678949107	39.7779646532	90.3124531138	38.6506890766	58.0229535505	21.9740882891	75.8113520316	65.3622723174	60.464383192	59.8300259096	31.6551293562	22.3966830399	44.307767491	49.927626132	43.9275926009	47.22473323	59.3630612725	70.767265814	74.1363458617	68.0592997599	47.4964086704	72.7233115441	34.4146976073	61.1717727403	33.8483378969	51.7565589295	33.5782915516	45.618365417	45.1074674817	23.6115388026	62.3085114569	75.2120551228	47.1139629921	25.6956427284	52.6763867846
57.5860902475	62.3987953682	35.2556415253	38.6439129756	40.6649557758	38.6506890766	90.3124531138	54.2744745538	54.5443937119	42.8731679659	54.2464980966	33.9523018493	58.5756958355	45.0139471005	41.2711178711	39.3025945385	57.956475608	51.2890715024	35.5429097012	60.1970022857	39.5357151206	35.270306612	52.0210905845	46.0740628902	28.3822804179	38.5850227428	30.8718480636	52.6414866852	63.6999253682	41.5971489421	56.035584843	39.8581360641	43.2364846719	55.7691150801	37.3119383094	41.8974748895	53.8708369984	53.1149791151
66.9894623827	53.2798427074	58.6897999054	47.4783750636	62.6967182329	58.0229535505	54.2744745538	90.3124531138	61.0754768644	62.4146912073	68.7639470973	42.3560750057	76.6625867179	57.3987755627	68.0913049612	60.2316360072	58.9475658583	59.7902055809	50.5299422068	71.9947157336	71.3040039536	68.6569313016	68.0195897401	59.0361020418	60.6175745818	57.293258776	66.1232830336	63.6325251126	75.6114300923	58.6722136032	62.2881448734	53.3870699569	55.9540713498	71.3304257591	66.7217909719	69.2866052119	56.3569148702	68.7845937134
71.0496415658	51.156232964	30.9970160891	42.5694655064	48.7854773966	21.9740882891	54.5443937119	61.0754768644	90.3124531138	29.2879144689	46.7089689568	27.4347996411	56.4645619537	53.8194671188	55.3279964795	33.9953713924	35.8907933259	62.9245779277	52.8236868192	57.9188595046	36.0519779709	30.6973594517	41.4835363776	48.3450089485	28.5094567937	42.0695402005	30.0686261011	66.3672983885	65.3833679484	43.3406024226	66.7236967246	60.1010200809	66.03959313	55.9422681443	35.4357670583	53.2861868033	58.4524313312	57.5047597709
50.8212129628	48.1844426238	43.1754877596	36.159939698	39.6005932816	75.8113520316	42.8731679659	62.4146912073	29.2879144689	90.3124531138	66.1801154946	64.0251745343	65.9602049095	41.2090895735	35.0719575967	55.7286200886	54.74995361	42.6472181004	46.0858837888	53.829453406	74.8437126335	73.3323167877	71.0555556012	50.1665020865	73.2162814882	43.3406896732	62.1859226919	39.3575019832	57.9023925188	46.3911668498	49.2945972154	50.0914304259	32.162718734	68.8452213251	73.8606611585	48.0289532519	37.7004643609	51.5972650437
