Tissue	braincaudatebasalganglia
N_samples	98
Chr	7
Gene	ENSG00000196683.6
SNP	rs2240728
Gene_list	ENSG00000177600.4	ENSG00000171863.8	ENSG00000130255.8	ENSG00000116251.5	ENSG00000144713.8	ENSG00000105640.8	ENSG00000221983.3	ENSG00000196683.6	ENSG00000142676.8	ENSG00000198242.9	ENSG00000122026.6	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000168028.9	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000105372.2	ENSG00000142937.7	ENSG00000125743.6	ENSG00000265681.2	ENSG00000142541.12	ENSG00000142534.2	ENSG00000123349.9	ENSG00000143947.8	ENSG00000229117.4	ENSG00000196465.6	ENSG00000083845.4	ENSG00000171858.13	ENSG00000149806.6	ENSG00000174444.10	ENSG00000172809.8	ENSG00000149273.10	ENSG00000131143.4	ENSG00000114391.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000164587.7	ENSG00000182899.10	ENSG00000114942.9
Gene expression stats (Y^T * Y): 
90.3124531138	57.1032882759	71.0033440142	43.004106857	55.9905931183	64.8481868833	69.2162830541	61.1549022362	62.9680267736	65.9947945924	66.94519505	56.4741117011	65.5622290389	43.3837454646	54.3829665643	67.6462247424	55.7621076601	52.2137539014	70.6515976768	48.1020149665	65.7223764157	57.9445366377	73.8393425415	61.079098184	44.341900388	50.3503126614	74.3588586995	62.3023211086	49.3268310061	48.9202026515	55.8109462988	36.3067634668	58.5308172646	67.7598746969	76.095963998	42.7547018645	69.5740060309	66.088997909	35.0677015652	47.4551667149	54.5288726953	56.0024843732	68.9303711009	64.5709207312	46.2328755919	38.4005071396
57.1032882759	90.3124531138	67.7383664686	52.0341659215	77.8265031002	64.4570384174	70.6947230134	54.268593691	77.5230680143	74.927933358	39.308099574	71.4818685573	70.2950924935	66.9783693998	76.5452944971	79.6602030184	54.4516208274	64.4354762174	69.3549197297	70.149791979	71.3923109745	76.8737743771	68.1831481195	79.9914496715	50.3018273201	71.2367664837	69.0187923887	73.6582906251	74.5158906011	71.3700478525	67.4967884519	34.2876360298	67.8158749784	66.229689937	57.4883158029	62.6884489112	73.725123581	70.2600961702	33.9104050366	75.589374184	69.8942851267	69.6451020088	68.6982362916	63.5363920299	77.4974861628	57.2997066555
71.0033440142	67.7383664686	90.3124531138	39.4907225405	68.6457471571	78.715126136	73.4419844718	58.0017881487	71.0274179139	71.5061825537	53.7709823322	68.9306766843	80.249801713	61.1356115559	62.6150979528	75.860443048	66.9514366537	61.7053629665	76.3988428103	55.2503987332	69.1142912416	74.0392538742	80.2559928162	73.4177007763	48.6724905716	64.9360575272	77.2301135823	70.9091843481	64.6609065096	57.0851273466	69.7320491346	33.3286010885	76.9159414147	73.3467121894	78.723518115	40.4158918088	78.5829769061	71.9825927202	39.3133197248	62.8689667662	68.3166926582	65.4550115597	79.625955839	71.696081956	59.5566964265	41.3698382626
43.004106857	52.0341659215	39.4907225405	90.3124531138	57.9612850502	42.5439135516	53.4083128816	55.7817474999	60.2150676375	61.6659680684	45.0317452955	56.1377274768	49.4887317968	56.4451126751	61.3523551506	50.7537980873	40.1176772185	53.7507757058	41.725176321	48.1815067141	55.5139072812	52.5403551281	38.3262821433	52.1007975119	30.3616014474	51.1633260739	44.43327576	52.3934490147	49.9575232992	66.1977092258	57.509458787	29.5257078667	44.1887523847	48.2190804406	38.6750698053	56.6965042465	51.4446902846	44.2836302061	28.7790077457	49.5772613379	59.0092398345	54.5413005161	41.5887466654	44.6225757871	52.3693311784	64.4319679204
55.9905931183	77.8265031002	68.6457471571	57.9612850502	90.3124531138	68.3494531229	79.5601756377	64.0798557264	79.8876561653	78.4244087106	42.3747666789	72.0323147569	76.0790792721	78.8209617832	76.3142160062	81.7720581001	64.0002055782	72.9308201711	68.4150466963	71.9991119888	75.4957245719	78.7216881398	66.6526180137	79.4763569094	60.533206852	75.7236566995	71.9759785852	81.4424262917	78.7778755588	78.0732502415	72.1670020987	39.7041242136	75.0463667245	71.4893861754	62.7741671111	73.5098047337	75.6112397313	71.570471421	45.2534056777	79.7272373054	75.5123669398	73.6532617848	72.1384593996	70.0182188849	77.9614694374	58.2592610235
64.8481868833	64.4570384174	78.715126136	42.5439135516	68.3494531229	90.3124531138	74.1137590034	56.3465764193	70.7857588168	69.5367353288	51.5176867741	68.1012508896	78.5095707399	64.9399254415	64.9519264423	75.994985556	63.5341324199	65.3344935285	81.0474435378	55.5514682022	65.6155830584	72.2156629722	77.3432995946	74.8959470065	47.0792705201	66.7755436217	77.2364412964	74.4451243398	60.3050410854	56.495966221	68.2080261859	34.5140950955	80.8960825843	70.5987342629	73.2456695994	47.1900993252	72.5984525776	75.8617957332	42.8374608198	61.8234550444	67.0201390794	71.7315108021	75.1610691221	68.1469508689	58.5007511657	45.1949324612
69.2162830541	70.6947230134	73.4419844718	53.4083128816	79.5601756377	74.1137590034	90.3124531138	63.6358032707	77.1453713096	77.8320529834	50.68538299	72.6591820082	76.8883720575	70.8674265929	69.1339262161	80.0634873918	68.4873527173	68.0699961262	72.3150756017	64.3786207974	73.8289462649	75.7995152434	69.0036353978	75.4903721814	57.4606912427	67.8549118624	74.5554358169	77.5153393978	68.6025438097	69.8351243244	66.4353720647	38.6407686012	74.8205613778	73.1726572075	73.6519167874	66.6106290805	77.3517128635	73.6640856988	50.0181408189	70.8989296317	71.001078237	69.2901281041	72.5185109145	72.8398149041	68.4527028676	57.9327330254
61.1549022362	54.268593691	58.0017881487	55.7817474999	64.0798557264	56.3465764193	63.6358032707	90.3124531138	55.8533219473	62.6097935217	60.0728567982	56.0681890688	62.7187355035	59.7353797701	56.8298278357	57.3823158622	57.0673249342	64.7098165248	55.2464392697	55.3666109087	62.6771095612	57.6614427731	57.097414795	57.271815455	54.2591262335	54.594302648	64.5859440423	61.0587008197	61.8002130664	59.0715633186	61.7893262846	55.0815108888	59.4859799741	65.3353014247	63.2124137243	59.5575150995	60.6044514382	56.4217210046	55.751705793	55.2241245603	54.7311521809	63.2651751784	56.3305424424	58.8043497124	54.3867818886	56.0402917519
62.9680267736	77.5230680143	71.0274179139	60.2150676375	79.8876561653	70.7857588168	77.1453713096	55.8533219473	90.3124531138	77.9277693704	47.5826921946	72.6615937569	79.5202049554	75.1482035994	81.0301269089	83.241495314	60.5035867429	71.2100698121	73.0954527451	68.3515889589	73.4002779678	80.421546039	68.7114186364	85.0589293385	51.4667452653	77.0964074766	71.7414055845	77.8010477607	75.3124501621	76.7253899519	73.648026477	31.3215743567	73.9197577853	66.7971731096	63.2148631723	64.8912123543	74.6793799571	72.6163379906	35.0028640804	77.277934994	80.491782189	72.5347504273	74.4161745562	70.2968637974	75.7983662868	64.476323999
65.9947945924	74.927933358	71.5061825537	61.6659680684	78.4244087106	69.5367353288	77.8320529834	62.6097935217	77.9277693704	90.3124531138	51.8789197417	74.4072894696	79.0820725687	70.8969864759	73.136151952	78.9677533697	64.5929859686	68.9438892395	71.4118842157	63.6657466089	77.2411725166	77.637854737	71.5502695944	77.4779919751	51.9610231613	73.8024066349	72.1952395536	79.8368503048	71.1797193872	74.1718210283	71.6491511156	28.8154155949	72.1808590143	75.1406922733	63.5987063808	62.6713621032	77.3036823345	77.5763475715	33.8415164823	75.2541195683	77.3095365087	69.9611337796	69.6256583494	73.4941321479	73.5364561444	58.9983590627
