Tissue	braincaudatebasalganglia
N_samples	98
Chr	19
Gene	ENSG00000221983.3
SNP	rs1862644
Gene_list	ENSG00000169020.5	ENSG00000177600.4	ENSG00000115268.5	ENSG00000140988.11	ENSG00000103363.10	ENSG00000171863.8	ENSG00000130255.8	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000105640.8	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000196683.6	ENSG00000142676.8	ENSG00000198242.9	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000168028.9	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000105372.2	ENSG00000142937.7	ENSG00000125743.6	ENSG00000265681.2	ENSG00000063177.8	ENSG00000243678.7	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000162244.6	ENSG00000123349.9	ENSG00000170889.9	ENSG00000143947.8	ENSG00000108107.8	ENSG00000229117.4	ENSG00000008988.5	ENSG00000196531.6	ENSG00000083845.4	ENSG00000171858.13	ENSG00000149806.6	ENSG00000174444.10	ENSG00000137818.7	ENSG00000172809.8	ENSG00000147604.9	ENSG00000149273.10	ENSG00000138326.14	ENSG00000186468.8	ENSG00000167526.9	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000109475.12	ENSG00000089009.11	ENSG00000118181.6	ENSG00000089157.11	ENSG00000136942.10	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000104529.13	ENSG00000161016.11	ENSG00000164587.7	ENSG00000145425.5	ENSG00000204628.7	ENSG00000182899.10	ENSG00000114942.9
Gene expression stats (Y^T * Y): 
90.3124531138	50.1221628611	53.9367341885	34.5066218421	66.2598140286	47.8877673292	53.8465788677	36.3090647934	49.9853385864	52.578120964	26.4681046397	44.2768415237	54.4499921063	29.4778537537	33.4482199192	53.514523821	45.253410605	47.558747791	42.4649888274	49.3545935131	39.6068637105	37.2070105349	50.5077714424	49.1908517215	35.4166209488	39.7608889774	36.2386413754	49.759540513	50.2341581489	43.4474695089	45.7639586879	56.3265368407	37.1589516581	43.5395380789	49.5522847249	45.7669511108	39.8047889876	38.6852171647	44.5098153018	60.3072151129	51.7650596317	43.4326987308	42.2072653915	39.8694451685	32.8320669609	32.5084830123	46.5779701385	56.1985061134	58.7883041073	32.0737979332	40.8939855063	62.5551906691	20.6744342284	33.6620811145	36.407001835	35.1342961255	46.4661988356	26.5580986937	38.6299235897	46.1164130509	45.9814299138	29.4804041483	39.7889120266	11.8837248879	55.0746180522	41.6229925887	42.0628818778	34.0200041665	33.2374382078	41.1609797882	43.3180391531	26.9911813544	10.4723669014	40.9008511936	36.2412968631
50.1221628611	90.3124531138	69.2145527655	66.4542625355	51.6040887927	57.1032882759	71.0033440142	34.582036491	55.1496074335	55.9905931183	40.6623125959	64.8481868833	69.2162830541	43.3098454627	55.4173473923	61.1549022362	62.9680267736	65.9947945924	56.4741117011	65.5622290389	43.3837454646	54.3829665643	67.6462247424	55.7621076601	52.2137539014	70.6515976768	48.1020149665	65.7223764157	57.9445366377	73.8393425415	61.079098184	44.341900388	50.3503126614	60.9621880326	39.3954911917	74.3588586995	62.3023211086	49.7613965028	57.3382644555	49.3268310061	71.2711990978	48.9202026515	64.7723992382	55.8109462988	44.5841022155	31.503082249	58.5308172646	67.7598746969	76.095963998	42.7547018645	72.1129981474	69.5740060309	31.2635763138	66.088997909	39.7125364633	47.4807241067	63.267907559	42.3502089655	49.7478145636	47.4551667149	48.1281116065	30.5963358273	43.104973345	42.6639599236	59.713196427	49.3825601881	54.5288726953	56.0024843732	65.8553390819	68.9303711009	64.5709207312	34.9663943297	44.2109129316	46.2328755919	38.4005071396
53.9367341885	69.2145527655	90.3124531138	69.5973184951	59.1271871898	67.465740874	84.2028340905	42.1064060653	72.6676614083	67.153414422	50.7113786653	80.9880974837	72.7622356226	59.1544743865	64.9725021491	52.6171828225	69.4672264471	70.3776162527	64.2767525759	77.9046251226	56.9404024603	57.1929395938	76.289020687	63.6623211177	57.9750667579	78.4263322339	51.4919682151	66.1736345053	71.6075512516	79.8046202606	72.8518192337	49.5532168323	62.2787281836	82.7435947166	42.8452870105	75.6429663273	70.1473033079	61.1278800327	76.7502821896	62.8512721789	77.5592712228	54.8046106979	80.3358117406	63.3504197243	53.9338062328	42.2320048817	77.7599970314	73.0764133772	77.1582633692	38.7273365244	78.9776450736	76.8838440445	33.7892043433	72.6528799452	53.9276482653	56.3977430781	82.3120084437	44.1137414173	58.6947914073	62.2505188456	60.2417637273	43.855517795	60.568498701	56.041693642	83.0835677378	63.9185778799	65.1232454675	61.8360618995	59.5209826429	75.122100124	69.2317819787	46.5020671613	49.3773841855	57.1835251763	37.5424536833
34.5066218421	66.4542625355	69.5973184951	90.3124531138	44.4358163645	56.2261786208	70.8416910057	33.2005431186	57.4007020542	56.4428281448	35.1771434142	72.8782635391	62.3439502406	49.3427815059	56.4581296661	48.1148398612	61.7908650619	56.7750132483	60.3338802627	66.5067990369	51.0369512652	57.599107305	66.4112048683	55.8459878633	53.9531445157	76.4245632581	52.3220748395	59.0072106402	57.7274537994	75.8126827914	63.4289127214	40.2191940377	61.5183173872	68.629058165	31.5389688137	78.8633144639	60.8860552329	45.361956064	67.1955730294	46.7757070742	63.5580941445	38.7461507181	70.69820445	61.4878426653	44.8291835388	31.2472869963	67.8468583825	52.8824074654	68.2896702392	40.6256431193	69.6691188003	59.4751539561	29.200440271	66.8884723806	46.260962363	39.5951285422	66.9406545372	44.215103532	47.8589884293	48.7705042587	43.0894282467	35.0936830243	44.713025872	66.1710928004	64.546461594	56.3509081249	52.2692451244	66.3803965765	57.5492649227	75.0127988487	63.2099652215	36.8821800236	57.4837596131	44.0881173466	30.8891526499
66.2598140286	51.6040887927	59.1271871898	44.4358163645	90.3124531138	45.8055615685	60.0288127854	26.460703111	51.5639460657	48.6841999645	24.8139014622	52.2075473525	54.4982906663	26.8780009032	30.891758708	53.3424172424	40.5454049348	44.0647279635	44.0000752834	52.2130552471	41.0418804174	35.3215397601	51.0437956062	50.730643009	44.1052316416	47.826711596	39.2543188016	43.4073119804	50.4152746114	53.2549858281	47.9275461657	58.8381717393	36.0267983403	50.5206615295	42.2225195867	52.3950328553	44.7809997147	35.544173669	44.0082155161	55.6740087412	55.2054852422	36.6655320008	47.0264949589	34.6040085471	29.7326346446	28.7616817277	55.6770675642	55.7271875545	64.6543630233	29.2471153422	54.3241461646	54.0575512579	14.9260285628	45.9528496084	29.5800127051	26.3453682007	55.183015268	26.7457965559	30.3226977305	44.5782763078	45.5225901294	25.8719469587	42.2649573927	21.5149490476	55.5128892176	42.2653943481	36.2219878863	45.3423695504	30.3079550337	47.3618753222	49.4913125933	23.81166511	16.712395844	41.4560741357	29.2920137363
47.8877673292	57.1032882759	67.465740874	56.2261786208	45.8055615685	90.3124531138	67.7383664686	68.089001811	73.5113885457	77.8265031002	67.6512250613	64.4570384174	70.6947230134	75.6300045414	77.3672611287	54.268593691	77.5230680143	74.927933358	71.4818685573	70.2950924935	66.9783693998	76.5452944971	79.6602030184	54.4516208274	64.4354762174	69.3549197297	70.149791979	71.3923109745	76.8737743771	68.1831481195	79.9914496715	50.3018273201	71.2367664837	66.4876332515	48.2956123277	69.0187923887	73.6582906251	67.7454064005	72.469669643	74.5158906011	66.895838478	71.3700478525	66.1133351939	67.4967884519	71.665438707	72.310459627	67.8158749784	66.229689937	57.4883158029	62.6884489112	58.6272018747	73.725123581	62.9330261923	70.2600961702	75.4782810465	68.8809382619	63.7527817872	71.7376711825	72.9422468154	75.589374184	74.0611105864	70.24420657	73.4960263354	57.781648185	74.5514174212	70.7068300469	69.8942851267	69.6451020088	47.7634297123	68.6982362916	63.5363920299	68.9095470655	54.1562837464	77.4974861628	57.2997066555
53.8465788677	71.0033440142	84.2028340905	70.8416910057	60.0288127854	67.7383664686	90.3124531138	44.085968577	73.0491969511	68.6457471571	50.2651004794	78.715126136	73.4419844718	60.1515574885	66.2030493327	58.0017881487	71.0274179139	71.5061825537	68.9306766843	80.249801713	61.1356115559	62.6150979528	75.860443048	66.9514366537	61.7053629665	76.3988428103	55.2503987332	69.1142912416	74.0392538742	80.2559928162	73.4177007763	48.6724905716	64.9360575272	81.2836523734	45.8994954581	77.2301135823	70.9091843481	63.2357227301	74.1551634351	64.6609065096	78.3232476248	57.0851273466	79.483652574	69.7320491346	55.2874630111	42.7569165936	76.9159414147	73.3467121894	78.723518115	40.4158918088	79.1116553139	78.5829769061	36.8330434581	71.9825927202	56.5073357088	56.7046997146	78.0244178005	49.4561300667	60.2172440967	62.8689667662	61.2136990398	44.0083155778	59.651392313	60.6421187582	82.0980973652	65.7948034034	68.3166926582	65.4550115597	59.1097083804	79.625955839	71.696081956	49.4086648146	50.628683446	59.5566964265	41.3698382626
36.3090647934	34.582036491	42.1064060653	33.2005431186	26.460703111	68.089001811	44.085968577	90.3124531138	63.3804796912	72.3988881463	77.4843433098	50.3070981507	61.9228946389	72.2896542718	67.7315460681	49.8541980499	73.8315870141	64.7254392441	61.335941488	58.9876243411	72.787992844	72.3873111122	64.5913375586	46.4809909045	58.3550444273	46.5129783527	60.6261169297	59.722545222	71.3823481008	40.6275999613	71.828548565	45.0684202709	67.1507431792	43.3311541564	42.5166371555	47.2064008627	63.5979713101	73.2554244829	52.414950743	71.7382430763	44.3537312677	80.3099091134	43.8859340725	63.5430625344	70.0156496294	79.6168226155	55.119431899	54.3586827809	36.2197784565	67.3737343201	28.7763739039	57.655401763	81.4294721946	48.8405799322	76.3053089825	66.3514863376	39.7967257755	75.0927731187	79.9770530733	73.2355011652	71.233677626	79.9428481908	71.3742964679	44.5234810545	55.3438528904	59.9469807276	70.1953854894	59.6142525826	26.7954596502	45.4965477325	49.0638143841	80.8568641792	45.5655782061	73.8089581556	72.7227820703
49.9853385864	55.1496074335	72.6676614083	57.4007020542	51.5639460657	73.5113885457	73.0491969511	63.3804796912	90.3124531138	75.397510316	64.1628642315	72.5866566727	68.9489540022	71.6721733149	74.8543555521	52.7208152039	77.4437694416	70.3958348699	71.9578711083	78.6329411832	68.9119466493	71.0426839153	78.1403867145	60.7648413642	69.4099593654	67.0105441807	65.4723958621	66.1517854547	79.2805227261	66.6362062252	81.0397468328	52.1321667979	73.8831708264	74.647924804	43.7907240551	68.9842902191	73.407322505	69.7109065646	74.322163056	80.0050420897	69.1016190005	69.4279396405	70.8471023576	68.5867717789	68.3351299	66.337065152	72.0665276879	65.2668367347	62.6913135445	53.6527562955	64.0410068845	70.9600476752	55.726754937	67.9792222267	74.7755071131	62.6751688459	70.1143403652	68.4254347531	72.8722445892	75.4691961758	76.9526723637	62.1030932722	76.8179112119	62.7404653902	79.6789902915	73.6288315606	72.9783626751	68.3052632974	49.4240848911	68.8235397442	66.9445645312	67.0788735241	51.6560294438	73.5745549325	56.9174967141
52.578120964	55.9905931183	67.153414422	56.4428281448	48.6841999645	77.8265031002	68.6457471571	72.3988881463	75.397510316	90.3124531138	71.1358249136	68.3494531229	79.5601756377	75.9577013569	76.1410653256	64.0798557264	79.8876561653	78.4244087106	72.0323147569	76.0790792721	78.8209617832	76.3142160062	81.7720581001	64.0002055782	72.9308201711	68.4150466963	71.9991119888	75.4957245719	78.7216881398	66.6526180137	79.4763569094	60.533206852	75.7236566995	70.6279267601	57.9597641215	71.9759785852	81.4424262917	74.0040106846	74.4898105264	78.7778755588	67.0142964621	78.0732502415	69.5853166916	72.1670020987	74.4160030533	70.2241013942	75.0463667245	71.4893861754	62.7741671111	73.5098047337	53.4826398513	75.6112397313	69.0486765628	71.570471421	76.1893584412	72.0899054626	63.4335324062	71.9857304497	77.9852961739	79.7272373054	75.047240014	75.4684137417	73.6032960531	59.05787255	73.474002783	69.8352007132	75.5123669398	73.6532617848	46.5725621724	72.1384593996	70.0182188849	71.3151213557	59.7286236264	77.9614694374	58.2592610235
