Tissue	skinnotsunexposedsuprapubic
N_samples	196
Chr	17
Gene	ENSG00000173908.8
SNP	rs34390662
Gene_list	ENSG00000205867.2	ENSG00000196224.7	ENSG00000111291.4	ENSG00000142619.4	ENSG00000002549.8	ENSG00000244355.3	ENSG00000184351.7	ENSG00000204897.6	ENSG00000171446.6	ENSG00000173908.8	ENSG00000196859.3	ENSG00000212724.2	ENSG00000182472.4	ENSG00000204880.6	ENSG00000171396.10	ENSG00000196156.3	ENSG00000198443.5	ENSG00000186860.3	ENSG00000006059.3	ENSG00000171360.3	ENSG00000108759.3	ENSG00000197079.4	ENSG00000205445.3	ENSG00000212935.1	ENSG00000187175.5	ENSG00000064195.7	ENSG00000161850.2	ENSG00000139648.6	ENSG00000170484.5	ENSG00000170486.6	ENSG00000186049.4	ENSG00000123364.3	ENSG00000205186.2	ENSG00000181333.11	ENSG00000185674.5	ENSG00000159450.8	ENSG00000203783.4	ENSG00000243284.1	ENSG00000138449.6	ENSG00000172061.7	ENSG00000222001.2
Gene expression stats (Y^T * Y): 
187.052919224	183.938448518	82.0376887288	95.0957337255	94.8014851021	89.2132730789	112.19924867	51.6362467058	64.2022331347	115.388269004	113.09979566	116.136737127	80.3303831223	116.786486188	113.96927372	132.220550324	133.268363955	135.394658899	70.2491722131	110.922750661	112.433255	68.5462743917	167.331241599	153.723748074	149.006824917	79.7391559642	127.871424138	58.1948216411	118.694119191	93.9179836256	86.2568051631	77.1399256662	89.3331112165	92.9424104418	135.787275875	87.4528425	77.7189084696	121.406166888	98.4723862704	110.688518674	95.8108927838
183.938448518	187.052919224	83.5981780867	98.2923924215	96.4850261984	88.2806975308	113.544501314	50.9979433631	62.8994952008	116.657278041	119.329751851	120.323938294	83.7046154104	118.231246025	115.855523226	134.223789439	136.304012801	135.220240728	72.3621293227	114.516296723	113.435629958	65.8911304871	165.556467498	152.714477266	148.050814876	80.4550710956	129.072138009	57.1377645161	120.287900894	99.9109018831	87.0720822241	78.4240561579	87.3945139043	100.302548985	139.288040677	86.7577127498	77.0484878447	123.421382063	102.313821681	117.238074109	103.905787503
82.0376887288	83.5981780867	187.052919224	67.7991184337	142.781536258	180.253899986	154.46837721	154.22539656	162.77996837	128.792150224	129.727816736	171.412293656	115.889857997	171.136540696	172.896054773	161.578387903	158.142844868	160.191738417	184.694435121	155.396016664	149.457232592	151.440004937	125.034706825	140.107992339	143.683926743	99.3844847375	141.002078333	158.022308773	146.917869344	95.5576882397	103.408768156	89.5658251012	156.586310161	90.11130576	116.335254556	164.887519211	170.308912832	152.443298058	109.766920427	107.491323586	96.0017191851
95.0957337255	98.2923924215	67.7991184337	187.052919224	86.2860495122	83.7818553365	67.7208355779	55.8163745677	60.1795367502	127.836000968	112.394049492	76.2429472128	91.8394464136	72.6314855864	67.9315329483	81.2823231052	80.9034469195	94.0160258006	62.1451754209	80.8553429164	111.63996034	70.9690996962	110.450227199	102.70955414	105.191309766	98.0252111635	130.420036021	58.0837848619	114.9806699	121.158072331	115.996695692	119.354173389	81.0606048142	124.476636002	140.412841835	80.7026236461	64.0609093537	96.2340087039	109.545004858	96.9400005997	132.04837271
94.8014851021	96.4850261984	142.781536258	86.2860495122	187.052919224	151.223024722	129.50788156	105.178335314	116.067900088	129.077154992	137.364116477	138.523754591	111.224325997	141.070895934	135.915062965	145.095878623	144.801221004	143.09872269	136.069375923	132.114817498	143.269714114	114.767308713	125.671007167	127.429591738	131.925601598	101.998307702	143.206589727	109.089848838	139.876788938	108.38694597	107.709720237	105.800299308	128.524957149	106.144301257	130.456177448	131.628312194	128.161834698	148.945400933	121.54233718	110.17298745	116.508601616
89.2132730789	88.2806975308	180.253899986	83.7818553365	151.223024722	187.052919224	153.776443081	147.822812157	160.658206693	146.386622379	137.236876773	163.255005775	131.872528446	161.136553554	161.002836499	156.533291019	154.91122327	164.158771972	175.455747674	157.122412289	165.339366695	155.967825407	131.901223334	142.130689053	147.496347311	111.892940612	157.672733391	153.899337073	159.876394341	102.6741342	118.277438543	105.598409446	163.058670588	98.5195354703	130.243266113	168.419757915	169.21584898	161.61418374	117.226427618	110.685327423	104.740212807
112.19924867	113.544501314	154.46837721	67.7208355779	129.50788156	153.776443081	187.052919224	103.404177474	119.580830927	122.081486094	134.523755378	159.833508041	120.946728233	151.930703055	149.210821704	151.300702544	156.445458187	157.535049214	148.565450484	171.718922995	133.538215543	106.497404778	137.188552776	137.497194849	139.991178519	92.5072493089	135.19108117	111.027128324	132.876013787	90.1965299743	91.6492262112	84.7731534506	124.641384851	89.2642958253	118.685982299	131.755026575	130.728274899	152.09118573	118.41391568	125.424646431	96.7511037259
51.6362467058	50.9979433631	154.22539656	55.8163745677	105.178335314	147.822812157	103.404177474	187.052919224	182.871156915	115.61676732	76.2332589316	128.519665996	69.7524877515	136.827861904	143.718603938	123.507457266	114.981575425	131.125810153	155.293865107	102.512329807	132.32365715	166.137557173	92.3912839057	115.044197531	117.584717466	90.4462483271	109.873663104	184.946014705	126.332397751	63.5329136539	87.4649874074	66.229413661	166.360474268	47.195966622	83.4310405211	170.065861022	177.942586149	112.741936579	79.7981704971	64.4020577513	50.9343697214
64.2022331347	62.8994952008	162.77996837	60.1795367502	116.067900088	160.658206693	119.580830927	182.871156915	187.052919224	127.969225654	91.0958753451	139.848041419	87.0785369474	144.735718271	150.073893828	134.08439007	126.764433761	144.679652694	161.756959224	116.845472128	146.238199312	170.006845582	104.969010562	125.802019606	129.13269395	99.9446624662	123.610831093	185.52896498	139.464434087	72.6850104375	98.7775791504	74.7205225429	173.404562498	57.0029238189	95.5155624797	177.545325877	183.834056196	126.948339211	88.8592093578	76.6892571597	61.7364503948
115.388269004	116.657278041	128.792150224	127.836000968	129.077154992	146.386622379	122.081486094	115.61676732	127.969225654	187.052919224	135.823349721	125.016544028	129.123074535	119.1965574	117.289649867	127.400905499	129.413404325	149.749653399	118.496360948	127.922710348	176.867337192	137.219582928	140.494889745	136.982181162	142.169471357	132.976325781	177.79363148	121.196062317	178.590777925	126.438275405	150.728480542	133.767873004	153.453873554	116.088618068	160.196229973	152.396768209	136.237094115	149.051856597	131.6570756	121.684334696	116.659647157
