Tissue	skinnotsunexposedsuprapubic
N_samples	196
Chr	12
Gene	ENSG00000135404.7
SNP	rs3892229
Gene_list	ENSG00000185201.12	ENSG00000185885.11	ENSG00000142089.11	ENSG00000197766.3	ENSG00000132386.6	ENSG00000110651.7	ENSG00000125730.12	ENSG00000182326.10	ENSG00000159403.11	ENSG00000111341.5	ENSG00000026025.9	ENSG00000101439.4	ENSG00000120885.15	ENSG00000100097.7	ENSG00000141753.5	ENSG00000106624.4	ENSG00000077942.13	ENSG00000142173.10	ENSG00000087086.9	ENSG00000087245.8	ENSG00000135404.7	ENSG00000149131.11	ENSG00000163453.7	ENSG00000167996.11	ENSG00000197746.9	ENSG00000035862.8	ENSG00000034510.4	ENSG00000011465.12	ENSG00000149591.12	ENSG00000148180.12	ENSG00000143387.8	ENSG00000113140.6	ENSG00000197956.5	ENSG00000189058.4
Gene expression stats (Y^T * Y): 
187.052919224	154.115457616	168.291362425	101.948886826	121.456607788	75.6492703919	106.002376708	116.83034095	132.144673168	104.42280857	107.385600299	101.158761437	114.793477139	88.6848213524	147.98902965	116.760394946	98.5462792109	88.8383300963	137.855998018	115.299682877	141.369405575	141.170165719	88.2860303541	148.548881374	75.5593126248	94.3610852869	124.394910568	89.300959979	115.533974327	89.095528953	96.9619194431	77.6244926329	126.692663092	121.651510612
154.115457616	187.052919224	162.290750903	84.7198445011	93.5478604559	76.2513429209	92.9059025535	99.9141635823	109.421860047	86.4693371903	91.5537514137	86.2467750635	115.777788143	83.9416559771	144.038531387	102.258336409	73.4910055603	79.0374862791	111.19332767	96.5685243932	124.320879629	115.525194666	82.9708240763	120.979409257	59.2665979206	84.8086785475	114.679627615	66.0774489891	108.164201575	73.1650679091	81.0981000106	64.3190678325	111.942646392	98.1718656849
168.291362425	162.290750903	187.052919224	110.933638098	121.869762934	92.2504140008	115.107217882	123.02688372	140.789927254	115.410858426	105.598904179	110.783385603	125.707704106	95.103948677	154.663664592	121.32357221	100.904848256	99.6598939216	131.023662716	111.515374629	147.515292626	143.339183006	103.67026452	139.821169685	86.9552114315	95.4876199503	126.95220684	95.3558207297	115.291864809	99.3328939962	91.3670860835	83.8210053428	129.337596786	120.109879427
101.948886826	84.7198445011	110.933638098	187.052919224	142.494079264	103.01315424	144.787551031	145.327959395	148.325580509	144.60174091	130.204338561	153.077514128	121.272438759	82.9595823391	106.49297504	133.232128207	160.927545685	143.10244764	128.081905192	117.428921717	125.15134784	153.723721296	119.54242827	111.075733286	130.152706888	132.210704759	104.399940178	159.52177802	91.4933781544	157.112503808	120.839506079	106.301751136	115.006350241	124.08184045
121.456607788	93.5478604559	121.869762934	142.494079264	187.052919224	76.0493925676	141.716364638	154.515549156	158.618966782	122.751674928	128.109854903	139.80712902	109.334426216	63.5351582219	106.182039177	134.084884012	153.201315637	122.969909635	150.986998272	141.202689289	125.685432896	161.96331035	98.6982950177	141.399928566	114.153149672	137.593265372	100.096749409	152.917210678	84.7203627217	121.858704229	146.496504918	89.4790281155	109.759064402	122.806799776
75.6492703919	76.2513429209	92.2504140008	103.01315424	76.0493925676	187.052919224	91.7211265644	98.3375303726	105.495567528	86.4476895135	99.581242483	116.362276039	120.664796477	113.602386134	102.238308324	102.343973629	103.190407691	124.653524571	85.5105939809	89.1809003109	117.612996486	102.983865952	83.0019035748	65.5439080899	137.988765023	107.479994236	75.6784875678	91.773184645	65.433755244	95.8848251224	82.1379995058	111.086509131	106.449909363	64.3285008006
106.002376708	92.9059025535	115.107217882	144.787551031	141.716364638	91.7211265644	187.052919224	159.191980877	154.605905108	112.944569153	99.2149855219	121.322355567	116.606769325	72.9090511369	116.298769124	124.070309574	137.559970617	131.391473753	111.746599868	107.225413939	123.847618829	142.076903015	106.822653247	102.142165652	114.556088327	108.048859866	95.6019760336	140.915275609	81.3546701972	117.316817088	111.076005513	93.2096349117	101.878279183	95.1181133546
116.83034095	99.9141635823	123.02688372	145.327959395	154.515549156	98.3375303726	159.191980877	187.052919224	176.132354964	121.003941305	118.135522729	130.862038132	117.958196106	82.0078799528	122.282636926	142.726132267	148.644831304	145.035208241	129.145644084	124.836266924	136.362121017	160.251267509	118.261430875	115.251856007	130.989643623	130.057721501	99.7629121193	156.709566934	89.7196034985	116.77634286	132.227028511	110.720985002	113.90206849	117.404177471
132.144673168	109.421860047	140.789927254	148.325580509	158.618966782	105.495567528	154.605905108	176.132354964	187.052919224	121.508257288	120.820659274	139.324894361	126.371171188	83.0111599341	128.046855506	142.59529607	153.3237119	143.566454617	134.173199979	125.524026028	145.020346175	168.104185131	118.725859794	124.21423324	134.216596249	127.227330143	105.883353234	154.299022603	92.8815919698	123.638527648	128.210583921	112.686956365	120.242991518	122.74996886
104.42280857	86.4693371903	115.410858426	144.60174091	122.751674928	86.4476895135	112.944569153	121.003941305	121.508257288	187.052919224	123.891647145	133.19385187	125.280583784	117.155537459	108.716890434	117.704745475	122.232693384	122.368497859	120.184845944	105.830246556	131.112300877	133.821353818	133.700998474	111.407544114	107.017411195	119.681305694	134.104233163	141.034709374	123.738470305	153.965939918	107.80267834	119.157445343	142.01651004	130.296811386
107.385600299	91.5537514137	105.598904179	130.204338561	128.109854903	99.581242483	99.2149855219	118.135522729	120.820659274	123.891647145	187.052919224	136.437415424	123.922557077	86.1714533223	96.5459587082	119.099980251	142.980194498	121.541530407	148.01680036	139.406381788	127.509897329	152.126618087	97.684230096	133.654220661	120.934650786	158.331912937	108.819412041	144.019974638	99.5217417478	133.061792031	141.130602154	98.0517343713	124.275757218	126.175187048
