Tissue	skinnotsunexposedsuprapubic
N_samples	196
Chr	12
Gene	ENSG00000205426.6
SNP	rs4762069
Gene_list	ENSG00000111291.4	ENSG00000204538.3	ENSG00000244355.3	ENSG00000186977.2	ENSG00000183640.4	ENSG00000182591.4	ENSG00000204897.6	ENSG00000171446.6	ENSG00000212899.1	ENSG00000212900.1	ENSG00000212901.2	ENSG00000221852.4	ENSG00000221880.2	ENSG00000188581.8	ENSG00000212725.3	ENSG00000214518.3	ENSG00000212724.2	ENSG00000213417.2	ENSG00000240871.3	ENSG00000204880.6	ENSG00000212722.6	ENSG00000213416.3	ENSG00000198090.3	ENSG00000171396.10	ENSG00000196156.3	ENSG00000244537.2	ENSG00000198443.5	ENSG00000239886.2	ENSG00000204873.3	ENSG00000187272.4	ENSG00000241595.1	ENSG00000198083.7	ENSG00000186860.3	ENSG00000006059.3	ENSG00000131738.5	ENSG00000131737.5	ENSG00000094796.4	ENSG00000197079.4	ENSG00000170442.7	ENSG00000205426.6	ENSG00000170523.3	ENSG00000135443.4	ENSG00000170454.5	ENSG00000139648.6	ENSG00000205186.2	ENSG00000159450.8	ENSG00000203783.4	ENSG00000188015.5
Gene expression stats (Y^T * Y): 
187.052919224	133.148777576	180.253899986	174.677173807	161.912066841	156.009830978	154.22539656	162.77996837	156.751467056	156.756462107	152.468039183	159.845368455	160.083209193	162.720003219	158.801723255	167.961049523	171.412293656	171.745283972	163.845250933	171.136540696	166.227665434	168.945958082	167.573843302	172.896054773	161.578387903	175.40259068	158.142844868	170.764475134	166.504308537	173.105772494	166.14247077	172.131720458	160.191738417	184.694435121	170.554561711	169.153389936	160.921147842	151.440004937	160.972123955	161.722576896	178.322404506	150.96799335	133.687001599	158.022308773	156.586310161	164.887519211	170.308912832	150.807215132
133.148777576	187.052919224	134.16085304	120.647537953	113.319458739	113.561394329	110.401546066	117.952772739	114.159628835	112.885329075	110.540457485	114.548883062	115.124014239	117.077510469	114.951367438	120.399448585	123.183514503	120.86583361	116.468187665	118.072278251	117.063957233	117.535942882	115.971067437	118.676955017	114.311213883	121.164044456	112.920826065	118.762866034	115.875006542	119.50445793	116.77787481	116.543609337	118.961400512	131.661124557	121.698909267	120.521694426	115.058967369	104.887464152	116.763199005	116.998586584	126.06241401	110.277445622	99.332198198	112.950182399	115.506090394	121.453765963	123.804857399	108.375077246
180.253899986	134.16085304	187.052919224	165.48134506	144.636326913	137.987702262	147.822812157	160.658206693	137.132387745	136.169405694	132.312813637	139.549080317	140.030570174	143.075603184	138.784892188	150.481522156	163.255005775	153.988167836	144.408466216	161.136553554	147.015041037	153.655974729	150.025892738	161.002836499	156.533291019	160.899407972	154.91122327	154.534147677	148.019699354	156.663971048	147.380056359	159.158325009	164.158771972	175.455747674	154.813829056	150.426648944	150.089590741	155.967825407	142.309641757	143.782045657	165.497693035	141.034411164	136.514884335	153.899337073	163.058670588	168.419757915	169.21584898	142.498125338
174.677173807	120.647537953	165.48134506	187.052919224	171.615656261	159.315079514	147.469590591	154.549745703	158.00344368	158.484646414	155.361378239	160.628156996	161.202098039	162.133282439	159.885403375	166.122125122	157.335009404	169.87407502	161.390271674	158.181204577	162.394362789	162.648675873	161.843155681	159.779013816	144.544842867	165.90891752	142.723338876	165.632812113	162.8479143	168.627126112	163.662468947	161.19374716	144.202884809	175.717641149	168.4841713	168.888054475	160.918916927	141.500555017	160.849838203	161.702990716	174.313583135	147.489155227	131.308497537	150.422198347	142.045071178	149.577832278	158.129179165	145.911772843
161.912066841	113.319458739	144.636326913	171.615656261	187.052919224	174.324331934	147.497331364	145.386578677	172.693815684	173.798244958	170.35461531	175.383094666	174.590054752	175.279672206	174.18121221	173.72068021	148.269767661	178.385501101	173.165067994	152.332563244	172.728091209	169.174010793	171.206855386	158.113361106	135.102175153	166.268638267	132.626419881	171.377676385	172.461293754	173.025864325	173.568655505	162.112993678	121.273099651	168.041574068	177.242342262	178.572329365	162.440469526	131.525334951	173.431311908	173.932656224	174.197106957	156.139579657	111.162841662	146.002100212	124.877595963	134.831253187	147.578706997	148.629185627
156.009830978	113.561394329	137.987702262	159.315079514	174.324331934	187.052919224	163.14009629	156.729956263	184.354545876	182.574330402	182.990336935	182.726987908	183.335866744	181.860107956	182.751392302	178.29791943	128.706530792	176.113191688	178.806032488	137.720945059	176.676491242	166.980311306	173.091104867	145.265341691	117.921451172	159.40776423	111.037333517	171.30706088	177.834720441	171.797055307	177.381072189	151.889127941	109.079423135	162.186324358	180.800302785	180.686644785	172.210189442	139.774731867	185.042799007	185.201162909	175.385129613	176.244398178	114.817622528	159.256206028	130.026498187	138.271670124	154.789820567	165.186815898
154.22539656	110.401546066	147.822812157	147.469590591	147.497331364	163.14009629	187.052919224	182.871156915	161.88883391	158.772065264	159.325526807	159.716828116	160.937028721	160.623667307	159.916110844	163.357150194	128.519665996	157.60677695	160.912110072	136.827861904	160.735381145	156.609434078	160.276444072	143.718603938	123.507457266	153.978229912	114.981575425	160.88306358	163.22565505	159.705114967	161.646147809	146.663706818	131.125810153	155.293865107	162.03043902	159.098019792	164.545101771	166.137557173	163.435331273	164.278671429	165.614773094	176.687191716	129.694543208	184.946014705	166.360474268	170.065861022	177.942586149	170.659458807
162.77996837	117.952772739	160.658206693	154.549745703	145.386578677	156.729956263	182.871156915	187.052919224	155.44870786	152.871590217	152.655052648	154.202296059	155.460956497	155.996688685	154.428343177	161.347929489	139.848041419	157.194025442	157.011181035	144.735718271	157.72310519	156.668195298	158.354150995	150.073893828	134.08439007	157.995849251	126.764433761	160.195282859	159.799101263	160.127623269	158.729495172	150.989054859	144.679652694	161.756959224	159.900017758	156.947079824	161.787844602	170.006845582	157.654640222	158.715182457	166.382383662	171.479762518	141.108054873	185.52896498	173.404562498	177.545325877	183.834056196	168.658309303
156.751467056	114.159628835	137.132387745	158.00344368	172.693815684	184.354545876	161.88883391	155.44870786	187.052919224	185.966150804	185.986183302	185.405301922	186.138949052	185.404456757	185.986583591	182.684770762	133.72919056	178.928674822	183.621275853	143.776221404	181.776281772	172.542039409	178.232530061	151.451727356	124.693880941	165.706434354	115.846121576	176.959316256	182.534639466	177.077852843	182.14227746	158.033410853	113.819249367	163.345954879	182.3322114	182.321698876	171.130597107	135.265236171	185.957482558	185.312054277	176.126050825	173.526589319	109.505050157	158.197035106	129.441618965	137.558510629	153.199485475	164.986583904
156.756462107	112.885329075	136.169405694	158.484646414	173.798244958	182.574330402	158.772065264	152.871590217	185.966150804	187.052919224	185.964375199	186.326838897	186.561943107	186.050695569	186.618489447	183.333022744	137.57057594	181.033103655	185.063678581	148.001000437	183.421696495	175.228478049	180.225782284	155.227469295	129.227348501	168.511674643	120.988813071	179.191465841	183.583947626	178.913847394	183.642989209	161.445272482	114.502169842	163.778184686	181.713906354	183.244824989	169.147001052	132.013728239	184.529188103	183.60223973	175.371989779	170.176151767	109.010930497	155.455837289	127.301474568	136.107539893	151.217929922	162.185464221
