Tissue	skinnotsunexposedsuprapubic
N_samples	196
Chr	11
Gene	ENSG00000149131.11
SNP	rs2511985
Gene_list	ENSG00000185201.12	ENSG00000185885.11	ENSG00000142089.11	ENSG00000197766.3	ENSG00000132386.6	ENSG00000125730.12	ENSG00000182326.10	ENSG00000159403.11	ENSG00000111341.5	ENSG00000026025.9	ENSG00000188257.6	ENSG00000129538.9	ENSG00000101439.4	ENSG00000120885.15	ENSG00000141753.5	ENSG00000064205.6	ENSG00000106624.4	ENSG00000077942.13	ENSG00000142173.10	ENSG00000087086.9	ENSG00000087245.8	ENSG00000135404.7	ENSG00000149131.11	ENSG00000167996.11	ENSG00000197746.9	ENSG00000035862.8	ENSG00000140545.10	ENSG00000011465.12	ENSG00000196616.8	ENSG00000166741.3	ENSG00000148180.12	ENSG00000211445.7	ENSG00000143387.8	ENSG00000197956.5	ENSG00000189334.4	ENSG00000135821.12	ENSG00000189058.4
Gene expression stats (Y^T * Y): 
187.052919224	154.115457616	168.291362425	101.948886826	121.456607788	106.002376708	116.83034095	132.144673168	104.42280857	107.385600299	118.619939541	96.4570351968	101.158761437	114.793477139	147.98902965	73.500284569	116.760394946	98.5462792109	88.8383300963	137.855998018	115.299682877	141.369405575	141.170165719	148.548881374	75.5593126248	94.3610852869	92.1727154001	89.300959979	92.4758055814	147.120918549	89.095528953	126.170931271	96.9619194431	126.692663092	-60.779744962	102.752411264	121.651510612
154.115457616	187.052919224	162.290750903	84.7198445011	93.5478604559	92.9059025535	99.9141635823	109.421860047	86.4693371903	91.5537514137	83.6275185787	87.336987527	86.2467750635	115.777788143	144.038531387	52.1763625681	102.258336409	73.4910055603	79.0374862791	111.19332767	96.5685243932	124.320879629	115.525194666	120.979409257	59.2665979206	84.8086785475	52.3968563492	66.0774489891	66.2387501655	108.118132157	73.1650679091	82.9081157301	81.0981000106	111.942646392	-39.0726837551	55.0421702581	98.1718656849
168.291362425	162.290750903	187.052919224	110.933638098	121.869762934	115.107217882	123.02688372	140.789927254	115.410858426	105.598904179	116.161716725	90.5947345803	110.783385603	125.707704106	154.663664592	80.3725193784	121.32357221	100.904848256	99.6598939216	131.023662716	111.515374629	147.515292626	143.339183006	139.821169685	86.9552114315	95.4876199503	90.6745171049	95.3558207297	79.7960931455	135.365915752	99.3328939962	115.505260138	91.3670860835	129.337596786	-62.6590410336	88.6822656995	120.109879427
101.948886826	84.7198445011	110.933638098	187.052919224	142.494079264	144.787551031	145.327959395	148.325580509	144.60174091	130.204338561	101.708500347	100.625130445	153.077514128	121.272438759	106.49297504	143.44776951	133.232128207	160.927545685	143.10244764	128.081905192	117.428921717	125.15134784	153.723721296	111.075733286	130.152706888	132.210704759	121.263580598	159.52177802	93.925780339	97.7045521917	157.112503808	107.309835486	120.839506079	115.006350241	-103.046313307	79.1950072781	124.08184045
121.456607788	93.5478604559	121.869762934	142.494079264	187.052919224	141.716364638	154.515549156	158.618966782	122.751674928	128.109854903	112.895042594	114.364586207	139.80712902	109.334426216	106.182039177	153.402436187	134.084884012	153.201315637	122.969909635	150.986998272	141.202689289	125.685432896	161.96331035	141.399928566	114.153149672	137.593265372	124.192275016	152.917210678	122.859752788	131.493251069	121.858704229	140.112142561	146.496504918	109.759064402	-115.368856946	116.72207822	122.806799776
106.002376708	92.9059025535	115.107217882	144.787551031	141.716364638	187.052919224	159.191980877	154.605905108	112.944569153	99.2149855219	116.708956287	85.322024809	121.322355567	116.606769325	116.298769124	124.655601569	124.070309574	137.559970617	131.391473753	111.746599868	107.225413939	123.847618829	142.076903015	102.142165652	114.556088327	108.048859866	95.8901275626	140.915275609	81.7416551882	104.284194125	117.316817088	94.2272563734	111.076005513	101.878279183	-87.6319255533	75.0882738573	95.1181133546
116.83034095	99.9141635823	123.02688372	145.327959395	154.515549156	159.191980877	187.052919224	176.132354964	121.003941305	118.135522729	116.866072728	112.845219828	130.862038132	117.958196106	122.282636926	134.881622399	142.726132267	148.644831304	145.035208241	129.145644084	124.836266924	136.362121017	160.251267509	115.251856007	130.989643623	130.057721501	118.888026552	156.709566934	110.734495139	118.825801646	116.77634286	113.061183862	132.227028511	113.90206849	-100.734280627	96.9668733417	117.404177471
132.144673168	109.421860047	140.789927254	148.325580509	158.618966782	154.605905108	176.132354964	187.052919224	121.508257288	120.820659274	123.019866384	111.272738511	139.324894361	126.371171188	128.046855506	132.438898096	142.59529607	153.3237119	143.566454617	134.173199979	125.524026028	145.020346175	168.104185131	124.21423324	134.216596249	127.227330143	120.87206719	154.299022603	107.86576261	126.647010433	123.638527648	122.692301573	128.210583921	120.242991518	-95.6150519962	106.23988129	122.74996886
104.42280857	86.4693371903	115.410858426	144.60174091	122.751674928	112.944569153	121.003941305	121.508257288	187.052919224	123.891647145	85.8802868213	88.472558898	133.19385187	125.280583784	108.716890434	119.531798647	117.704745475	122.232693384	122.368497859	120.184845944	105.830246556	131.112300877	133.821353818	111.407544114	107.017411195	119.681305694	121.220655967	141.034709374	76.8330105812	97.3820545566	153.965939918	108.267328551	107.80267834	142.01651004	-95.9467392909	71.2426877731	130.296811386
107.385600299	91.5537514137	105.598904179	130.204338561	128.109854903	99.2149855219	118.135522729	120.820659274	123.891647145	187.052919224	64.2205060021	111.635125703	136.437415424	123.922557077	96.5459587082	119.217191103	119.099980251	142.980194498	121.541530407	148.01680036	139.406381788	127.509897329	152.126618087	133.654220661	120.934650786	158.331912937	111.738660228	144.019974638	117.543565004	84.4803552405	133.061792031	110.694591784	141.130602154	124.275757218	-114.627051582	87.8316622131	126.175187048
